"STATISTIC Label","Year","Component","UNIT","VALUE"
"Annual Population Change","1951","Net migration","Thousand","-35"
"Annual Population Change","1952","Net migration","Thousand","-35"
"Annual Population Change","1953","Net migration","Thousand","-33"
"Annual Population Change","1954","Net migration","Thousand","-36"
"Annual Population Change","1955","Net migration","Thousand","-45"
"Annual Population Change","1956","Net migration","Thousand","-48"
"Annual Population Change","1957","Net migration","Thousand","-41"
"Annual Population Change","1958","Net migration","Thousand","-58"
"Annual Population Change","1959","Net migration","Thousand","-32"
"Annual Population Change","1960","Net migration","Thousand","-41"
"Annual Population Change","1961","Net migration","Thousand","-40"
"Annual Population Change","1962","Net migration","Thousand","-15"
"Annual Population Change","1963","Net migration","Thousand","-8"
"Annual Population Change","1964","Net migration","Thousand","-17"
"Annual Population Change","1965","Net migration","Thousand","-20"
"Annual Population Change","1966","Net migration","Thousand","-21"
"Annual Population Change","1967","Net migration","Thousand","-13"
"Annual Population Change","1968","Net migration","Thousand","-16"
"Annual Population Change","1969","Net migration","Thousand","-15"
"Annual Population Change","1970","Net migration","Thousand","-5"
"Annual Population Change","1971","Net migration","Thousand","-5"
"Annual Population Change","1972","Net migration","Thousand","11"
"Annual Population Change","1973","Net migration","Thousand","13"
"Annual Population Change","1974","Net migration","Thousand","16"
"Annual Population Change","1975","Net migration","Thousand","20"
"Annual Population Change","1976","Net migration","Thousand","16"
"Annual Population Change","1977","Net migration","Thousand","10"
"Annual Population Change","1978","Net migration","Thousand","7"
"Annual Population Change","1979","Net migration","Thousand","16"
"Annual Population Change","1980","Net migration","Thousand","-8"
"Annual Population Change","1981","Net migration","Thousand","2"
"Annual Population Change","1982","Net migration","Thousand","-1"
"Annual Population Change","1983","Net migration","Thousand","-14"
"Annual Population Change","1984","Net migration","Thousand","-9"
"Annual Population Change","1985","Net migration","Thousand","-20"
"Annual Population Change","1986","Net migration","Thousand","-28"
"Annual Population Change","1987","Net migration","Thousand","-23"
"Annual Population Change","1988","Net migration","Thousand","-41.9"
"Annual Population Change","1989","Net migration","Thousand","-43.9"
"Annual Population Change","1990","Net migration","Thousand","-22.9"
"Annual Population Change","1991","Net migration","Thousand","-2"
"Annual Population Change","1992","Net migration","Thousand","7.4"
"Annual Population Change","1993","Net migration","Thousand","-0.4"
"Annual Population Change","1994","Net migration","Thousand","-4.7"
"Annual Population Change","1995","Net migration","Thousand","-1.9"
"Annual Population Change","1996","Net migration","Thousand","8"
"Annual Population Change","1997","Net migration","Thousand","19.2"
"Annual Population Change","1998","Net migration","Thousand","17.4"
"Annual Population Change","1999","Net migration","Thousand","17.3"
"Annual Population Change","2000","Net migration","Thousand","26"
"Annual Population Change","2001","Net migration","Thousand","32.8"
"Annual Population Change","2002","Net migration","Thousand","41.3"
"Annual Population Change","2003","Net migration","Thousand","30.7"
"Annual Population Change","2004","Net migration","Thousand","32"
"Annual Population Change","2005","Net migration","Thousand","55.1"
"Annual Population Change","2006","Net migration","Thousand","71.8"
"Annual Population Change","2007","Net migration","Thousand","104.8"
"Annual Population Change","2008","Net migration","Thousand","64.3"
"Annual Population Change","2009","Net migration","Thousand","1.6"
"Annual Population Change","2010","Net migration","Thousand","-27.5"
"Annual Population Change","2011","Net migration","Thousand","-27.4"
"Annual Population Change","2012","Net migration","Thousand","-25.7"
"Annual Population Change","2013","Net migration","Thousand","-18.7"
"Annual Population Change","2014","Net migration","Thousand","-8.5"
"Annual Population Change","2015","Net migration","Thousand","5.9"
"Annual Population Change","2016","Net migration","Thousand","16.2"
"Annual Population Change","2017","Net migration","Thousand","39.2"
"Annual Population Change","2018","Net migration","Thousand","44.4"
"Annual Population Change","2019","Net migration","Thousand","44"
"Annual Population Change","2020","Net migration","Thousand","44.7"
"Annual Population Change","2021","Net migration","Thousand","21.8"
"Annual Population Change","2022","Net migration","Thousand","51.7"
"Annual Population Change","2023","Net migration","Thousand","77.6"
"Annual Population Change","2024","Net migration","Thousand","79.3"
"Annual Population Change","2025","Net migration","Thousand","59.7"
