date,type,value
2018-01-01,Chinese exports subject to US tariffs,0.0
2018-02-07,Chinese exports subject to US tariffs,0.002357728
2018-03-23,Chinese exports subject to US tariffs,0.007947596999999999
2018-04-02,Chinese exports subject to US tariffs,0.007947596999999999
2018-05-01,Chinese exports subject to US tariffs,0.007947596999999999
2018-06-01,Chinese exports subject to US tariffs,0.007947596999999999
2018-07-01,Chinese exports subject to US tariffs,0.007947596999999999
2018-07-06,Chinese exports subject to US tariffs,0.07121444
2018-08-13,Chinese exports subject to US tariffs,0.07121444
2018-08-23,Chinese exports subject to US tariffs,0.09754098000000001
2018-09-24,Chinese exports subject to US tariffs,0.469275
2018-11-01,Chinese exports subject to US tariffs,0.469275
2019-01-01,Chinese exports subject to US tariffs,0.469275
2019-02-07,Chinese exports subject to US tariffs,0.469275
2019-05-20,Chinese exports subject to US tariffs,0.469275
2019-05-21,Chinese exports subject to US tariffs,0.469275
2019-06-01,Chinese exports subject to US tariffs,0.469275
2019-07-01,Chinese exports subject to US tariffs,0.469275
2019-09-01,Chinese exports subject to US tariffs,0.6663427734375
2019-10-18,Chinese exports subject to US tariffs,0.6663427734375
2020-01-01,Chinese exports subject to US tariffs,0.6663427734375
2020-02-07,Chinese exports subject to US tariffs,0.6663427734375
2020-02-08,Chinese exports subject to US tariffs,0.6663427734375
2020-02-14,Chinese exports subject to US tariffs,0.6663427734375
2020-03-05,Chinese exports subject to US tariffs,0.6663427734375
2020-07-01,Chinese exports subject to US tariffs,0.6663427734375
2020-08-16,Chinese exports subject to US tariffs,0.6663427734375
2020-09-01,Chinese exports subject to US tariffs,0.6663427734375
2021-01-01,Chinese exports subject to US tariffs,0.6663427734375
2021-01-14,Chinese exports subject to US tariffs,0.6663427734375
2021-02-07,Chinese exports subject to US tariffs,0.6663427734375
2021-03-11,Chinese exports subject to US tariffs,0.6663427734375
2021-05-01,Chinese exports subject to US tariffs,0.6663427734375
2021-07-01,Chinese exports subject to US tariffs,0.6663427734375
2022-01-01,Chinese exports subject to US tariffs,0.6663427734375
2022-02-07,Chinese exports subject to US tariffs,0.6663427734375
2022-04-11,Chinese exports subject to US tariffs,0.6663427734375
2022-05-01,Chinese exports subject to US tariffs,0.6663427734375
2022-06-01,Chinese exports subject to US tariffs,0.6663427734375
2022-07-01,Chinese exports subject to US tariffs,0.6663427734375
2023-01-01,Chinese exports subject to US tariffs,0.6663427734375
2023-02-07,Chinese exports subject to US tariffs,0.6658168029785156
2023-07-01,Chinese exports subject to US tariffs,0.6658168029785156
2023-12-31,Chinese exports subject to US tariffs,0.6658168029785156
2024-01-01,Chinese exports subject to US tariffs,0.6658168029785156
2024-06-26,Chinese exports subject to US tariffs,0.6658168029785156
2024-09-27,Chinese exports subject to US tariffs,0.6664169311523438
2025-01-01,Chinese exports subject to US tariffs,0.6664842987060546
2025-02-04,Chinese exports subject to US tariffs,1.0
2025-02-07,Chinese exports subject to US tariffs,1.0
2025-02-10,Chinese exports subject to US tariffs,1.0
2025-03-04,Chinese exports subject to US tariffs,1.0
2025-03-10,Chinese exports subject to US tariffs,1.0
2025-03-12,Chinese exports subject to US tariffs,1.0
2025-04-03,Chinese exports subject to US tariffs,1.0
2025-04-05,Chinese exports subject to US tariffs,1.0
2025-04-09,Chinese exports subject to US tariffs,1.0
2025-04-10,Chinese exports subject to US tariffs,1.0
2025-04-11,Chinese exports subject to US tariffs,1.0
2025-04-12,Chinese exports subject to US tariffs,1.0
2025-05-03,Chinese exports subject to US tariffs,1.0
2025-05-14,Chinese exports subject to US tariffs,1.0
2018-01-01,US exports subject to Chinese tariffs,0.0
2018-02-07,US exports subject to Chinese tariffs,0.0
2018-03-23,US exports subject to Chinese tariffs,0.0
2018-04-02,US exports subject to Chinese tariffs,0.019180930852890014
2018-05-01,US exports subject to Chinese tariffs,0.019180930852890014
2018-06-01,US exports subject to Chinese tariffs,0.019180930852890014
2018-07-01,US exports subject to Chinese tariffs,0.019180930852890014
2018-07-06,US exports subject to Chinese tariffs,0.2251319694519043
2018-08-13,US exports subject to Chinese tariffs,0.2251319694519043
2018-08-23,US exports subject to Chinese tariffs,0.31117557525634765
2018-09-24,US exports subject to Chinese tariffs,0.6547855377197266
2018-11-01,US exports subject to Chinese tariffs,0.6547855377197266
2019-01-01,US exports subject to Chinese tariffs,0.5627493286132812
2019-02-07,US exports subject to Chinese tariffs,0.5627493286132812
2019-05-20,US exports subject to Chinese tariffs,0.5627493286132812
2019-05-21,US exports subject to Chinese tariffs,0.5627493286132812
2019-06-01,US exports subject to Chinese tariffs,0.5627493286132812
2019-07-01,US exports subject to Chinese tariffs,0.5627493286132812
2019-09-01,US exports subject to Chinese tariffs,0.5833295059204101
2019-10-18,US exports subject to Chinese tariffs,0.5833295059204101
2020-01-01,US exports subject to Chinese tariffs,0.5833295059204101
2020-02-07,US exports subject to Chinese tariffs,0.5833295059204101
2020-02-08,US exports subject to Chinese tariffs,0.5833295059204101
2020-02-14,US exports subject to Chinese tariffs,0.5833295059204101
2020-03-05,US exports subject to Chinese tariffs,0.5833295059204101
2020-07-01,US exports subject to Chinese tariffs,0.5833295059204101
2020-08-16,US exports subject to Chinese tariffs,0.5833295059204101
2020-09-01,US exports subject to Chinese tariffs,0.5833295059204101
2021-01-01,US exports subject to Chinese tariffs,0.5833295059204101
2021-01-14,US exports subject to Chinese tariffs,0.5833295059204101
2021-02-07,US exports subject to Chinese tariffs,0.5833295059204101
2021-03-11,US exports subject to Chinese tariffs,0.5833295059204101
2021-05-01,US exports subject to Chinese tariffs,0.5833295059204101
2021-07-01,US exports subject to Chinese tariffs,0.5833295059204101
2022-01-01,US exports subject to Chinese tariffs,0.5833295059204101
2022-02-07,US exports subject to Chinese tariffs,0.5833295059204101
2022-04-11,US exports subject to Chinese tariffs,0.5833295059204101
2022-05-01,US exports subject to Chinese tariffs,0.5833295059204101
2022-06-01,US exports subject to Chinese tariffs,0.5833295059204101
2022-07-01,US exports subject to Chinese tariffs,0.5833295059204101
2023-01-01,US exports subject to Chinese tariffs,0.5833295059204101
2023-02-07,US exports subject to Chinese tariffs,0.5833295059204101
2023-07-01,US exports subject to Chinese tariffs,0.5833295059204101
2023-12-31,US exports subject to Chinese tariffs,0.5833295059204101
2024-01-01,US exports subject to Chinese tariffs,0.5833295059204101
2024-06-26,US exports subject to Chinese tariffs,0.5833295059204101
2024-09-27,US exports subject to Chinese tariffs,0.5833295059204101
2025-01-01,US exports subject to Chinese tariffs,0.5833295059204101
2025-02-04,US exports subject to Chinese tariffs,0.5833295059204101
2025-02-07,US exports subject to Chinese tariffs,0.5833295059204101
2025-02-10,US exports subject to Chinese tariffs,0.6296583557128906
2025-03-04,US exports subject to Chinese tariffs,0.6296583557128906
2025-03-10,US exports subject to Chinese tariffs,0.6296583557128906
2025-03-12,US exports subject to Chinese tariffs,0.6296583557128906
2025-04-03,US exports subject to Chinese tariffs,0.6296583557128906
2025-04-05,US exports subject to Chinese tariffs,0.6296583557128906
2025-04-09,US exports subject to Chinese tariffs,0.6296583557128906
2025-04-10,US exports subject to Chinese tariffs,1.0
2025-04-11,US exports subject to Chinese tariffs,1.0
2025-04-12,US exports subject to Chinese tariffs,1.0
2025-05-03,US exports subject to Chinese tariffs,1.0
2025-05-14,US exports subject to Chinese tariffs,1.0
