date,value,source
1939-01-01,1.82,ONS. Births in England and Wales: 2022 (refreshed populations)
1940-01-01,1.75,
1941-01-01,1.73,
1942-01-01,1.94,
1943-01-01,2.02,
1944-01-01,2.24,
1945-01-01,2.04,
1946-01-01,2.47,
1947-01-01,2.68,
1948-01-01,2.38,
1949-01-01,2.27,
1950-01-01,2.18,
1951-01-01,2.14,
1952-01-01,2.16,
1953-01-01,2.22,
1954-01-01,2.21,
1955-01-01,2.22,
1956-01-01,2.35,
1957-01-01,2.45,
1958-01-01,2.52,
1959-01-01,2.56,
1960-01-01,2.68,
1961-01-01,2.77,
1962-01-01,2.85,
1963-01-01,2.88,
1964-01-01,2.93,
1965-01-01,2.85,
1966-01-01,2.75,
1967-01-01,2.65,
1968-01-01,2.57,
1969-01-01,2.47,
1970-01-01,2.4,
1971-01-01,2.37,
1972-01-01,2.17,
1973-01-01,2.0,
1974-01-01,1.89,
1975-01-01,1.78,
1976-01-01,1.71,
1977-01-01,1.66,
1978-01-01,1.73,
1979-01-01,1.84,
1980-01-01,1.88,
1981-01-01,1.8,
1982-01-01,1.76,
1983-01-01,1.76,
1984-01-01,1.75,
1985-01-01,1.78,
1986-01-01,1.77,
1987-01-01,1.81,
1988-01-01,1.82,
1989-01-01,1.8,
1990-01-01,1.84,
1991-01-01,1.82,
1992-01-01,1.8,
1993-01-01,1.76,
1994-01-01,1.75,
1995-01-01,1.72,
1996-01-01,1.74,
1997-01-01,1.73,
1998-01-01,1.73,
1999-01-01,1.7,
2000-01-01,1.65,
2001-01-01,1.63,
2002-01-01,1.64,
2003-01-01,1.72,
2004-01-01,1.77,
2005-01-01,1.77,
2006-01-01,1.83,
2007-01-01,1.88,
2008-01-01,1.92,
2009-01-01,1.9,
2010-01-01,1.94,
2011-01-01,1.93,
2012-01-01,1.93,
2013-01-01,1.83,
2014-01-01,1.8,
2015-01-01,1.79,
2016-01-01,1.77,
2017-01-01,1.71,
2018-01-01,1.65,
2019-01-01,1.59,
2020-01-01,1.53,
2021-01-01,1.55,
2022-01-01,1.49,
