Year Wheat Rye Barley Oats Peas Beans Potato Hops Net Tax Straw Mustard Seed Saffron
1770 4.72 3.70 2.23 1.70 2.88 2.75 1.88 147.54 22.03
1771 5.85 4.87 2.95 2.03 3.50 3.16 2.24 121.87 20.08
1772 6.37 5.06 2.99 1.98 3.91 3.52 2.59 170.55 24.23
1773 6.48 4.07 3.36 2.04 3.95 3.55 2.14 148.53 29.89
1774 6.58 4.45 3.46 2.11 3.86 4.00 2.50 145.98 24.15
1775 6.21 4.25 3.22 2.05 3.72 3.35 2.24 97.31 30.10
1776 4.75 3.51 2.63 1.88 3.57 3.14 2.06 105.97 30.68
1777 5.41 3.58 2.39 1.83 3.60 3.29 2.34 89.27 34.21
1778 5.31 3.33 2.63 1.74 3.84 3.03 2.61 97.82 20.53
1779 4.17 2.84 2.36 1.74 3.52 2.78 2.14 62.11 21.54
1780 4.35 2.70 2.14 1.66 3.15 2.60 2.34 61.29 24.42
1781 5.71 3.53 2.08 1.69 3.41 2.70 3.71 62.65 25.09
1782 6.10 3.61 2.69 1.76 3.12 2.86 2.92 63.08 22.69
1783 6.55 4.27 3.62 2.43 4.09 4.27 3.28 131.16 21.88
1784 6.20 4.23 3.46 2.25 3.73 3.91 2.54 113.21 35.41
1785 5.62 3.64 3.01 2.07 3.68 3.79 2.03 111.40 23.94
1786 4.99 3.45 3.09 2.30 3.93 4.34 2.46 104.52 32.48
1787 5.22 3.66 2.83 2.05 4.00 4.01 2.40 128.11 27.81
1788 5.62 3.48 2.80 1.99 3.47 3.14 1.80 192.12 26.69
1789 6.31 3.83 2.74 1.90 3.31 3.02 2.21 152.54 29.97
1790 6.64 4.15 3.01 2.32 3.67 3.82 1.93 127.57 22.83
1791 5.97 4.13 3.15 2.26 3.70 3.55 3.02 109.48 23.05
1792 5.49 3.72 3.43 2.23 3.92 3.95 2.12 117.52 26.37
1793 5.98 4.52 3.95 2.61 4.72 4.18 1.79 109.88
1794 6.24 4.88 4.10 2.83 5.56 4.21 2.61 217.55
1795 8.05 6.00 4.19 3.11 6.26 5.29 4.13 100.30
1796 9.74 6.03 4.34 2.79 5.39 4.56 2.52 117.27 44.25
1797 6.73 4.16 3.61 2.21 3.79 3.10 2.45 124.24 38.38
1798 6.56 4.04 3.69 2.42 3.64 3.42 2.24 124.48 23.38
1799 7.84 4.56 4.13 3.23 4.73 5.14 2.96 279.94 38.00
1800 12.86 7.11 6.92 4.44 7.86 7.43 6.38 374.67 43.50
1801 14.84 9.87 8.69 4.49 7.92 7.84 4.73 322.40 49.00
1802 8.22 5.38 4.55 2.47 4.55 4.17 2.52 91.09 38.12
1803 7.15 4.62 3.26 2.61 4.57 3.87 2.99 171.17 50.17
1804 7.25 4.65 3.72 2.94 4.72 4.46 2.86 108.30 34.25
1805 10.49 6.78 5.94 3.44 5.42 5.29 2.24 108.54 53.62
1806 9.56 6.04 5.10 3.34 5.54 5.26 2.38 155.82 37.25
1807 9.47 6.26 5.24 3.44 7.38 5.56 2.80 116.19 55.92
1808 9.39 7.23 5.26 4.04 10.90 6.66 3.36 95.43 42.38
1809 11.64 7.09 5.70 3.81 9.80 7.12 3.22 90.20 39.75
1810 13.05 7.43 5.83 3.47 6.89 6.75 3.15 124.85 57.67
1811 11.73 5.66 5.12 3.34 5.81 5.83 3.01 173.13 70.75
1812 14.38 9.18 8.09 5.39 8.31 8.49 4.24 150.15 56.42
1813 13.46 9.59 7.09 4.67 9.91 9.74 5.20 262.79 40.83
1814 9.68 5.97 4.53 3.11 6.54 5.75 3.30 198.55 42.33
1815 8.14 5.08 3.67 2.86 4.97 4.57 3.30 186.35 35.75
1816 8.89 5.09 4.11 3.29 4.44 3.95 3.48 220.02 44.04
1817 12.16 6.95 5.98 3.93 6.33 5.77 3.97 340.82 39.12
1818 10.82 6.84 6.53 3.93 5.91 7.24 4.04 305.13 50.50
1819 8.84 6.98 5.55 3.42 6.68 7.42 4.18 91.43 58.17
1820 8.26 5.20 4.10 2.93 5.11 5.41 3.57 78.62 31.00
1821 7.21 4.10 3.15 2.36 3.84 4.55 3.46 61.07 33.50
1822 5.63 2.83 2.65 2.19 3.14 3.71 4.47 73.26 40.33
1823 6.23 3.98 3.82 2.78 3.73 3.66 2.96 138.52 44.75
1824 7.57 5.18 4.41 3.01 4.37 4.39 3.59 156.85 51.80
1825 8.49 5.28 4.85 3.11 5.69 5.31 3.84 370.10 47.50
1826 7.19 5.14 4.16 3.23 5.69 5.73 4.20 152.04 42.75
1827 6.73 5.02 4.56 3.42 6.04 6.78 3.97 97.40 41.80
1828 8.26 4.27 3.98 2.73 4.69 5.15 2.77 93.87 33.12
1829 7.51 4.35 3.94 2.76 4.22 4.84 3.43 141.86 35.38
