"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","East Asia & Pacific","EAS","2018","7.929","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Europe & Central Asia","ECS","2018","6.318","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","High income","HIC","2018","5.601","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Latin America & Caribbean","LCN","2018","8.307","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Low income","LIC","2018","22.482","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Lower middle income","LMC","2018","16.865","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Middle East & North Africa","MEA","2018","15.281","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","North America","NAC","2018","5.658","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","South Asia","SAS","2018","18.779","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Sub-Saharan Africa","SSF","2018","20.259","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Upper middle income","UMC","2018","8.745","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Afghanistan","AFG","2018","35.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Albania","ALB","2018","6.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Angola","AGO","2018","25.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Argentina","ARG","2018","5.000","female, Modeled, 15-49"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","SG.VAW.1549.ME.ZS","Armenia","ARM","2018","5.000","female, Modeled, 15-49"
