Year,Country,gdp_pc
2004,South Korea,942.89
2005,South Korea,995.18
2006,South Korea,1045.66
2007,South Korea,1134.54
2008,South Korea,1202.97
2009,South Korea,1255.31
2010,South Korea,1379.46
2011,South Korea,1448.58
2012,South Korea,1504.67
2013,South Korea,1570.94
2014,South Korea,1638.48
2015,South Korea,1740.78
2016,South Korea,1833.03
2017,South Korea,1934.23
2018,South Korea,2006.97
2019,South Korea,2040.59
2020,South Korea,2058.47
2021,South Korea,2221.91
2022,South Korea,2323.78
2023,South Korea,2401.19
2004,North Korea,23.71
2005,North Korea,24.73
2006,North Korea,24.36
2007,North Korea,24.76
2008,North Korea,27.24
2009,North Korea,28.48
2010,North Korea,29.88
2011,North Korea,32.23
2012,North Korea,33.21
2013,North Korea,33.61
2014,North Korea,33.95
2015,North Korea,34.14
2016,North Korea,36.1
2017,North Korea,36.38
2018,North Korea,35.67
2019,North Korea,35.28
2020,North Korea,34.66
2021,North Korea,35.89
2022,North Korea,36.21
2023,North Korea,40.19
