Country,Compensation
United States,Yes
France,Yes
Australia,Yes
Germany,Yes
Japan,Yes
China,No Data
Spain,Yes
Italy,Yes
United Kingdom,No
Canada,Yes
Brazil,Yes
Netherlands,Yes
Poland,No Data
New Zealand,No
Hungary,Yes
Belgium,Yes
South Africa,Yes
Egypt,No Data
South Korea,Yes
Ukraine,No Data
Argentina,No Data
Ireland,No Data
Switzerland,Yes
Denmark,Yes
India,No Data
Sweden,No
Serbia,Yes
Czechia,No Data
Mexico,Yes
Norway,No
Romania,No Data
Turkey,No Data
Greece,No Data
Slovenia,Yes
Israel,No Data
Nigeria,No Data
Colombia,No Data
Uzbekistan,No Data
Kazakhstan,Yes
Austria,Yes
Croatia,No Data
Portugal,No Data
Kenya,No Data
Cuba,No Data
Taiwan,No Data
Morocco,Yes
Dominican Republic,No Data
Jamaica,No Data
Finland,Yes
Puerto Rico,No Data
Thailand,Yes
Lithuania,Yes
Chile,No Data
Azerbaijan,Yes
Bulgaria,Yes
Algeria,No Data
Ecuador,No Data
Iran,No Data
Refugee Olympic Team,No Data
Hong Kong,Yes
Ethiopia,No Data
Fiji,No Data
Venezuela,No Data
Individual Neutral Athletes,No Data
Mongolia,No Data
Indonesia,Yes
Latvia,No Data
Georgia,No Data
Paraguay,No Data
Slovakia,Yes
Tunisia,No Data
Zambia,No Data
Malaysia,Yes
Moldova,No Data
Peru,No Data
Uruguay,No Data
Angola,No Data
Estonia,Yes
Guinea,No Data
Samoa,No Data
Uganda,No Data
Mali,No Data
Singapore,Yes
Iraq,No Data
Philippines,Yes
Montenegro,No Data
THE BAHAMAS,No Data
Trinidad and Tobago,No Data
Cyprus,No Data
Guatemala,No Data
Kyrgyzstan,No Data
North Korea,No Data
Vietnam,No Data
Armenia,No Data
Luxembourg,No Data
Qatar,No Data
South Sudan,No Data
Tajikistan,No Data
Bahrain,No Data
Mauritius,No Data
United Arab Emirates,No Data
Eritrea,No Data
Jordan,No Data
Botswana,No Data
Côte d'Ivoire,No Data
Senegal,No Data
Lebanon,No Data
Kosovo,Yes
Kuwait,No Data
Saudi Arabia,No Data
Albania,No Data
Bermuda,No Data
Burkina Faso,No Data
El Salvador,No Data
Ghana,No Data
Guam,No Data
Liberia,No Data
West Bank and Gaza,No Data
Panama,No Data
Rwanda,No Data
Burundi,No Data
Cape Verde,No Data
Djibouti,No Data
The Gambia,No Data
Haiti,No Data
Madagascar,No Data
Mozambique,No Data
Nepal,No Data
Nicaragua,No Data
Niger,No Data
North Macedonia,No Data
Pakistan,No Data
Papua New Guinea,No Data
Tanzania,No Data
Zimbabwe,No Data
Afghanistan,No Data
Aruba,No Data
Cameroon,No Data
Costa Rica,No Data
Democratic Republic of Congo,No Data
Grenada,No Data
Guinea-Bissau,No Data
Libya,No Data
Monaco,No Data
Sri Lanka,No Data
Syria,No Data
Turkmenistan,No Data
Vanuatu,No Data
Antigua and Barbuda,No Data
Bangladesh,No Data
Benin,No Data
Bosnia and Herzegovina,No Data
Gabon,No Data
Guyana,No Data
Iceland,No Data
Maldives,No Data
Malta,No Data
San Marino,No Data
Suriname,No Data
Togo,No Data
Virgin Islands,No Data
Barbados,No Data
British Virgin Islands,No Data
Bolivia,No Data
Cayman Islands,No Data
Central African Republic,No Data
Comoros,No Data
Dominica,No Data
Timor-Leste,No Data
Honduras,No Data
Laos,No Data
Marshall Islands,No Data
Namibia,No Data
Oman,No Data
Republic of the Congo,No Data
Saint Vincent and the Grenadines,No Data
Saint Lucia,No Data
Sierra Leone,No Data
Sudan,No Data
Tonga,No Data
Yemen,No Data
Bhutan,No Data
Brunei,No Data
Cambodia,No Data
Chad,No Data
Equatorial Guinea,No Data
Eswatini,No Data
Federated States of Micronesia,No Data
Kiribati,No Data
Lesotho,No Data
Malawi,No Data
Palau,No Data
Saint Kitts and Nevis,No Data
São Tomé and Príncipe,No Data
Seychelles,No Data
American Samoa,No Data
Andorra,No Data
Cook Islands,No Data
Mauritania,No Data
Myanmar,No Data
Solomon Islands,No Data
Tuvalu,No Data
Belize,No Data
Liechtenstein,Yes
Nauru,No Data
Somalia,No Data
Belarus,No Data
Congo,No Data
Greenland (Den.),No Data
Macau,No Data
Micronesia,No Data
Russia,Yes
Western Sahara,No Data
