Year,Tax,Value
1792,Payroll Taxes,0.0
1793,Payroll Taxes,0.0
1794,Payroll Taxes,0.0
1795,Payroll Taxes,0.0
1796,Payroll Taxes,0.0
1797,Payroll Taxes,0.0
1798,Payroll Taxes,0.0
1799,Payroll Taxes,0.0
1800,Payroll Taxes,0.0
1801,Payroll Taxes,0.0
1802,Payroll Taxes,0.0
1803,Payroll Taxes,0.0
1804,Payroll Taxes,0.0
1805,Payroll Taxes,0.0
1806,Payroll Taxes,0.0
1807,Payroll Taxes,0.0
1808,Payroll Taxes,0.0
1809,Payroll Taxes,0.0
1810,Payroll Taxes,0.0
1811,Payroll Taxes,0.0
1812,Payroll Taxes,0.0
1813,Payroll Taxes,0.0
1814,Payroll Taxes,0.0
1815,Payroll Taxes,0.0
1816,Payroll Taxes,0.0
1817,Payroll Taxes,0.0
1818,Payroll Taxes,0.0
1819,Payroll Taxes,0.0
1820,Payroll Taxes,0.0
1821,Payroll Taxes,0.0
1822,Payroll Taxes,0.0
1823,Payroll Taxes,0.0
1824,Payroll Taxes,0.0
1825,Payroll Taxes,0.0
1826,Payroll Taxes,0.0
1827,Payroll Taxes,0.0
1828,Payroll Taxes,0.0
1829,Payroll Taxes,0.0
1830,Payroll Taxes,0.0
1831,Payroll Taxes,0.0
1832,Payroll Taxes,0.0
1833,Payroll Taxes,0.0
1834,Payroll Taxes,0.0
1835,Payroll Taxes,0.0
1836,Payroll Taxes,0.0
1837,Payroll Taxes,0.0
1838,Payroll Taxes,0.0
1839,Payroll Taxes,0.0
1840,Payroll Taxes,0.0
1841,Payroll Taxes,0.0
1842,Payroll Taxes,0.0
1843,Payroll Taxes,0.0
1844,Payroll Taxes,0.0
1845,Payroll Taxes,0.0
1846,Payroll Taxes,0.0
1847,Payroll Taxes,0.0
1848,Payroll Taxes,0.0
1849,Payroll Taxes,0.0
1850,Payroll Taxes,0.0
1851,Payroll Taxes,0.0
1852,Payroll Taxes,0.0
1853,Payroll Taxes,0.0
1854,Payroll Taxes,0.0
1855,Payroll Taxes,0.0
1856,Payroll Taxes,0.0
1857,Payroll Taxes,0.0
1858,Payroll Taxes,0.0
1859,Payroll Taxes,0.0
1860,Payroll Taxes,0.0
1861,Payroll Taxes,0.0
1862,Payroll Taxes,0.0
1863,Payroll Taxes,0.0
1864,Payroll Taxes,0.0
1865,Payroll Taxes,0.0
1866,Payroll Taxes,0.0
1867,Payroll Taxes,0.0
1868,Payroll Taxes,0.0
1869,Payroll Taxes,0.0
1870,Payroll Taxes,0.0
1871,Payroll Taxes,0.0
1872,Payroll Taxes,0.0
1873,Payroll Taxes,0.0
1874,Payroll Taxes,0.0
1875,Payroll Taxes,0.0
1876,Payroll Taxes,0.0
1877,Payroll Taxes,0.0
1878,Payroll Taxes,0.0
1879,Payroll Taxes,0.0
1880,Payroll Taxes,0.0
1881,Payroll Taxes,0.0
1882,Payroll Taxes,0.0
1883,Payroll Taxes,0.0
1884,Payroll Taxes,0.0
1885,Payroll Taxes,0.0
1886,Payroll Taxes,0.0
1887,Payroll Taxes,0.0
1888,Payroll Taxes,0.0
1889,Payroll Taxes,0.0
1890,Payroll Taxes,0.0
1891,Payroll Taxes,0.0
1892,Payroll Taxes,0.0
1893,Payroll Taxes,0.0
1894,Payroll Taxes,0.0
1895,Payroll Taxes,0.0
1896,Payroll Taxes,0.0
1897,Payroll Taxes,0.0
1898,Payroll Taxes,0.0
1899,Payroll Taxes,0.0
1900,Payroll Taxes,0.0
1901,Payroll Taxes,0.0
1902,Payroll Taxes,0.0
1903,Payroll Taxes,0.0
1904,Payroll Taxes,0.0
1905,Payroll Taxes,0.0
1906,Payroll Taxes,0.0
1907,Payroll Taxes,0.0
1908,Payroll Taxes,0.0
1909,Payroll Taxes,0.0
1910,Payroll Taxes,0.0
1911,Payroll Taxes,0.0
1912,Payroll Taxes,0.0
1913,Payroll Taxes,0.0
1914,Payroll Taxes,0.0
1915,Payroll Taxes,0.0
1916,Payroll Taxes,0.0
1917,Payroll Taxes,0.0
1918,Payroll Taxes,0.0
1919,Payroll Taxes,0.0
1920,Payroll Taxes,0.0
1921,Payroll Taxes,0.0
1922,Payroll Taxes,0.0
1923,Payroll Taxes,0.0
1924,Payroll Taxes,0.0
1925,Payroll Taxes,0.0
1926,Payroll Taxes,0.0
1927,Payroll Taxes,0.0003
1928,Payroll Taxes,0.0003
1929,Payroll Taxes,0.0003
1930,Payroll Taxes,0.0003
1931,Payroll Taxes,0.0004
1932,Payroll Taxes,0.0006
1933,Payroll Taxes,0.0005
1934,Payroll Taxes,0.0004
1935,Payroll Taxes,0.0004
1936,Payroll Taxes,0.001
1937,Payroll Taxes,0.006999999999999999
1938,Payroll Taxes,0.017
1939,Payroll Taxes,0.018000000000000002
1940,Payroll Taxes,0.018000000000000002
1941,Payroll Taxes,0.017
1942,Payroll Taxes,0.017
1943,Payroll Taxes,0.016
1944,Payroll Taxes,0.016
1945,Payroll Taxes,0.015
1946,Payroll Taxes,0.013999999999999999
1947,Payroll Taxes,0.013999999999999999
1948,Payroll Taxes,0.013999999999999999
1949,Payroll Taxes,0.013999999999999999
1950,Payroll Taxes,0.016
1951,Payroll Taxes,0.017
1952,Payroll Taxes,0.018000000000000002
1953,Payroll Taxes,0.018000000000000002
1954,Payroll Taxes,0.019
1955,Payroll Taxes,0.019
1956,Payroll Taxes,0.021
