Country,Country Code,Year,Value
Canada,CAN,1960,
Spain,ESP,1960,
France,FRA,1960,
United Kingdom,GBR,1960,
Italy,ITA,1960,
Japan,JPN,1960,
United States,USA,1960,
Canada,CAN,1961,
Spain,ESP,1961,
France,FRA,1961,
United Kingdom,GBR,1961,
Italy,ITA,1961,
Japan,JPN,1961,
United States,USA,1961,
Canada,CAN,1962,
Spain,ESP,1962,
France,FRA,1962,
United Kingdom,GBR,1962,
Italy,ITA,1962,
Japan,JPN,1962,
United States,USA,1962,
Canada,CAN,1963,
Spain,ESP,1963,
France,FRA,1963,
United Kingdom,GBR,1963,
Italy,ITA,1963,
Japan,JPN,1963,
United States,USA,1963,
Canada,CAN,1964,
Spain,ESP,1964,
France,FRA,1964,
United Kingdom,GBR,1964,
Italy,ITA,1964,
Japan,JPN,1964,
United States,USA,1964,
Canada,CAN,1965,
Spain,ESP,1965,
France,FRA,1965,
United Kingdom,GBR,1965,
Italy,ITA,1965,
Japan,JPN,1965,
United States,USA,1965,
Canada,CAN,1966,
Spain,ESP,1966,
France,FRA,1966,
United Kingdom,GBR,1966,
Italy,ITA,1966,
Japan,JPN,1966,
United States,USA,1966,
Canada,CAN,1967,
Spain,ESP,1967,
France,FRA,1967,
United Kingdom,GBR,1967,
Italy,ITA,1967,
Japan,JPN,1967,
United States,USA,1967,
Canada,CAN,1968,
Spain,ESP,1968,
France,FRA,1968,
United Kingdom,GBR,1968,
Italy,ITA,1968,
Japan,JPN,1968,
United States,USA,1968,
Canada,CAN,1969,
Spain,ESP,1969,
France,FRA,1969,
United Kingdom,GBR,1969,
Italy,ITA,1969,
Japan,JPN,1969,
United States,USA,1969,
Canada,CAN,1970,
Spain,ESP,1970,
France,FRA,1970,
United Kingdom,GBR,1970,
Italy,ITA,1970,
Japan,JPN,1970,
United States,USA,1970,
Canada,CAN,1971,
Spain,ESP,1971,
France,FRA,1971,
United Kingdom,GBR,1971,
Italy,ITA,1971,
Japan,JPN,1971,
United States,USA,1971,
Canada,CAN,1972,
Spain,ESP,1972,
France,FRA,1972,
United Kingdom,GBR,1972,
Italy,ITA,1972,
Japan,JPN,1972,
United States,USA,1972,
Canada,CAN,1973,
Spain,ESP,1973,
France,FRA,1973,
United Kingdom,GBR,1973,
Italy,ITA,1973,
Japan,JPN,1973,
United States,USA,1973,
Canada,CAN,1974,
Spain,ESP,1974,
France,FRA,1974,
United Kingdom,GBR,1974,
Italy,ITA,1974,
Japan,JPN,1974,
United States,USA,1974,
Canada,CAN,1975,
Spain,ESP,1975,
France,FRA,1975,
United Kingdom,GBR,1975,
Italy,ITA,1975,
Japan,JPN,1975,
United States,USA,1975,
Canada,CAN,1976,
Spain,ESP,1976,
France,FRA,1976,
United Kingdom,GBR,1976,
Italy,ITA,1976,
Japan,JPN,1976,
United States,USA,1976,
Canada,CAN,1977,
Spain,ESP,1977,
France,FRA,1977,
United Kingdom,GBR,1977,
Italy,ITA,1977,
Japan,JPN,1977,
United States,USA,1977,
Canada,CAN,1978,
Spain,ESP,1978,
France,FRA,1978,
United Kingdom,GBR,1978,
Italy,ITA,1978,
Japan,JPN,1978,
United States,USA,1978,
Canada,CAN,1979,
Spain,ESP,1979,
France,FRA,1979,
United Kingdom,GBR,1979,
Italy,ITA,1979,
Japan,JPN,1979,
United States,USA,1979,
Canada,CAN,1980,
Spain,ESP,1980,
France,FRA,1980,
United Kingdom,GBR,1980,
Italy,ITA,1980,
Japan,JPN,1980,
United States,USA,1980,
Canada,CAN,1981,
Spain,ESP,1981,
France,FRA,1981,
United Kingdom,GBR,1981,
Italy,ITA,1981,
Japan,JPN,1981,
United States,USA,1981,
Canada,CAN,1982,
Spain,ESP,1982,
France,FRA,1982,
United Kingdom,GBR,1982,
Italy,ITA,1982,
Japan,JPN,1982,
United States,USA,1982,
Canada,CAN,1983,
Spain,ESP,1983,
France,FRA,1983,
United Kingdom,GBR,1983,
Italy,ITA,1983,
Japan,JPN,1983,
United States,USA,1983,
Canada,CAN,1984,
Spain,ESP,1984,
France,FRA,1984,
United Kingdom,GBR,1984,
Italy,ITA,1984,
Japan,JPN,1984,
United States,USA,1984,
Canada,CAN,1985,
Spain,ESP,1985,
France,FRA,1985,
United Kingdom,GBR,1985,
Italy,ITA,1985,
Japan,JPN,1985,
United States,USA,1985,
Canada,CAN,1986,
Spain,ESP,1986,
France,FRA,1986,
United Kingdom,GBR,1986,
Italy,ITA,1986,
Japan,JPN,1986,
United States,USA,1986,
Canada,CAN,1987,
Spain,ESP,1987,
France,FRA,1987,
United Kingdom,GBR,1987,
Italy,ITA,1987,
Japan,JPN,1987,
United States,USA,1987,
Canada,CAN,1988,
Spain,ESP,1988,
France,FRA,1988,
United Kingdom,GBR,1988,
