year,indicator,value
1970,Exports (% of GDP),0.220354796055169
1971,Exports (% of GDP),0.221190814985212
1972,Exports (% of GDP),0.20850479031357502
1973,Exports (% of GDP),0.226824655826145
1974,Exports (% of GDP),0.271014923511334
1975,Exports (% of GDP),0.256676903929572
1976,Exports (% of GDP),0.283051564310545
1977,Exports (% of GDP),0.29981718120093404
1978,Exports (% of GDP),0.283065550373081
1979,Exports (% of GDP),0.276663891207132
1980,Exports (% of GDP),0.268961069038285
1981,Exports (% of GDP),0.262535027965141
1982,Exports (% of GDP),0.25902631150488103
1983,Exports (% of GDP),0.260333968006291
1984,Exports (% of GDP),0.27830488894525396
1985,Exports (% of GDP),0.281867599035806
1986,Exports (% of GDP),0.251047432313538
1987,Exports (% of GDP),0.24618288903753602
1988,Exports (% of GDP),0.221704755594904
1989,Exports (% of GDP),0.226410077809473
1990,Exports (% of GDP),0.23329635699470297
1991,Exports (% of GDP),0.225955537790563
1992,Exports (% of GDP),0.22923527381466
1993,Exports (% of GDP),0.24831931347088
1994,Exports (% of GDP),0.260778732038283
1995,Exports (% of GDP),0.256967602854533
1996,Exports (% of GDP),0.262671449164796
1997,Exports (% of GDP),0.256189888987303
1998,Exports (% of GDP),0.243214027865864
1999,Exports (% of GDP),0.242105152537386
2000,Exports (% of GDP),0.255563430576261
2001,Exports (% of GDP),0.254493099773846
2002,Exports (% of GDP),0.244315052325124
2003,Exports (% of GDP),0.239686749011091
2004,Exports (% of GDP),0.239845291728171
2005,Exports (% of GDP),0.252070017509366
2006,Exports (% of GDP),0.27412859926391
2007,Exports (% of GDP),0.254079803883281
2008,Exports (% of GDP),0.27379437367098197
2009,Exports (% of GDP),0.267073659504747
2010,Exports (% of GDP),0.287463664387355
2011,Exports (% of GDP),0.312649218986254
2012,Exports (% of GDP),0.304995388300455
2013,Exports (% of GDP),0.30207616015453803
2014,Exports (% of GDP),0.285320090066163
2015,Exports (% of GDP),0.278790736176463
2016,Exports (% of GDP),0.29061556150252804
2017,Exports (% of GDP),0.309738310965649
2018,Exports (% of GDP),0.31854534000688
2019,Exports (% of GDP),0.31902860280315504
2020,Exports (% of GDP),0.299486520576829
2021,Exports (% of GDP),0.292894071087705
2022,Exports (% of GDP),0.34061928383706896
2023,Exports (% of GDP),0.319122697629938
2024,Exports (% of GDP),0.309841588401688
1970,Imports (% of GDP),0.20968828855301103
1971,Imports (% of GDP),0.205311403220506
1972,Imports (% of GDP),0.207334983983307
1973,Imports (% of GDP),0.247645621803191
1974,Imports (% of GDP),0.316395733871608
1975,Imports (% of GDP),0.270908550981935
1976,Imports (% of GDP),0.291157265353418
1977,Imports (% of GDP),0.28949547130277997
1978,Imports (% of GDP),0.266785222906664
1979,Imports (% of GDP),0.269943736643302
1980,Imports (% of GDP),0.244141733546691
1981,Imports (% of GDP),0.231375268037981
1982,Imports (% of GDP),0.23710912304029003
1983,Imports (% of GDP),0.247799180188297
1984,Imports (% of GDP),0.27577805191585997
1985,Imports (% of GDP),0.267641215367304
1986,Imports (% of GDP),0.25423076885581897
1987,Imports (% of GDP),0.252765846062746
1988,Imports (% of GDP),0.251898464052096
1989,Imports (% of GDP),0.26036005592114597
1990,Imports (% of GDP),0.249201907506095
1991,Imports (% of GDP),0.22720106301873902
1992,Imports (% of GDP),0.233824193284437
1993,Imports (% of GDP),0.249162654330582
1994,Imports (% of GDP),0.25808233806944797
1995,Imports (% of GDP),0.25133316411691803
1996,Imports (% of GDP),0.257904639731001
1997,Imports (% of GDP),0.25085572939650896
1998,Imports (% of GDP),0.248195061048819
1999,Imports (% of GDP),0.252578752626043
2000,Imports (% of GDP),0.26781678175964196
2001,Imports (% of GDP),0.271849267562592
2002,Imports (% of GDP),0.268046768666199
2003,Imports (% of GDP),0.260994438028613
2004,Imports (% of GDP),0.263040230027962
2005,Imports (% of GDP),0.273372722873845
2006,Imports (% of GDP),0.29291919246590203
2007,Imports (% of GDP),0.273413721081452
2008,Imports (% of GDP),0.290571127381622
2009,Imports (% of GDP),0.279463641581244
2010,Imports (% of GDP),0.303048137840466
2011,Imports (% of GDP),0.32059139672264597
2012,Imports (% of GDP),0.31469331617207996
2013,Imports (% of GDP),0.315119235000045
2014,Imports (% of GDP),0.302890138267133
2015,Imports (% of GDP),0.292459709877926
2016,Imports (% of GDP),0.30777975363573096
2017,Imports (% of GDP),0.32216093479851
2018,Imports (% of GDP),0.330552381952321
2019,Imports (% of GDP),0.331007061373899
2020,Imports (% of GDP),0.292112372453782
2021,Imports (% of GDP),0.292489791841395
2022,Imports (% of GDP),0.351369980576912
2023,Imports (% of GDP),0.330801144117865
2024,Imports (% of GDP),0.31856001686543
