Stage,Response,Percentage
Understanding the need for a product,Easy (codes 4 or 5),56
Understanding the need for a product,Neutral (code 3),31
Understanding the need for a product,Difficult (codes 1 or 2),12
Choosing a product,Easy (codes 4 or 5),50
Choosing a product,Neutral (code 3),31
Choosing a product,Difficult (codes 1 or 2),19
Purchasing a product,Easy (codes 4 or 5),67
Purchasing a product,Neutral (code 3),22
Purchasing a product,Difficult (codes 1 or 2),10
Product implementation,Easy (codes 4 or 5),47
Product implementation,Neutral (code 3),33
Product implementation,Difficult (codes 1 or 2),17
Ongoing use,Easy (codes 4 or 5),66
Ongoing use,Neutral (code 3),25
Ongoing use,Difficult (codes 1 or 2),8
