code,name,gva_pj,jobs,short_name,type,parent_name,parent,parent_max,parent_median,label_high,label_low
E47000001,Greater Manchester Combined Authority,60911.4,1469610.0,Greater Manchester,City Region,North West,E12000002,85199.9,52826.9,Greater Manchester,
E47000002,South Yorkshire Mayoral Combined Authority,51680.5,622266.0,South Yorkshire,City Region,Yorkshire and The Humber,E12000003,71553.7,55111.5,,
E47000003,West Yorkshire Combined Authority,57145.6,1167667.0,West Yorkshire,City Region,Yorkshire and The Humber,E12000003,71553.7,55111.5,West Yorkshire,
E47000004,Liverpool City Region Combined Authority,56417.7,701712.0,Liverpool,City Region,North West,E12000002,85199.9,52826.9,,Liverpool
E47000006,Tees Valley Combined Authority,55202.6,284896.0,Tees Valley,City Region,North East,E12000001,56499.7,55202.6,,
E47000007,West Midlands Combined Authority,56468.8,1351809.0,West Midlands,City Region,West Midlands,E12000005,64787.6,54247.3,West Midlands,
E47000008,Cambridgeshire and Peterborough Combined Authority,65015.8,477314.0,Cambridgeshire & Peterborough,City Region,East,E12000006,65015.8,65015.8,,
E47000009,West of England Combined Authority,66048.0,596430.0,West of England,City Region,South West,E12000009,88243.7,51502.9,West of England,
E47000010,North East Combined Authority,54389.4,451650.0,North East,City Region,North East,E12000001,56499.7,55202.6,,North East
E47000011,North of Tyne Combined Authority,56499.7,403825.0,North of Tyne,City Region,North East,E12000001,56499.7,55202.6,,
N34000001,Belfast City Region,60243.0,540411.0,Belfast,City Region,Northern Ireland,N92000002,60243.0,53903.2,,
N34000002,Derry-Londonderry City Region,49880.5,68584.0,Derry-Londonderry,City Region,Northern Ireland,N92000002,60243.0,53903.2,,Derry-Londonderry
Not available,Aberdeen City Region,65942.9,271523.0,Aberdeen,City Region,Scotland,S92000003,70270.9,54991.4,,
Not available,Edinburgh and South East Scotland City Region,70270.9,716314.0,Edinburgh & SE Scot,City Region,Scotland,S92000003,70270.9,54991.4,Edinburgh & SE Scot,
Not available,Forth Valley Region,62882.5,130847.0,Forth Valley,City Region,Scotland,S92000003,70270.9,54991.4,,
Not available,Glasgow City Region,59714.0,893727.0,Glasgow,City Region,Scotland,S92000003,70270.9,54991.4,,
Not available,Greater Brighton City Region,65156.5,497495.0,Greater Brighton,City Region,South East,E12000008,115911.8,61776.7,Greater Brighton,
Not available,Inner London,99938.5,3792933.0,Inner London,City Region,London,E12000007,99938.5,82449.05,Inner London,
Not available,Mid South West Growth Deal,57376.8,199035.0,Mid South West,City Region,Northern Ireland,N92000002,60243.0,53903.2,,
Not available,Outer London,64959.6,2156986.0,Outer London,City Region,London,E12000007,99938.5,82449.05,,Outer London
Not available,Tay Cities Region,57308.4,335430.0,Tay Cities,City Region,Scotland,S92000003,70270.9,54991.4,,
W42000001,Cardiff Capital Region,56051.0,685590.0,Cardiff,City Region,Wales,W92000004,59065.1,45553.2,Cardiff,
W42000004,Swansea Bay City Region,51116.2,297733.0,Swansea Bay,City Region,Wales,W92000004,59065.1,45553.2,,
E06000007,Warrington,60988.0,143181.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E06000008,Blackburn with Darwen,48570.5,73598.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E06000009,Blackpool,42587.0,67218.0,,Local Authority,North West,E12000002,85199.9,52826.9,,
E06000010,"Kingston upon Hull, City of",49078.1,131247.0,,Local Authority,Yorkshire and The Humber,E12000003,71553.7,55111.5,,
E06000011,East Riding of Yorkshire,59087.7,140831.0,,Local Authority,Yorkshire and The Humber,E12000003,71553.7,55111.5,,
E06000012,North East Lincolnshire,53077.4,70121.0,,Local Authority,Yorkshire and The Humber,E12000003,71553.7,55111.5,,
E06000013,North Lincolnshire,71553.7,82284.0,,Local Authority,Yorkshire and The Humber,E12000003,71553.7,55111.5,,
E06000014,York,58502.3,118074.0,,Local Authority,Yorkshire and The Humber,E12000003,71553.7,55111.5,,
E06000015,Derby,55890.1,147400.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E06000016,Leicester,52914.4,187479.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E06000017,Rutland,48587.0,19125.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E06000018,Nottingham,49917.2,223716.0,,Local Authority,East Midlands,E12000004,82714.8,51954.6,,
E06000019,"Herefordshire, County of",42952.1,96365.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E06000020,Telford and Wrekin,59554.5,95711.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E06000021,Stoke-on-Trent,50667.3,125987.0,,Local Authority,West Midlands,E12000005,64787.6,54247.3,,
E06000024,North Somerset,49717.2,99101.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E06000026,Plymouth,49553.3,131218.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E06000027,Torbay,39282.1,58323.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E06000030,Swindon,88243.7,116506.0,,Local Authority,South West,E12000009,88243.7,51502.9,,
E06000032,Luton,56544.1,113622.0,,Local Authority,East of England,,,,,
E06000033,Southend-on-Sea,41211.8,74043.0,,Local Authority,East of England,,,,,
E06000034,Thurrock,62687.8,79766.0,,Local Authority,East of England,,,,,
E06000035,Medway,58659.8,107487.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E06000036,Bracknell Forest,83662.0,58627.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E06000037,West Berkshire,87099.7,107228.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E06000038,Reading,79572.0,121861.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E06000039,Slough,115911.8,87740.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E06000040,Windsor and Maidenhead,88656.0,95992.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E06000041,Wokingham,99006.4,94952.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
E06000042,Milton Keynes,78891.0,181031.0,,Local Authority,South East,E12000008,115911.8,61776.7,,
