"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Dataset Coverage (%)"
"EU";"E";"EU";"339.9971";"29.76";"-0.13";"3519";"9.66";"988.07";"2446";"1142.6337";"12125.6";"20237.05";"1038.7961";"106.088";"100"
"country";"C";"Austria";"36.1419";"35.86";"-0.08";"78.2";"46.22";"38.82";"119";"100.7909";"863.6";"1083.51";"101.3803";"0.0078";"100"
"company";"N";"GSA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Haidach (GSA) // historical data prior to 6 Oct 2022";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"OMV Gas Storage (11)";"7.9738";"29.23";"-0.08";"0";"0";"0";"21.7";"27.283";"213.34";"308.31";"27.6334";"0";"0"
"facility";"C";"VGS OMV Gas Storage Pool (Tallesbrunn & Schönkirchen / Reyersdorf)";"7.9738";"29.23";"-0.08";"0";"0";"0";"21.7";"27.283";"213.34";"308.31";"27.6334";"0";"0"
"company";"C";"RAG Energy Storage";"16.2347";"44.87";"-0.18";"0";"0";"0";"65.9";"36.184";"336.12";"374.52";"36.4308";"0";"0"
"facility";"C";"RAG Storage Pool (Puchkirchen / Haag, Aigelsbrunn, Haidach 5, 7Fields-RAG, Haidach)";"16.2347";"44.87";"-0.18";"0";"0";"0";"65.9";"36.184";"336.12";"374.52";"36.4308";"0";"0"
"company";"C";"SEFE Storage";"5.6126";"28.78";"0.2";"0";"0";"38.82";"0";"19.4989";"165.6";"177.87";"19.4989";"0";"0"
"facility";"C";"UGS Haidach (SEFE Storage)";"5.6126";"28.78";"0.2";"0";"0";"38.82";"0";"19.4989";"165.6";"177.87";"19.4989";"0";"0"
"company";"C";"Uniper Energy Storage (AT)";"6.3209";"35.46";"-0.18";"0";"0";"0";"31.4";"17.825";"148.54";"222.81";"17.8172";"0.0078";"0"
"facility";"C";"UGS 7 Fields (Uniper Energy Storage) - AT";"6.3209";"35.46";"-0.18";"0";"0";"0";"31.4";"17.825";"148.54";"222.81";"17.8172";"0.0078";"0"
"country";"C";"Belgium";"2.2883";"25.48";"-0.09";"152.95";"1.5";"0";"8.2";"8.98";"88.14";"169.66";"8.9812";"0";"100"
"company";"C";"Fluxys";"2.2883";"25.48";"-0.09";"0";"0";"0";"8.2";"8.98";"88.14";"169.66";"8.9812";"0";"0"
"facility";"C";"UGS Loenhout";"2.2883";"25.48";"-0.09";"0";"0";"0";"8.2";"8.98";"88.14";"169.66";"8.9812";"0";"0"
"country";"C";"Bulgaria";"2.9288";"41.81";"-0.3";"31.05";"9.43";"0";"20.8";"7.0044";"42.13";"46.88";"5.16";"1.44";"100"
"company";"C";"Bulgartransgaz (4)";"2.9288";"41.81";"-0.3";"0";"0";"0";"20.8";"7.0044";"42.13";"46.88";"5.16";"1.44";"0"
"facility";"C";"UGS Chiren";"2.9288";"41.81";"-0.3";"0";"0";"0";"20.8";"7.0044";"42.13";"46.88";"5.16";"1.44";"0"
"country";"C";"Croatia";"0.5371";"11.25";"-0.19";"27.6";"1.95";"3.75";"11.4";"4.7725";"43.87";"51.57";"4.7725";"0";"100"
"company";"C";"PSP";"0.5371";"11.25";"-0.19";"0";"0";"3.75";"11.4";"4.7725";"43.87";"51.57";"4.7725";"0";"0"
"facility";"C";"UGS Okoli";"0.5371";"11.25";"-0.19";"0";"0";"3.75";"11.4";"4.7725";"43.87";"51.57";"4.7725";"0";"0"
"country";"C";"Czech Republic";"14.5364";"30.89";"-0.36";"77.05";"18.87";"42.06";"142.7";"47.0535";"558.17";"732.07";"47.2991";"0.6638";"100"
"company";"C";"Gas Storage CZ";"8.3766";"26.72";"-0.38";"0";"0";"41.49";"91.6";"31.35";"363.9";"451.12";"32.2595";"0";"0"
"facility";"C";"VGS GSCZ (Háje, Třanovice, Štramberk, Tvrdonice, Dolni Dunajovice, Lobodice)";"8.3766";"26.72";"-0.38";"0";"0";"41.49";"91.6";"31.35";"363.9";"451.12";"32.2595";"0";"0"
"company";"C";"MND Energy Storage";"0.5041";"13.61";"-0.4";"0";"0";"0.56";"14.8";"3.7044";"60";"98";"3.7044";"0";"0"
"facility";"C";"UGS Uhřice";"0.5041";"13.61";"-0.4";"0";"0";"0.56";"14.8";"3.7044";"60";"98";"3.7044";"0";"0"
"company";"C";"MND Gas Storage";"0.5153";"10.19";"-0.53";"0";"0";"0";"27.2";"5.0551";"60.84";"87.37";"5.0551";"0";"0"
"facility";"C";"UGS Dambořice";"0.5153";"10.19";"-0.53";"0";"0";"0";"27.2";"5.0551";"60.84";"87.37";"5.0551";"0";"0"
"company";"C";"SPP Storage";"5.1404";"74.03";"-0.13";"0";"0";"0";"9.1";"6.9439";"73.43";"95.58";"6.2801";"0.6638";"0"
"facility";"C";"UGS Dolni Bojanovice";"5.1404";"74.03";"-0.13";"0";"0";"0";"9.1";"6.9439";"73.43";"95.58";"6.2801";"0.6638";"0"
"country";"C";"Denmark";"2.6354";"26.92";"0.13";"18.4";"14.32";"19.05";"6.8";"9.79";"90.72";"180";"6.9965";"1.961";"100"
