"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Dataset Coverage (%)"
"facility";"C";"VGS SEDIANE (Saint-Illiers, Beynes Supérieur, Beynes Profond)";"2.5217";"17.99";"0.39";"0";"0";"77.05";"21.8";"14.0136";"156.36";"270.26";"14.0136";"0";"0"
"facility";"C";"VGS SEDIANE B (Gournay-sur-Aronde)";"0.9073";"15.16";"-0.55";"0";"0";"0";"33";"5.9844";"51.15";"166.23";"5.9844";"0";"0"
"facility";"N";"VGS SEDIANE LITTORAL  // Historical data prior to 1 April 2019 (Chémery, Céré-la-Ronde, Soings-en-Sologne)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"VGS SERENE ATLANTIQUE ((Chéméry, Céré-la-Ronde, Soings-en-Sologne)";"8.2813";"18.45";"-0.2";"0";"0";"36.41";"127.5";"44.8833";"374.03";"643.29";"44.8833";"0";"0"
"facility";"C";"VGS SERENE NORD (Trois Fontaines l’Abbaye, Cerville, Germiny-sous-Coulombs, Saint-Clair-sur-Epte)";"2.4712";"16.52";"-0.25";"0";"0";"5.89";"42.7";"14.9611";"124.68";"176.01";"14.9611";"0";"0"
"facility";"N";"VGS SERENE SUD // Historical data prior to 1 April 2019 (Chémery, Céré-la-Ronde, Soings-en-Sologne)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Teréga";"8.7623";"25.84";"0.56";"0";"0";"227.14";"36.2";"33.9118";"300.13";"580.01";"33.9118";"0";"0"
"facility";"C";"VGS Lussagnet (TERÉGA)";"8.7623";"25.84";"0.56";"0";"0";"227.14";"36.2";"33.9118";"300.13";"580.01";"33.9118";"0";"0"
"country";"E";"Germany";"53.1171";"21.15";"0.19";"903.9";"5.88";"743.54";"260.6";"251.1442";"4258";"7086.73";"208.2001";"44.0267";"100"
"company";"C";"bayernugs";"0.1488";"3.64";"0";"0";"0";"0";"0";"4.088";"37.63";"64.51";"4.2231";"0";"0"
"facility";"C";"UGS Wolfersberg";"0.1488";"3.64";"0";"0";"0";"0";"0";"4.088";"37.63";"64.51";"4.2231";"0";"0"
"company";"N";"BES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Berlin (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"EDF Gas Deutschland";"0.3927";"20.08";"0";"0";"0";"0";"0";"1.9557";"54";"94.5";"1.9557";"0";"0"
"facility";"C";"UGS Etzel EDF (VGS)";"0.3927";"20.08";"0";"0";"0";"0";"0";"1.9557";"54";"94.5";"1.9557";"0";"0"
"company";"C";"EnBW Etzel Speicher";"0.899";"43.27";"2.54";"0";"0";"52.8";"0";"2.0779";"54";"94.5";"2.0779";"0";"0"
"facility";"C";"UGS Etzel EnBW (VGS)";"0.899";"43.27";"2.54";"0";"0";"52.8";"0";"2.0779";"54";"94.5";"2.0779";"0";"0"
"company";"C";"Eneco Gasspeicher";"0.7747";"53.98";"0.18";"0";"0";"8.57";"6";"1.4352";"93.6";"93.6";"1.4352";"0";"0"
"facility";"C";"UGS Enschede - Epe (Eneco)";"0.7747";"53.98";"0.18";"0";"0";"8.57";"6";"1.4352";"93.6";"93.6";"1.4352";"0";"0"
"company";"C";"enercity";"1.0167";"43.64";"0.18";"0";"0";"12";"7.9";"2.33";"19.7";"73.92";"2.33";"0";"0"
"facility";"C";"UGS Ronnenberg-Empelde";"1.0167";"43.64";"0.18";"0";"0";"12";"7.9";"2.33";"19.7";"73.92";"2.33";"0";"0"
"company";"E";"Enovos Storage";"0.0372";"3.84";"-0.04";"0";"0";"21.78";"22.2";"0.9677";"6.45";"16.13";"0.4838";"0.4838";"0"
"facility";"E";"UGS Frankenthal";"0.0372";"3.84";"-0.04";"0";"0";"21.78";"22.2";"0.9677";"6.45";"16.13";"0.4838";"0.4838";"0"
"company";"C";"Equinor Storage Deutschland";"0.5119";"23.73";"0";"0";"0";"0";"0";"2.1568";"210.67";"361.15";"2.1568";"0";"0"
"facility";"C";"UGS Etzel EGL (Equinor Storage Deutschland)";"0.5119";"23.73";"0";"0";"0";"0";"0";"2.1568";"210.67";"361.15";"2.1568";"0";"0"
"company";"C";"Erdgasspeicher Peissen";"0.8638";"13.28";"-0.03";"0";"0";"0";"1.9";"6.5041";"137.88";"275.76";"6.5041";"0";"0"
"facility";"C";"UGS Katharina";"0.8638";"13.28";"-0.03";"0";"0";"0";"1.9";"6.5041";"137.88";"275.76";"6.5041";"0";"0"
"company";"C";"EKB";"4.519";"42.48";"0.52";"0";"0";"54.92";"0";"10.6388";"122.04";"216.96";"10.6388";"0";"0"
"facility";"C";"UGS Etzel EKB";"4.519";"42.48";"0.52";"0";"0";"54.92";"0";"10.6388";"122.04";"216.96";"10.6388";"0";"0"
"company";"C";"EWE Gasspeicher";"3.4073";"19.87";"0.07";"0";"0";"65.42";"53.6";"17.1462";"250.39";"540.24";"16.5797";"0.5664";"0"
"facility";"C";"EWE H-Gas Zone";"0.518";"12.48";"-0.14";"0";"0";"0";"6";"4.1496";"53.83";"124.2";"3.5911";"0.5585";"0"
"facility";"C";"UGS EWE-Zone L";"0.9905";"32.62";"-0.24";"0";"0";"19.15";"26.3";"3.0362";"39.98";"141.12";"3.0362";"0";"0"
"facility";"C";"UGS Jemgum H (EWE)";"0.6667";"19.66";"-0.02";"0";"0";"6.67";"7.2";"3.3917";"55.2";"69";"3.3875";"0.0041";"0"
"facility";"N";"UGS Nüttermoor H aggregated data prior to 7 April 2016";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Nüttermoor H-2";"0.3629";"20.3";"-0.64";"0";"0";"0";"11.4";"1.7875";"24.84";"49.68";"1.7875";"0";"0"
"facility";"C";"UGS Nüttermoor H-3";"0.4288";"17.03";"1.57";"0";"0";"39.6";"0";"2.5184";"41.04";"82.08";"2.5184";"0";"0"
"facility";"C";"UGS Nüttermoor H-5";"0.2984";"23.61";"-0.19";"0";"0";"0";"2.5";"1.2638";"24.84";"41.4";"1.26";"0.0038";"0"
"facility";"N";"UGS Nüttermoor L GUD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Rüdersdorf H";"0.1419";"14.21";"-0.02";"0";"0";"0.01";"0.2";"0.999";"10.66";"32.76";"0.999";"0";"0"
"company";"C";"HanseWerk";"0.675";"29.12";"-0.25";"0";"0";"0";"5.8";"2.3184";"48.38";"80.64";"2.3184";"0";"0"
"facility";"C";"UGS Kraak";"0.675";"29.12";"-0.25";"0";"0";"0";"5.8";"2.3184";"48.38";"80.64";"2.3184";"0";"0"
"company";"C";"MET Epe Speicher";"0.2611";"12.93";"-0.07";"0";"0";"0";"1.3";"2.0203";"41.04";"109.44";"2.0203";"0";"0"
"facility";"C";"UGS Epe (MET Epe Speicher)";"0.2611";"12.93";"-0.07";"0";"0";"0";"1.3";"2.0203";"41.04";"109.44";"2.0203";"0";"0"
"company";"C";"MET Speicher";"0.9277";"29.92";"0";"0";"0";"0";"0";"3.101";"80.59";"97.37";"3.101";"0";"0"
"facility";"C";"UGS Etzel ESE (MET)";"0.3629";"24.34";"0";"0";"0";"0";"0";"1.491";"55.3";"46.78";"1.491";"0";"0"
"facility";"C";"UGS Reckrod";"0.5648";"35.08";"0";"0";"0";"0";"0";"1.61";"25.3";"50.59";"1.61";"0";"0"
"company";"C";"MND Energy Storage Germany";"0.3457";"14.71";"-0.23";"0";"0";"0";"5.2";"2.35";"32.74";"49.03";"2.35";"0";"0"
"facility";"N";"UGS Haehnlein (historical data prior to 01/04/2016)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Stockstadt (historical data prior to 01/04/2016)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"VGS Zone MND ESG (UGS Stockstadt + UGS Haehnlein)";"0.3457";"14.71";"-0.23";"0";"0";"0";"5.2";"2.35";"32.74";"49.03";"2.35";"0";"0"
"company";"N";"N-ERGIE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Eschenfelden (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"NAFTA Speicher Inzenham";"0.8205";"17.09";"0";"0";"0";"0";"0";"4.8025";"43.35";"61.2";"1";"3.8025";"0"
"facility";"C";"UGS Inzenham-West";"0.8205";"17.09";"0";"0";"0";"0";"0";"4.8025";"43.35";"61.2";"1";"3.8025";"0"
"company";"C";"NUON Epe Gasspeicher";"0.6921";"25.52";"0";"0";"0";"17.96";"0";"2.7123";"84.97";"141.61";"2.7123";"0";"0"
"facility";"C";"UGS Enschede - Epe (Nuon)";"0.6921";"25.52";"0";"0";"0";"17.96";"0";"2.7123";"84.97";"141.61";"2.7123";"0";"0"
"company";"C";"OMV Gas Storage Germany";"1.6435";"31.52";"0.26";"0";"0";"13.37";"0";"5.214";"71.76";"118.32";"5.159";"0.055";"0"
"facility";"C";"UGS Etzel ESE (OMV)";"1.6435";"31.52";"0.26";"0";"0";"13.37";"0";"5.214";"71.76";"118.32";"5.159";"0.055";"0"
"company";"C";"RWE Gas Storage West";"4.4643";"26.44";"-0.05";"0";"0";"17.23";"25.2";"16.887";"286.52";"723.92";"17.1677";"0.6675";"0"
"facility";"C";"INNEXPOOL-RWEGSW";"2.3819";"38.53";"0.28";"0";"0";"17.23";"0";"6.1822";"104.93";"328.61";"6.3318";"0";"0"
"facility";"N";"UGS Epe-H-RWEGSWEST (historical data prior to 1 April 2017)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Epe-L-RWEGSW";"0.3583";"16.7";"-0.97";"0";"0";"0";"20.9";"2.1452";"48.39";"96.78";"2.3892";"0.3155";"0"
"facility";"C";"UGS Epe-NL-RWEGSWEST";"0.3187";"18.46";"-0.02";"0";"0";"0";"0.3";"1.7259";"47.72";"119.3";"1.6518";"0.095";"0"
"facility";"N";"UGS Hoogstede-Kalle (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS STASSFURT-RWEGSWEST";"1.4055";"20.57";"-0.06";"0";"0";"0";"4";"6.8337";"85.48";"179.23";"6.7949";"0.257";"0"
"facility";"N";"UGS Xanten-RWEGSWEST (historical data prior to 1 April 2017)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"SEFE Storage (Germany)";"5.3982";"9.82";"0.09";"0";"0";"101.95";"50";"54.9944";"535.43";"813.83";"24.2793";"30.715";"0"
"facility";"C";"UGS Jemgum H (SEFE Storage)";"2.9336";"30.66";"0.88";"0";"0";"83.95";"0";"9.568";"164.8";"253.33";"9.568";"0";"0"
"facility";"C";"UGS Rehden";"2.1981";"4.92";"-0.11";"0";"0";"0";"50";"44.6763";"352.62";"542.5";"13.9613";"30.715";"0"
"facility";"C";"VSP NORD (Rehden, Jemgum)";"0.2665";"35.54";"2.4";"0";"0";"18";"0";"0.75";"18";"18";"0.75";"0";"0"
"company";"C";"Storengy Deutschland";"3.043";"16.41";"0.03";"0";"0";"6.68";"1.2";"18.539";"247.32";"528.24";"18.539";"0";"0"
"facility";"N";"UGS Fronhofen (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Harsefeld";"0.2317";"18.69";"0.07";"0";"0";"0.93";"0";"1.24";"27.6";"82.56";"1.24";"0";"0"
"facility";"C";"UGS Lesum";"0.1747";"10.28";"0.05";"0";"0";"0.86";"0";"1.7";"31.68";"58.08";"1.7";"0";"0"
"facility";"C";"UGS Peckensen";"1.0665";"27.07";"0.07";"0";"0";"2.57";"0";"3.94";"86.04";"244.32";"3.94";"0";"0"
"facility";"C";"UGS Schmidhausen";"0.0065";"0.36";"-0.07";"0";"0";"0";"1.2";"1.785";"11.04";"34.32";"1.785";"0";"0"
"facility";"C";"UGS Uelsen";"1.5636";"15.84";"0.02";"0";"0";"2.32";"0";"9.874";"90.96";"108.96";"9.874";"0";"0"
"company";"E";"SWKiel Speicher";"0.1042";"18.8";"0";"0";"0";"0";"0";"0.554";"11.52";"27.12";"0.554";"0";"0"
"facility";"N";"UGS Kiel Rönne (historical data Hansewerk prior to 01/04/2020)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"E";"UGS Kiel-Rönne";"0.1042";"18.8";"0";"0";"0";"0";"0";"0.554";"11.52";"27.12";"0.554";"0";"0"
"company";"E";"TEP";"0.1358";"14.92";"-0.41";"0";"0";"0";"3.8";"0.9102";"10.8";"13.32";"0.9102";"0";"0"
"facility";"E";"TEP Storage Hub (Allmenhausen, Kirchheiligen)";"0.1358";"14.92";"-0.41";"0";"0";"0";"3.8";"0.9102";"10.8";"13.32";"0.9102";"0";"0"
"facility";"N";"UGS Allmenhausen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Trianel Gasspeicher Epe";"0.7676";"36.48";"0.03";"0";"0";"4.36";"3.6";"2.1041";"83.23";"166.46";"2.4191";"-0.315";"0"
"facility";"C";"UGS Epe Trianel";"0.7676";"36.48";"0.03";"0";"0";"4.36";"3.6";"2.1041";"83.23";"166.46";"2.4191";"-0.315";"0"
"company";"C";"Uniper Energy Storage";"16.7327";"27.36";"0.52";"0";"0";"366.34";"49.1";"61.1548";"1317.96";"1770.72";"53.1027";"8.0515";"0"
"facility";"C";"UGS Bierwang";"2.7993";"29.57";"-0.5";"0";"0";"0";"47.9";"9.468";"274.8";"357.24";"9.468";"0";"0"
"facility";"C";"UGS Breitbrunn";"1.1259";"9.78";"0";"0";"0";"0";"0.4";"11.5176";"69.3";"144.14";"6.8";"4.7176";"0"
"facility";"C";"UGS Epe Uniper H-Gas";"5.5071";"33.46";"1.17";"0";"0";"192.83";"0";"16.4565";"331.2";"469.2";"15.2966";"1.1599";"0"
"facility";"C";"UGS Epe Uniper L-Gas";"0.654";"40.36";"-0.05";"0";"0";"0";"0.8";"1.6203";"48";"120";"1.6065";"0.0138";"0"
"facility";"N";"UGS Eschenfelden (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Etzel Erdgas Lager EGL";"4.1383";"39.09";"1.32";"0";"0";"139.9";"0";"10.5859";"158.41";"276.45";"9.724";"0.8619";"0"
"facility";"C";"UGS Etzel ESE (Uniper Energy Storage)";"2.508";"21.8";"0.29";"0";"0";"33.61";"0";"11.5064";"436.25";"403.68";"10.2076";"1.2983";"0"
"facility";"N";"UGS Krummhorn (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"VNG Gasspeicher GmbH (6)";"4.5347";"18.75";"-0.1";"0";"0";"0.14";"23.7";"24.182";"376.02";"554.23";"24.182";"0";"0"
"facility";"C";"UGS Etzel ESE (VGS)";"0.1354";"10.25";"-0.45";"0";"0";"0";"6";"1.321";"29.23";"46.98";"1.321";"0";"0"
"facility";"N";"UGS Jemgum H (VGS) (historical data prior to 1 April 2025)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Kirchheiligen (historical data prior to 31 March 2018)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"VGS Storage Hub (Bernburg, Bad Lauchstädt)";"4.3993";"19.24";"-0.08";"0";"0";"0.14";"17.7";"22.861";"346.79";"507.25";"22.861";"0";"0"
"facility";"N";"VGS VTP Storage GPL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"country";"C";"Hungary";"23.1828";"34.1";"-0.07";"94.3";"24.58";"18.22";"63";"67.9909";"509.32";"798.9";"67.4683";"0.5225";"100"
"company";"C";"HEXUM";"13.3233";"65.32";"0.07";"0";"0";"17.74";"3.4";"20.3979";"134.61";"263.9";"20.1129";"0.285";"0"
"facility";"C";"UGS Szöreg-1";"13.3233";"65.32";"0.07";"0";"0";"17.74";"3.4";"20.3979";"134.61";"263.9";"20.1129";"0.285";"0"
"company";"C";"HGS (9)";"9.8596";"20.72";"-0.12";"0";"0";"0.48";"59.6";"47.5929";"374.71";"535";"47.3554";"0.2375";"0"
"facility";"C";"VGS MFGT (Pusztaederics, Zsana-Nord, Kardoskút-Pusztaszolos, Hajdúszoboszló)";"9.8596";"20.72";"-0.12";"0";"0";"0.48";"59.6";"47.5929";"374.71";"535";"47.3554";"0.2375";"0"
"country";"N";"Ireland";"0";"0";"0";"57.5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Kinsale Energy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Kinsale Southwest (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"country";"C";"Italy";"93.9061";"46.18";"-0.07";"677.35";"13.86";"196.73";"293.7";"203.3485";"1705.07";"2922.32";"163.86";"40.539";"100"
"company";"N";"Edison Stoccaggio  (7)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"VGS Edison Stoccaggio (Collalto, Cellino, San Potito & Cotignola) - Historical data prior to 1 Mar 2025";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"IGS (7)";"0.3109";"8.44";"-0.31";"0";"0";"0";"0";"3.685";"24.44";"44";"4.7355";"0";"0"
"facility";"C";"UGS Cornegliano";"0.3109";"8.44";"-0.31";"0";"0";"0";"0";"3.685";"24.44";"44";"4.7355";"0";"0"
"company";"C";"Stogit (7)";"93.5952";"46.88";"-0.07";"0";"0";"196.73";"293.7";"199.6635";"1680.63";"2878.32";"159.1245";"40.539";"0"
"facility";"C";"VGS HUB1 (Fiume Treste, Bordolano, Sabbioncello, Minerbio, Sergnano, Ripalta, Cortemaggiore, Brugherio, Settala)";"90.9682";"48.33";"-0.05";"0";"0";"196.73";"248.7";"188.2185";"1601.63";"2783.07";"147.6795";"40.539";"0"
"facility";"C";"VGS HUB2 (Collalto, Cellino, San Potito & Cotignola) (7)";"2.627";"22.95";"-0.39";"0";"0";"0";"45";"11.445";"79";"95.25";"11.445";"0";"0"
"country";"C";"Latvia";"5.0046";"20.13";"0";"9.2";"54.4";"0";"0";"24.8653";"100";"130";"17.6291";"7.2362";"100"
"company";"C";"AS Conexus Baltic Grid";"5.0046";"20.13";"0";"0";"0";"0";"0";"24.8653";"100";"130";"17.6291";"7.2362";"0"
"facility";"C";"UGS Incukalns";"5.0046";"20.13";"0";"0";"0";"0";"0";"24.8653";"100";"130";"17.6291";"7.2362";"0"
"country";"C";"Netherlands";"13.6114";"9.43";"-0.23";"300.15";"4.53";"31.79";"369.1";"144.2965";"1521.51";"2611.38";"142.9267";"1.3697";"100"
"company";"C";"EnergyStock";"1.1344";"31.81";"0.04";"0";"0";"31.79";"30.5";"3.5664";"312.41";"435.46";"2.927";"0.6394";"0"
"facility";"C";"UGS EnergyStock";"1.1344";"31.81";"0.04";"0";"0";"31.79";"30.5";"3.5664";"312.41";"435.46";"2.927";"0.6394";"0"
"company";"C";"EWE Gasspeicher (NL) (5) (8)";"0.3242";"11.45";"-0.01";"0";"0";"0";"0.2";"2.8303";"57.96";"82.8";"2.1";"0.7303";"0"
"facility";"N";"UGS Nüttermoor H-1 (historical data prior to 1 April 2025)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Nüttermoor H-4";"0.3242";"11.45";"-0.01";"0";"0";"0";"0.2";"2.8303";"57.96";"82.8";"2.1";"0.7303";"0"
"company";"C";"NAM";"3.8091";"4.58";"-0.33";"0";"0";"0";"271.8";"83.1885";"602.81";"1353";"83.1885";"0";"0"
"facility";"C";"UGS Grijpskerk L-gas";"0.6971";"2.92";"-0.32";"0";"0";"0";"77.4";"23.85";"154.06";"620.2";"23.85";"0";"0"
"facility";"C";"UGS Norg (Langelo) L-gas";"3.112";"5.24";"-0.33";"0";"0";"0";"194.4";"59.3385";"448.75";"732.8";"59.3385";"0";"0"
