Country,Year,Value
United Kingdom,2015,20235.27614
United Kingdom,2014,19720.04958
United Kingdom,2013,19568.61818
United Kingdom,2012,19655.03187
United Kingdom,2011,19695.65455
United Kingdom,2009,20683.68664
United Kingdom,2008,20449.41479
United Kingdom,2009,20200.64357
United Kingdom,2008,19971.84286
United Kingdom,2007,19998.50355
United Kingdom,2006,19450.79247
United Kingdom,2005,19065.28988
United Kingdom,2004,18216.47389
United Kingdom,2003,17219.02634
United Kingdom,2007,20476.713
United Kingdom,2006,19915.9049
United Kingdom,2005,19521.18408
