country,date,measure,value
United Kingdom,2004-12,T01:22 (Aged 16-64 - All : All People ),38339800
United Kingdom,2004-12,T01:40 (Aged 16-64 - Inactive : All People ),9154600
United Kingdom,2004-12,T01:43 (Aged 16-19 - All : All People ),3042600
United Kingdom,2004-12,T01:61 (Aged 16-19 - Inactive : All People ),1284200
United Kingdom,2004-12,T01:64 (Aged 20-24 - All : All People ),3766500
United Kingdom,2004-12,T01:82 (Aged 20-24 - Inactive : All People ),907200
United Kingdom,2004-12,T01:85 (Aged 25-34 - All : All People ),7928100
United Kingdom,2004-12,T01:103 (Aged 25-34 - Inactive : All People ),1333700
United Kingdom,2004-12,T01:106 (Aged 35-49 - All : All People ),13066400
United Kingdom,2004-12,T01:124 (Aged 35-49 - Inactive : All People ),2021800
United Kingdom,2004-12,T01:127 (Aged 50+ - All : All People ),19684800
United Kingdom,2004-12,T01:145 (Aged 50+ - Inactive : All People ),12191900
United Kingdom,2004-12,T01:148 (Aged 50-64 - All : All People ),10536200
United Kingdom,2004-12,T01:166 (Aged 50-64 - Inactive : All People ),3607700
England,2004-12,T01:22 (Aged 16-64 - All : All People ),32101000
England,2004-12,T01:40 (Aged 16-64 - Inactive : All People ),7552200
England,2004-12,T01:43 (Aged 16-19 - All : All People ),2524300
England,2004-12,T01:61 (Aged 16-19 - Inactive : All People ),1062900
England,2004-12,T01:64 (Aged 20-24 - All : All People ),3140900
England,2004-12,T01:82 (Aged 20-24 - Inactive : All People ),764100
England,2004-12,T01:85 (Aged 25-34 - All : All People ),6720200
England,2004-12,T01:103 (Aged 25-34 - Inactive : All People ),1126800
England,2004-12,T01:106 (Aged 35-49 - All : All People ),10937700
England,2004-12,T01:124 (Aged 35-49 - Inactive : All People ),1667300
England,2004-12,T01:127 (Aged 50+ - All : All People ),16418700
England,2004-12,T01:145 (Aged 50+ - Inactive : All People ),10085000
England,2004-12,T01:148 (Aged 50-64 - All : All People ),8777900
England,2004-12,T01:166 (Aged 50-64 - Inactive : All People ),2931100
Wales,2004-12,T01:22 (Aged 16-64 - All : All People ),1858000
Wales,2004-12,T01:40 (Aged 16-64 - Inactive : All People ),506300
Wales,2004-12,T01:43 (Aged 16-19 - All : All People ),154700
Wales,2004-12,T01:61 (Aged 16-19 - Inactive : All People ),63800
Wales,2004-12,T01:64 (Aged 20-24 - All : All People ),184800
Wales,2004-12,T01:82 (Aged 20-24 - Inactive : All People ),47900
Wales,2004-12,T01:85 (Aged 25-34 - All : All People ),344100
Wales,2004-12,T01:103 (Aged 25-34 - Inactive : All People ),64000
Wales,2004-12,T01:106 (Aged 35-49 - All : All People ),614100
Wales,2004-12,T01:124 (Aged 35-49 - Inactive : All People ),102900
Wales,2004-12,T01:127 (Aged 50+ - All : All People ),1055100
Wales,2004-12,T01:145 (Aged 50+ - Inactive : All People ),697800
Wales,2004-12,T01:148 (Aged 50-64 - All : All People ),560200
Wales,2004-12,T01:166 (Aged 50-64 - Inactive : All People ),227700
Scotland,2004-12,T01:22 (Aged 16-64 - All : All People ),3289200
Scotland,2004-12,T01:40 (Aged 16-64 - Inactive : All People ),765100
Scotland,2004-12,T01:43 (Aged 16-19 - All : All People ),257200
Scotland,2004-12,T01:61 (Aged 16-19 - Inactive : All People ),93100
Scotland,2004-12,T01:64 (Aged 20-24 - All : All People ),326000
Scotland,2004-12,T01:82 (Aged 20-24 - Inactive : All People ),67900
Scotland,2004-12,T01:85 (Aged 25-34 - All : All People ),633100
Scotland,2004-12,T01:103 (Aged 25-34 - Inactive : All People ),102100
Scotland,2004-12,T01:106 (Aged 35-49 - All : All People ),1147600
Scotland,2004-12,T01:124 (Aged 35-49 - Inactive : All People ),167500
Scotland,2004-12,T01:127 (Aged 50+ - All : All People ),1718300
Scotland,2004-12,T01:145 (Aged 50+ - Inactive : All People ),1084700
Scotland,2004-12,T01:148 (Aged 50-64 - All : All People ),925400
Scotland,2004-12,T01:166 (Aged 50-64 - Inactive : All People ),334500
Northern Ireland,2004-12,T01:22 (Aged 16-64 - All : All People ),1091500
Northern Ireland,2004-12,T01:40 (Aged 16-64 - Inactive : All People ),331000
Northern Ireland,2004-12,T01:43 (Aged 16-19 - All : All People ),106400
Northern Ireland,2004-12,T01:61 (Aged 16-19 - Inactive : All People ),64400
Northern Ireland,2004-12,T01:64 (Aged 20-24 - All : All People ),114700
Northern Ireland,2004-12,T01:82 (Aged 20-24 - Inactive : All People ),27300
Northern Ireland,2004-12,T01:85 (Aged 25-34 - All : All People ),230600
Northern Ireland,2004-12,T01:103 (Aged 25-34 - Inactive : All People ),40900
Northern Ireland,2004-12,T01:106 (Aged 35-49 - All : All People ),367100
Northern Ireland,2004-12,T01:124 (Aged 35-49 - Inactive : All People ),84100
Northern Ireland,2004-12,T01:127 (Aged 50+ - All : All People ),492800
Northern Ireland,2004-12,T01:145 (Aged 50+ - Inactive : All People ),324400
Northern Ireland,2004-12,T01:148 (Aged 50-64 - All : All People ),272800
Northern Ireland,2004-12,T01:166 (Aged 50-64 - Inactive : All People ),114300
United Kingdom,2005-03,T01:22 (Aged 16-64 - All : All People ),38443100
United Kingdom,2005-03,T01:40 (Aged 16-64 - Inactive : All People ),9156200
United Kingdom,2005-03,T01:43 (Aged 16-19 - All : All People ),3047900
United Kingdom,2005-03,T01:61 (Aged 16-19 - Inactive : All People ),1286500
United Kingdom,2005-03,T01:64 (Aged 20-24 - All : All People ),3791300
United Kingdom,2005-03,T01:82 (Aged 20-24 - Inactive : All People ),914600
United Kingdom,2005-03,T01:85 (Aged 25-34 - All : All People ),7933800
United Kingdom,2005-03,T01:103 (Aged 25-34 - Inactive : All People ),1328600
United Kingdom,2005-03,T01:106 (Aged 35-49 - All : All People ),13108300
United Kingdom,2005-03,T01:124 (Aged 35-49 - Inactive : All People ),2022900
United Kingdom,2005-03,T01:127 (Aged 50+ - All : All People ),19727700
United Kingdom,2005-03,T01:145 (Aged 50+ - Inactive : All People ),12196400
United Kingdom,2005-03,T01:148 (Aged 50-64 - All : All People ),10561800
United Kingdom,2005-03,T01:166 (Aged 50-64 - Inactive : All People ),3603500
England,2005-03,T01:22 (Aged 16-64 - All : All People ),32192600
England,2005-03,T01:40 (Aged 16-64 - Inactive : All People ),7550100
England,2005-03,T01:43 (Aged 16-19 - All : All People ),2529500
England,2005-03,T01:61 (Aged 16-19 - Inactive : All People ),1066500
England,2005-03,T01:64 (Aged 20-24 - All : All People ),3162800
England,2005-03,T01:82 (Aged 20-24 - Inactive : All People ),765600
England,2005-03,T01:85 (Aged 25-34 - All : All People ),6727000
England,2005-03,T01:103 (Aged 25-34 - Inactive : All People ),1123400
England,2005-03,T01:106 (Aged 35-49 - All : All People ),10974600
England,2005-03,T01:124 (Aged 35-49 - Inactive : All People ),1667600
England,2005-03,T01:127 (Aged 50+ - All : All People ),16452900
England,2005-03,T01:145 (Aged 50+ - Inactive : All People ),10086700
England,2005-03,T01:148 (Aged 50-64 - All : All People ),8798600
England,2005-03,T01:166 (Aged 50-64 - Inactive : All People ),2927000
Wales,2005-03,T01:22 (Aged 16-64 - All : All People ),1861100
Wales,2005-03,T01:40 (Aged 16-64 - Inactive : All People ),504600
Wales,2005-03,T01:43 (Aged 16-19 - All : All People ),155000
Wales,2005-03,T01:61 (Aged 16-19 - Inactive : All People ),62200
Wales,2005-03,T01:64 (Aged 20-24 - All : All People ),185700
Wales,2005-03,T01:82 (Aged 20-24 - Inactive : All People ),48500
Wales,2005-03,T01:85 (Aged 25-34 - All : All People ),343900
Wales,2005-03,T01:103 (Aged 25-34 - Inactive : All People ),62700
Wales,2005-03,T01:106 (Aged 35-49 - All : All People ),615300
Wales,2005-03,T01:124 (Aged 35-49 - Inactive : All People ),103900
Wales,2005-03,T01:127 (Aged 50+ - All : All People ),1057300
Wales,2005-03,T01:145 (Aged 50+ - Inactive : All People ),698400
Wales,2005-03,T01:148 (Aged 50-64 - All : All People ),561300
Wales,2005-03,T01:166 (Aged 50-64 - Inactive : All People ),227200
Scotland,2005-03,T01:22 (Aged 16-64 - All : All People ),3294400
Scotland,2005-03,T01:40 (Aged 16-64 - Inactive : All People ),763800
Scotland,2005-03,T01:43 (Aged 16-19 - All : All People ),257300
Scotland,2005-03,T01:61 (Aged 16-19 - Inactive : All People ),92400
Scotland,2005-03,T01:64 (Aged 20-24 - All : All People ),327400
Scotland,2005-03,T01:82 (Aged 20-24 - Inactive : All People ),68900
Scotland,2005-03,T01:85 (Aged 25-34 - All : All People ),632200
Scotland,2005-03,T01:103 (Aged 25-34 - Inactive : All People ),100100
Scotland,2005-03,T01:106 (Aged 35-49 - All : All People ),1149900
Scotland,2005-03,T01:124 (Aged 35-49 - Inactive : All People ),170500
Scotland,2005-03,T01:127 (Aged 50+ - All : All People ),1722800
Scotland,2005-03,T01:145 (Aged 50+ - Inactive : All People ),1083800
Scotland,2005-03,T01:148 (Aged 50-64 - All : All People ),927800
Scotland,2005-03,T01:166 (Aged 50-64 - Inactive : All People ),331800
Northern Ireland,2005-03,T01:22 (Aged 16-64 - All : All People ),1094900
Northern Ireland,2005-03,T01:40 (Aged 16-64 - Inactive : All People ),337700
Northern Ireland,2005-03,T01:43 (Aged 16-19 - All : All People ),106200
Northern Ireland,2005-03,T01:61 (Aged 16-19 - Inactive : All People ),65400
Northern Ireland,2005-03,T01:64 (Aged 20-24 - All : All People ),115500
Northern Ireland,2005-03,T01:82 (Aged 20-24 - Inactive : All People ),31600
Northern Ireland,2005-03,T01:85 (Aged 25-34 - All : All People ),230700
Northern Ireland,2005-03,T01:103 (Aged 25-34 - Inactive : All People ),42300
Northern Ireland,2005-03,T01:106 (Aged 35-49 - All : All People ),368500
Northern Ireland,2005-03,T01:124 (Aged 35-49 - Inactive : All People ),80900
Northern Ireland,2005-03,T01:127 (Aged 50+ - All : All People ),494700
Northern Ireland,2005-03,T01:145 (Aged 50+ - Inactive : All People ),327500
Northern Ireland,2005-03,T01:148 (Aged 50-64 - All : All People ),274100
Northern Ireland,2005-03,T01:166 (Aged 50-64 - Inactive : All People ),117400
United Kingdom,2005-06,T01:22 (Aged 16-64 - All : All People ),38546200
United Kingdom,2005-06,T01:40 (Aged 16-64 - Inactive : All People ),9170800
United Kingdom,2005-06,T01:43 (Aged 16-19 - All : All People ),3052900
United Kingdom,2005-06,T01:61 (Aged 16-19 - Inactive : All People ),1292900
United Kingdom,2005-06,T01:64 (Aged 20-24 - All : All People ),3816000
United Kingdom,2005-06,T01:82 (Aged 20-24 - Inactive : All People ),931700
United Kingdom,2005-06,T01:85 (Aged 25-34 - All : All People ),7939400
United Kingdom,2005-06,T01:103 (Aged 25-34 - Inactive : All People ),1324700
United Kingdom,2005-06,T01:106 (Aged 35-49 - All : All People ),13149200
United Kingdom,2005-06,T01:124 (Aged 35-49 - Inactive : All People ),2022900
United Kingdom,2005-06,T01:127 (Aged 50+ - All : All People ),19772600
United Kingdom,2005-06,T01:145 (Aged 50+ - Inactive : All People ),12212500
United Kingdom,2005-06,T01:148 (Aged 50-64 - All : All People ),10588800
United Kingdom,2005-06,T01:166 (Aged 50-64 - Inactive : All People ),3598600
England,2005-06,T01:22 (Aged 16-64 - All : All People ),32284500
England,2005-06,T01:40 (Aged 16-64 - Inactive : All People ),7558100
England,2005-06,T01:43 (Aged 16-19 - All : All People ),2534400
England,2005-06,T01:61 (Aged 16-19 - Inactive : All People ),1072800
England,2005-06,T01:64 (Aged 20-24 - All : All People ),3184800
England,2005-06,T01:82 (Aged 20-24 - Inactive : All People ),785400
England,2005-06,T01:85 (Aged 25-34 - All : All People ),6733700
England,2005-06,T01:103 (Aged 25-34 - Inactive : All People ),1120700
England,2005-06,T01:106 (Aged 35-49 - All : All People ),11010700
England,2005-06,T01:124 (Aged 35-49 - Inactive : All People ),1667500
England,2005-06,T01:127 (Aged 50+ - All : All People ),16489200
England,2005-06,T01:145 (Aged 50+ - Inactive : All People ),10087700
England,2005-06,T01:148 (Aged 50-64 - All : All People ),8821000
England,2005-06,T01:166 (Aged 50-64 - Inactive : All People ),2911600
Wales,2005-06,T01:22 (Aged 16-64 - All : All People ),1864000
Wales,2005-06,T01:40 (Aged 16-64 - Inactive : All People ),507500
Wales,2005-06,T01:43 (Aged 16-19 - All : All People ),155200
Wales,2005-06,T01:61 (Aged 16-19 - Inactive : All People ),62700
Wales,2005-06,T01:64 (Aged 20-24 - All : All People ),186300
Wales,2005-06,T01:82 (Aged 20-24 - Inactive : All People ),46000
Wales,2005-06,T01:85 (Aged 25-34 - All : All People ),343900
Wales,2005-06,T01:103 (Aged 25-34 - Inactive : All People ),62800
Wales,2005-06,T01:106 (Aged 35-49 - All : All People ),616500
Wales,2005-06,T01:124 (Aged 35-49 - Inactive : All People ),105400
Wales,2005-06,T01:127 (Aged 50+ - All : All People ),1058700
Wales,2005-06,T01:145 (Aged 50+ - Inactive : All People ),702100
Wales,2005-06,T01:148 (Aged 50-64 - All : All People ),562000
Wales,2005-06,T01:166 (Aged 50-64 - Inactive : All People ),230700
Scotland,2005-06,T01:22 (Aged 16-64 - All : All People ),3299500
Scotland,2005-06,T01:40 (Aged 16-64 - Inactive : All People ),768200
Scotland,2005-06,T01:43 (Aged 16-19 - All : All People ),257400
Scotland,2005-06,T01:61 (Aged 16-19 - Inactive : All People ),93600
Scotland,2005-06,T01:64 (Aged 20-24 - All : All People ),328700
Scotland,2005-06,T01:82 (Aged 20-24 - Inactive : All People ),67300
Scotland,2005-06,T01:85 (Aged 25-34 - All : All People ),630900
Scotland,2005-06,T01:103 (Aged 25-34 - Inactive : All People ),101500
Scotland,2005-06,T01:106 (Aged 35-49 - All : All People ),1151900
Scotland,2005-06,T01:124 (Aged 35-49 - Inactive : All People ),170500
Scotland,2005-06,T01:127 (Aged 50+ - All : All People ),1728100
Scotland,2005-06,T01:145 (Aged 50+ - Inactive : All People ),1091200
Scotland,2005-06,T01:148 (Aged 50-64 - All : All People ),930600
Scotland,2005-06,T01:166 (Aged 50-64 - Inactive : All People ),335300
Northern Ireland,2005-06,T01:22 (Aged 16-64 - All : All People ),1098300
