date,type,value,label
1901-03-31,Total receipts (PSCR),10.419793015590592,Receipts
1902-03-31,Total receipts (PSCR),11.321760386443776,Receipts
1903-03-31,Total receipts (PSCR),12.131178339597474,Receipts
1904-03-31,Total receipts (PSCR),12.380731555799345,Receipts
1905-03-31,Total receipts (PSCR),12.301970120744523,Receipts
1906-03-31,Total receipts (PSCR),12.057687354005703,Receipts
1907-03-31,Total receipts (PSCR),11.817295203635553,Receipts
1908-03-31,Total receipts (PSCR),11.79666068479814,Receipts
1909-03-31,Total receipts (PSCR),12.132456649509374,Receipts
1910-03-31,Total receipts (PSCR),12.297506556882384,Receipts
1911-03-31,Total receipts (PSCR),12.743824386990166,Receipts
1912-03-31,Total receipts (PSCR),12.747464201511649,Receipts
1913-03-31,Total receipts (PSCR),13.054951125805255,Receipts
1914-03-31,Total receipts (PSCR),13.129991843132835,Receipts
1915-03-31,Total receipts (PSCR),13.446417368549165,Receipts
1916-03-31,Total receipts (PSCR),14.921328871676714,Receipts
1917-03-31,Total receipts (PSCR),18.19763322280998,Receipts
1918-03-31,Total receipts (PSCR),19.95617263956982,Receipts
1919-03-31,Total receipts (PSCR),20.87786611730433,Receipts
1920-03-31,Total receipts (PSCR),22.175379868771866,Receipts
1921-03-31,Total receipts (PSCR),22.670459506408687,Receipts
1922-03-31,Total receipts (PSCR),26.604295806240057,Receipts
1923-03-31,Total receipts (PSCR),27.055025232282766,Receipts
1924-03-31,Total receipts (PSCR),25.946467376041298,Receipts
1925-03-31,Total receipts (PSCR),24.269500106415244,Receipts
1926-03-31,Total receipts (PSCR),24.30584726976887,Receipts
1927-03-31,Total receipts (PSCR),25.057067004864752,Receipts
1928-03-31,Total receipts (PSCR),24.972933047432434,Receipts
1929-03-31,Total receipts (PSCR),25.227561759158412,Receipts
1930-03-31,Total receipts (PSCR),24.962577463339482,Receipts
1931-03-31,Total receipts (PSCR),25.751768342644006,Receipts
1932-03-31,Total receipts (PSCR),27.467378263622738,Receipts
1933-03-31,Total receipts (PSCR),28.413216706036316,Receipts
1934-03-31,Total receipts (PSCR),27.288896922809585,Receipts
1935-03-31,Total receipts (PSCR),26.288596414278913,Receipts
1936-03-31,Total receipts (PSCR),25.740144248058467,Receipts
1937-03-31,Total receipts (PSCR),25.31705097262552,Receipts
1938-03-31,Total receipts (PSCR),25.270207419043306,Receipts
1939-03-31,Total receipts (PSCR),25.678266148363317,Receipts
1940-03-31,Total receipts (PSCR),26.325821703333695,Receipts
1941-03-31,Total receipts (PSCR),28.682513382714276,Receipts
1942-03-31,Total receipts (PSCR),32.637342467452385,Receipts
1943-03-31,Total receipts (PSCR),35.26303351939861,Receipts
1944-03-31,Total receipts (PSCR),37.97833112132199,Receipts
1945-03-31,Total receipts (PSCR),39.39881208876743,Receipts
1946-03-31,Total receipts (PSCR),39.939805580996804,Receipts
1947-03-31,Total receipts (PSCR),37.082211380795066,Receipts
1948-03-31,Total receipts (PSCR),36.983256969582335,Receipts
1949-03-31,Total receipts (PSCR),42.94091903719912,Receipts
1950-03-31,Total receipts (PSCR),43.29854548442764,Receipts
1951-03-31,Total receipts (PSCR),42.8414442700157,Receipts
1952-03-31,Total receipts (PSCR),41.13123121023561,Receipts
1953-03-31,Total receipts (PSCR),39.92662203913492,Receipts
1954-03-31,Total receipts (PSCR),37.998201977824394,Receipts
1955-03-31,Total receipts (PSCR),37.46378046701893,Receipts
1956-03-31,Total receipts (PSCR),35.96607744967814,Receipts
1957-03-31,Total receipts (PSCR),35.573197240336455,Receipts
1958-03-31,Total receipts (PSCR),35.16815496023813,Receipts
1959-03-31,Total receipts (PSCR),35.65031069209342,Receipts
1960-03-31,Total receipts (PSCR),33.65898765729908,Receipts
1961-03-31,Total receipts (PSCR),33.45846315552386,Receipts
1962-03-31,Total receipts (PSCR),35.46426921573505,Receipts
1963-03-31,Total receipts (PSCR),35.4804753820034,Receipts
1964-03-31,Total receipts (PSCR),34.635506406440896,Receipts
1965-03-31,Total receipts (PSCR),35.16568641514847,Receipts
1966-03-31,Total receipts (PSCR),36.96110621713249,Receipts
1967-03-31,Total receipts (PSCR),37.64049162682421,Receipts
1968-03-31,Total receipts (PSCR),39.090438546960286,Receipts
1969-03-31,Total receipts (PSCR),40.80790368453692,Receipts
1970-03-31,Total receipts (PSCR),41.85236905768739,Receipts
1971-03-31,Total receipts (PSCR),40.048161044990735,Receipts
1972-03-31,Total receipts (PSCR),38.3739837398374,Receipts
1973-03-31,Total receipts (PSCR),35.87960771051742,Receipts
1974-03-31,Total receipts (PSCR),36.17645283929757,Receipts
1975-03-31,Total receipts (PSCR),39.01224256992116,Receipts
1976-03-31,Total receipts (PSCR),40.11949289993711,Receipts
1977-03-31,Total receipts (PSCR),40.20918234478487,Receipts
1978-03-31,Total receipts (PSCR),38.385912101143894,Receipts
1979-03-31,Total receipts (PSCR),36.902026429885936,Receipts
1980-03-31,Total receipts (PSCR),37.265684116392656,Receipts
1981-03-31,Total receipts (PSCR),38.496101196928805,Receipts
1982-03-31,Total receipts (PSCR),40.87762060745454,Receipts
1983-03-31,Total receipts (PSCR),40.580059795571216,Receipts
1984-03-31,Total receipts (PSCR),39.4794756215404,Receipts
1985-03-31,Total receipts (PSCR),39.2158640755067,Receipts
1986-03-31,Total receipts (PSCR),38.29025497729654,Receipts
1987-03-31,Total receipts (PSCR),37.404077041541534,Receipts
1988-03-31,Total receipts (PSCR),36.18057836375295,Receipts
1989-03-31,Total receipts (PSCR),35.53819718408641,Receipts
1990-03-31,Total receipts (PSCR),34.72748384186391,Receipts
1991-03-31,Total receipts (PSCR),33.91537974590369,Receipts
1992-03-31,Total receipts (PSCR),33.544990432035256,Receipts
1993-03-31,Total receipts (PSCR),32.06588459502955,Receipts
1994-03-31,Total receipts (PSCR),31.347099815535973,Receipts
1995-03-31,Total receipts (PSCR),32.22789633589237,Receipts
1996-03-31,Total receipts (PSCR),33.28845436364943,Receipts
1997-03-31,Total receipts (PSCR),32.44972914409534,Receipts
1998-03-31,Total receipts (PSCR),34.629717741475694,Receipts
1999-03-31,Total receipts (PSCR),35.157740496710545,Receipts
2000-03-31,Total receipts (PSCR),35.82453228584012,Receipts
2001-03-31,Total receipts (PSCR),36.51066486765803,Receipts
2002-03-31,Total receipts (PSCR),35.83028958756919,Receipts
2003-03-31,Total receipts (PSCR),34.638250984602884,Receipts
2004-03-31,Total receipts (PSCR),35.466155168701604,Receipts
2005-03-31,Total receipts (PSCR),36.04402776732608,Receipts
2006-03-31,Total receipts (PSCR),36.69823472222908,Receipts
2007-03-31,Total receipts (PSCR),37.168949587351825,Receipts
2008-03-31,Total receipts (PSCR),37.39809671974418,Receipts
2009-03-31,Total receipts (PSCR),36.09599369290433,Receipts
2010-03-31,Total receipts (PSCR),36.13818368187105,Receipts
2011-03-31,Total receipts (PSCR),37.02558570557118,Receipts
2012-03-31,Total receipts (PSCR),37.34209555934195,Receipts
2013-03-31,Total receipts (PSCR),36.87049327697339,Receipts
2014-03-31,Total receipts (PSCR),36.75879533487743,Receipts
2015-03-31,Total receipts (PSCR),36.783420301354056,Receipts
2016-03-31,Total receipts (PSCR),36.971067750116454,Receipts
2017-03-31,Total receipts (PSCR),37.52298115917414,Receipts
2018-03-31,Total receipts (PSCR),37.1884721287168,Receipts
2019-03-31,Total receipts (PSCR),37.39001300107744,Receipts
2020-03-31,Total receipts (PSCR),36.9312393054879,Receipts
2021-03-31,Total receipts (PSCR),37.97298074159241,Receipts
2022-03-31,Total receipts (PSCR),39.101601564439136,Receipts
2023-03-31,Total receipts (PSCR),40.01025877270237,Receipts
2024-03-31,Total receipts (PSCR),39.964297339157795,Receipts
1901-03-31,Total spending (TME),14.404623419485702,Spending
1902-03-31,Total spending (TME),15.45213105871193,Spending
1903-03-31,Total spending (TME),14.913190571831514,Spending
1904-03-31,Total spending (TME),13.759371969218048,Spending
