name,latitude,longitude,capacity_mw,primary_fuel,fuel_category
14 Tullywiggan Road,54.6221,-6.7398,1.0,Biomass,Biomass
Path Head,54.9648,-1.7281,1.0,Waste,Biomass
Park Lane,52.684,-1.7649,1.0,Solar,Solar
PROMISED LAND FARM,53.5113,-2.7378,1.0,Wind,Wind
PG4 St Bedes Power Generation (Extension 2),54.8908,-1.5853,1.0,Waste,Biomass
PG2 Bolam Power Generation,54.6027,-1.7059,1.0,Waste,Biomass
Oxcroft Solar Farm,53.2585,-1.2924,1.0,Storage,Storage
Greenhill Anaerobic Digestion Plant,50.7219,-1.2896,1.0,Biomass,Biomass
Ongar Landfill Scheme,51.6982,0.2595,1.0,Waste,Biomass
Cranfield Airfield,52.0672,-0.612,1.0,Solar,Solar
North Of Field Barn,52.03,-1.4748,1.0,Solar,Solar
Twin Elm Solar Farm,51.358,-2.7959,1.0,Solar,Solar
Craigahulliar Landfill Gas,55.1965,-6.6106,1.0,Waste,Biomass
Ufton,52.2477,-1.4434,1.0,Waste,Biomass
Bryn Pica AD / Tomorrow's Valley (Waste AD) - resubmission,51.7383,-3.436,1.0,Biomass,Biomass
New Holland,58.9133,-2.8689,1.0,Wind,Wind
Waen Biogas (Waste AD),53.2632,-3.4263,1.0,Biomass,Biomass
Nectar Way Regional Distribution Centre,52.22,-0.9617,1.0,Solar,Solar
Hatch Penn Farm PV,52.0212,-0.0136,1.0,Solar,Solar
Moorhouse Farm,55.9039,-2.2508,1.0,Wind,Wind
McCain Foods AD Plant (AD),52.5594,-0.1752,1.0,Biomass,Biomass
Wapsey's Wood II Landfill Site,51.5905,-0.5954,1.0,Waste,Biomass
Wapsey's Wood III,51.5896,-0.5954,1.0,Waste,Biomass
Mark's Quarry,54.8124,-1.5114,1.0,Waste,Biomass
Manor Farm (Keinton Mandeville),51.0696,-2.6409,1.0,Solar,Solar
Magherafelt,54.769,-6.6477,1.0,Wind,Wind
Pebsham (Extension),50.8533,0.5204,1.0,Waste,Biomass
Highfields South Landfill Gas,52.6234,-1.9363,1.0,Waste,Biomass
Pengelly Barton Farm,50.1422,-5.3398,1.0,Biomass,Biomass
Priest Weston,52.5693,-3.0504,1.0,Solar,Solar
Squabb Wood,50.9919,-1.5241,1.0,Waste,Biomass
Spring Farm (biomass),52.7013,1.195,1.0,Biomass,Biomass
Soothills Landfill,53.718,-1.5999,1.0,Waste,Biomass
Folly Lane,52.7227,0.9224,1.0,Waste,Biomass
Daventry,52.2563,-1.187,1.0,Biomass,Biomass
Deerdykes Composting and Organics Recycling Facility (Waste AD),55.9704,-3.9575,1.0,Biomass,Biomass
Sunnyside wind cluster,55.379,-3.9489,1.0,Wind,Wind
Former Pluckley Landfill Site,51.1772,0.7553,1.0,Waste,Biomass
Shakespeare Farm Landfill Site,51.4638,0.6115,1.0,Waste,Biomass
Fen Farm Solar Park,53.4233,0.069,1.0,Solar,Solar
DPD Distribution Centre,52.5068,-2.009,1.0,Solar,Solar
Dengemarsh Road,50.9351,0.9099,1.0,Solar,Solar
Sefter Farm AD Plant (Farm AD),50.789,-0.7373,1.0,Biomass,Biomass
Berry Court Solar Farm - energy storage,51.3257,-1.1099,1.0,Storage,Storage
Scorton,54.3993,-1.6087,1.0,Waste,Biomass
Thameside DC,51.4924,0.027,1.0,Solar,Solar
Billinge Hill Quarry Landfill Scheme,53.5062,-2.7176,1.0,Waste,Biomass
GlaxoSmithKline (Waste AD),55.5945,-4.6302,1.0,Biomass,Biomass
Glen Fyne 'Merk' Hydro,56.238,-5.0681,1.0,Hydro,Hydro
Goonabarn Farm Wind Turbines,50.3497,-4.9606,1.0,Wind,Wind
Rickfield Farm solar park,52.0035,-1.4136,1.0,Solar,Solar
Rhosygilwen Solar Farm,52.0352,-4.6212,1.0,Solar,Solar
Bloodhills - repowering,52.707,1.6644,1.0,Wind,Wind
Grain Harvesters Ltd,51.2667,1.2312,1.0,Solar,Solar
Gravel Pit Farm (Resubmission),54.02,-0.9579,1.0,Biomass,Biomass
European Marine Energy Centre (EMEC),58.7329,-3.3248,1.0,Wave and Tidal,Other
Connon Bridge Landfill,50.4353,-4.5487,1.0,Waste,Biomass
Hammerfest (EMEC),58.9628,-3.4937,1.0,Wave and Tidal,Other
Capel Landfill,51.1385,-0.325,1.0,Waste,Biomass
Little Belhus Restoration Site,51.5225,0.2776,1.0,Wind,Wind
Leacann Hydro,56.1725,-5.1883,1.0,Hydro,Hydro
Horncliffe Quarry,53.6842,-2.2947,1.0,Waste,Biomass
Horncliffe Quarry (Extension),53.6842,-2.2947,1.0,Waste,Biomass
Whiddon Farm,50.7524,-4.2773,1.0,Solar,Solar
Chapman's Well,54.8518,-1.732,1.0,Waste,Biomass
Whitman Laboratories,51.006,-0.9515,1.0,Solar,Solar
Land at Mill Farm,51.2291,-2.8218,1.0,Solar,Solar
East Midlands Airport,52.8262,-1.3427,1.0,Wind,Wind
Willersey solar farm,52.0545,-1.8476,1.0,Storage,Storage
Wilnecote Landfill Site,52.6019,-1.684,1.0,Waste,Biomass
Hywind 2,57.5108,-1.8028,1.0,Storage,Storage
Land at Green Farm,52.0181,-2.77,1.0,Solar,Solar
Land at Barnham,50.8226,-0.6514,1.0,Solar,Solar
Chelworth Industrial Estate Solar Park,51.6276,-1.8876,1.0,Solar,Solar
Immingham Landfill Scheme,53.6133,-0.186,1.0,Waste,Biomass
Land Adjacent to Thomas Swan and Co Ltd.,54.8548,-1.8143,1.0,Biomass,Biomass
Abbots moor Farm Anaerobic Digester (Farm AD),52.839,-2.93,1.0,Biomass,Biomass
Innerwick Hydro,56.6003,-4.3052,1.0,Hydro,Hydro
Knolton Farmhouse Cheese Solar Farm,52.9588,-2.9559,1.0,Solar,Solar
Wothersome Grange Farm House AD - crops,53.877,-1.3939,1.0,Biomass,Biomass
Kilsby Landfill Scheme,52.3207,-1.1681,1.0,Waste,Biomass
Wyke Farms Biogas (Farm AD),51.1117,-2.4819,1.0,Biomass,Biomass
Killan Farm Solar Array Extens,51.6265,-4.0459,1.0,Solar,Solar
Dryholme Farm (Farm AD),54.8563,-3.3586,1.0,Biomass,Biomass
Clifton Hall,53.5207,-2.3146,1.0,Waste,Biomass
Yonderton Farm,57.4308,-1.9419,1.0,Wind,Wind
Loch An Laoigh Hydro,57.4036,-5.304,1.0,Hydro,Hydro
Hogsbrook Farm - Farm AD,50.6928,-3.3841,1.0,Biomass,Biomass
Huddlesford Farm,52.6839,-1.7755,1.0,Solar,Solar
Station Works AD,51.9485,0.3275,1.0,Biomass,Biomass
Long Sutton Butterfly And Wildlife Park (extension),52.7904,0.1359,1.0,Solar,Solar
Lower Coombe Farm (Bean Field),50.8832,-2.8379,1.0,Solar,Solar
Carr Farm (Farm AD),53.7485,-2.9288,1.0,Biomass,Biomass
Lower Melville Wood,56.2926,-3.1325,1.0,Waste,Biomass
Lower Coombe Farm Solar,50.8852,-2.8311,1.0,Solar,Solar
Lodge Farm 1,51.7263,-5.0609,1.0,Wind,Wind
Carines Farm Solar Array,50.3833,-5.1111,1.0,Solar,Solar
Rudge Hill Farm,50.9129,-2.3126,1.02,Solar,Solar
West Bradley,50.9163,-3.5707,1.03,Solar,Solar
ABP Ellesmere Abbatoir,52.8543,-2.8986,1.1,Biomass,Biomass
Reservoir Road (Farm AD),54.3203,-6.2893,1.1,Biomass,Biomass
Lower Ufford Lane,52.1366,1.3657,1.1,Solar,Solar
Ugley,51.9341,0.2168,1.1,Waste,Biomass
Longreach STW - extension,51.4664,0.2322,1.1,Waste,Biomass
Buttermilk Farm,51.9469,-0.0487,1.1,Biomass,Biomass
Meadow Hall Power,53.426,-1.407,1.1,Waste,Biomass
Lount/Smoile,52.7646,-1.4353,1.1,Waste,Biomass
Summercourt Solar Farm (Glebe Farm),50.3734,-4.9579,1.1,Solar,Solar
Westbury Landfill Scheme,51.2724,-2.1705,1.1,Waste,Biomass
Beinn Eagagach Hydro,56.6439,-3.8218,1.1,Hydro,Hydro
Majors Hill/Turners Hill Solar Farm,51.1104,-0.1088,1.1,Solar,Solar
Land at Grange Farm,53.3361,-0.5363,1.1,Biomass,Biomass
Wigley Farm,52.3867,-2.6987,1.1,Biomass,Biomass
Bruach Caorainn Hydro Scheme,56.1744,-4.5474,1.1,Hydro,Hydro
Bourne Park AD (AD),50.7771,-2.3941,1.1,Biomass,Biomass
Nevis Range,56.847,-4.9453,1.1,Hydro,Hydro
Trinity Hall Farm,51.9188,-0.5656,1.1,Biomass,Biomass
PG2 Bolam Power Generator (Extension),54.6027,-1.7059,1.1,Waste,Biomass
Allerton Waste Recovery Park (Waste AD),54.0326,-1.3805,1.1,Biomass,Biomass
Cranford,52.3759,-0.6338,1.1,Waste,Biomass
Cradley Heath,52.4686,-2.082,1.1,Biomass,Biomass
Whiteparish,51.0195,-1.6949,1.1,Waste,Biomass
Broadgate Solar Farm,50.8523,-3.7396,1.1,Solar,Solar
Arlesey Landfill Site,52.0017,-0.2767,1.1,Waste,Biomass
Southcombe Farm,50.8861,-4.2151,1.2,Solar,Solar
Foxhall Landfill Site,52.0491,1.2639,1.2,Waste,Biomass
Higher Pirzwell Solar Farm,50.8745,-3.3154,1.2,Solar,Solar
Chamber 16 (Cold Store),52.7398,0.4204,1.2,Solar,Solar
Slough Sewage Treatment Works,51.5067,-0.6376,1.2,Waste,Biomass
Basingstoke Sewage Treatment Works,51.2917,-1.0343,1.2,Biomass,Biomass
Loch Dubh,57.4667,-4.0833,1.2,Hydro,Hydro
Macphie of Glenbervie,56.9152,-2.3876,1.2,Biomass,Biomass
Invervar Hydro - resubmission,56.6061,-4.1769,1.2,Hydro,Hydro
Barton Solar Farm,50.9461,-3.3141,1.2,Solar,Solar
Cairnmore Solar Park (extension),57.3081,-2.8238,1.2,Solar,Solar
HENDRA HOLIDAY PARK SOLAR FARM,50.3996,-5.0556,1.2,Solar,Solar
Offham Landfill Site Phase II,51.2919,0.3593,1.2,Waste,Biomass
Langwell Estate hydro scheme,57.9695,-5.0632,1.2,Hydro,Hydro
Green Waste Composting Facility (Waste AD),51.2168,-1.0653,1.2,Biomass,Biomass
Bootham Lane,53.5861,-1.0105,1.2,Waste,Biomass
St Nicholas Court Farm (AD) - resubmission,51.3561,1.244,1.2,Biomass,Biomass
Rampton Hospital Energy Centre,53.2904,-0.8382,1.2,Biomass,Biomass
Chelker Reservoir (Retention of Turbines),53.9624,-1.9142,1.2,Wind,Wind
Pennington Recycling Centre,50.7387,-1.5632,1.2,Solar,Solar
Haverigg Repowering (Haverigg II),54.204,-3.3245,1.2,Wind,Wind
MMD Shipping Services,50.8102,-1.09,1.2,Solar,Solar
Lackford Landfill Scheme,52.2923,0.6379,1.2,Waste,Biomass
Land at Hill Farm,52.725,-1.4457,1.2,Solar,Solar
Hillsmoor Solar Farm,50.8112,-4.0867,1.2,Solar,Solar
Runfold Landfill,51.2184,-0.7628,1.2,Waste,Biomass
Netley Landfill Site  Hampshire (Extension),50.8894,-1.3374,1.2,Waste,Biomass
Colchester STW,51.8759,0.9331,1.2,Waste,Biomass
Glapwell,53.1999,-1.3099,1.2,Waste,Biomass
Helland Meads - resubmission,51.0174,-2.9591,1.2,Solar,Solar
SeaGen Tidal Farm,54.3518,-5.539,1.2,Wave and Tidal,Other
Parkwood Landfill Scheme,53.4039,-1.4795,1.2,Waste,Biomass
Rhug Estate,52.9875,-3.4446,1.2,Solar,Solar
Judkins Landfill Site Phase 3,52.5319,-1.4811,1.2,Waste,Biomass
Barkip Landfill Site,55.7181,-4.7186,1.2,Waste,Biomass
Airport Road West,54.626,-5.8729,1.2,Biomass,Biomass
Tredown Solar Farm,50.6102,-4.2707,1.2,Solar,Solar
The Haven,52.129,-2.3184,1.2,Wind,Wind
Trowbridge Sewage Treatment Works,51.3279,-2.2182,1.2,Waste,Biomass
The Nurseries  Green Tye,51.8459,0.0918,1.2,Biomass,Biomass
Swancote Farm,52.5427,-2.3814,1.2,Biomass,Biomass
Winterbrook,51.5868,-1.1314,1.2,Solar,Solar
Aldi Distribution Centre - Neston,53.2894,-3.0322,1.2,Solar,Solar
Tythegston Landfill Site,51.4964,-3.6566,1.2,Waste,Biomass
West Roucan Farm,55.0951,-3.5336,1.2,Biomass,Biomass
Alan Bartlett & Sons Solar,52.4511,0.0379,1.2,Solar,Solar
Aldi Distribution Centre - Darlington,54.5485,-1.5739,1.2,Solar,Solar
Whinney Hill Waste Disposal Site,53.7685,-2.3717,1.2,Waste,Biomass
Aveley,51.504,0.2333,1.2,Waste,Biomass
Swindon Sewerage Treatment Works,51.5679,-1.8085,1.2,Biomass,Biomass
Kerry Falls,57.7203,-5.6792,1.25,Hydro,Hydro
Attlebridge Landfill Site,52.6999,1.1776,1.3,Waste,Biomass
Sidegate Lane Landfill Site,52.3232,-0.6589,1.3,Waste,Biomass
Saltend Wind Turbine,53.7444,-0.2365,1.3,Wind,Wind
Brookfield Farm AD Plant (Farm AD),52.7752,-2.2312,1.3,Biomass,Biomass
Gilford Road,54.4105,-6.4131,1.3,Solar,Solar
Betton Abbots,52.6702,-2.7201,1.3,Waste,Biomass
Norton Fields Farm,52.1643,-2.1427,1.3,Wind,Wind
Ulnes Walton Energy,53.6767,-2.7675,1.3,Waste,Biomass
Ben Glas,56.3299,-4.7172,1.3,Hydro,Hydro
Garlaff Landfill,55.4297,-4.3041,1.3,Waste,Biomass
Little White Alice Solar Park,50.1707,-5.2253,1.3,Solar,Solar
Aldi Distribution Centre,55.8787,-3.6482,1.3,Solar,Solar
Hopton Road Industrial Estate,51.3713,-1.9676,1.3,Solar,Solar
Meece Landfill,52.9023,-2.2185,1.3,Waste,Biomass
Seamer Carr,54.2269,-0.4169,1.3,Waste,Biomass
Crockers Hele,50.8423,-4.0951,1.3,Solar,Solar
Fleetwood Water Treatment Works,53.9091,-3.0187,1.3,Solar,Solar
Loftsome Bridge,53.7568,-0.9377,1.3,Wind,Wind
Westcott Venture Park Phase 2 & 3,51.8454,-0.9557,1.3,Solar,Solar
Boston Landfill Scheme,52.9522,0.005,1.3,Waste,Biomass
Chelker Reservoir,53.9624,-1.9142,1.3,Wind,Wind
Great Hele Farm AD farm waste,51.0051,-3.8238,1.3,Biomass,Biomass
Lowbrook Farm Anaerobic Digester (Farm AD),50.8832,-2.3022,1.3,Biomass,Biomass
Allt Cheanna Mhuir Hydro,56.9748,-5.12,1.3,Hydro,Hydro
Roxwell Landfill Scheme,51.7631,0.4055,1.3,Waste,Biomass
Clifton Marsh Wastewater Treatment Works,53.7511,-2.8259,1.3,Solar,Solar
Allt Ladaidh Hydro,57.0604,-4.9225,1.3,Hydro,Hydro
Carnoch,56.6868,-5.5073,1.35,Hydro,Hydro
Chelson Meadow 2,50.3709,-4.1161,1.4,Waste,Biomass
