Year,Team,Scorer,Minute,FIFA Code
1960,Soviet Union,Khusainov,13,RUS
1960,Soviet Union,Ponedelnik,113,RUS
1960,Yugoslavia,Galic,43,YUG
1964,Spain,Pereda,6,ESP
1964,Spain,Marcelino,84,ESP
1964,Soviet Union,Khusainov,8,RUS
1968,Italy,Riva,12,ITA
1968,Italy,Anastasi,31,ITA
1972,West Germany,Gerd Müller,27,GER
1972,West Germany,Gerd Müller,58,GER
1972,West Germany,Wimmer,52,GER
1976,Czechoslovakia,Švehlík,8,TCH
1976,Czechoslovakia,Dobiaš,25,TCH
1976,West Germany,D. Müller,28,GER
1976,West Germany,Hölzenbein,89,GER
1980,West Germany,Hrubesch,10,GER
1980,West Germany,Hrubesch,88,GER
1980,Belgium,Vandereycken,75,BEL
1984,France,Platini,57,FRA
1984,France,Bellone,90,FRA
1988,Netherlands,Gullit,32,NED
1988,Netherlands,Van Basten,54,NED
1992,Denmark,Jensen,18,DEN
1992,Denmark,Vilfort,78,DEN
1996,Czech Republic,Berger,59,CZE
1996,Germany,Bierhoff,73,GER
1996,Germany,Bierhoff,95,GER
2000,Italy,Delvecchio,55,ITA
2000,France,Wiltord,90,FRA
2000,France,Trezeguet,103,FRA
2004,Greece,Charisteas,57,GRE
2008,Spain,Torres,33,ESP
2012,Spain,Silva,14,ESP
2012,Spain,Jordi Alba,41,ESP
2012,Spain,Torres,84,ESP
2012,Spain,Juan Mata,88,ESP
2016,Portugal,Éder,109,POR
2021,England,Shaw,2,ENG
2021,Italy,Bonucci,67,ITA
2024,Spain,Williams,47,ESP
2024,Spain,Oyarzabal,86,ESP
2024,England,Palmer,73,ENG
