,ISO3,Country,Year,R&D Expenditure (% of GDP),GDP per capita (PPP),Population,Continent
0,,Turkey,2014,1.01,30452.1,,
1,FRA,France,2020,2.35493,46858.21592,67571107.0,Europe
2,DEU,Germany,2020,3.14426,54844.54597,83160871.0,Europe
3,JPN,Japan,2020,3.26317,42100.25769,126261000.0,Asia
4,MEX,Mexico,2020,0.30096,19165.35778,125998302.0,America
5,GBR,United Kingdom,2019,1.70799,49041.46355,66836327.0,Europe
6,USA,United States,2020,3.45018,63027.67953,331501080.0,America
7,BRA,Brazil,2019,1.20803,15304.9077,211782878.0,America
8,CHN,China,2020,2.40093,17189.28179,1411100000.0,Asia
9,EGY,Egypt,2020,0.96218,12004.12593,107465134.0,Africa
10,IND,India,2018,0.65573,6589.913808,1369003306.0,Asia
11,IRN,Iran,2019,0.88359,14678.77788,86564202.0,Asia
12,PAK,Pakistan,2019,0.20096,5375.218711,223293280.0,Asia
13,PHL,Philippines,2018,0.32222,8565.59071,108568836.0,Asia
14,RUS,Russia,2020,1.09803,29936.92969,144073139.0,Europe
15,THA,Thailand,2019,1.14257,18763.50902,71307763.0,Asia
16,COD,DR Congo,2015,0.40638,877.6808352,78656904.0,Africa
17,ETH,Ethiopia,2017,0.27437,1987.968754,108197950.0,Africa
18,IDN,Indonesia,2020,0.28084,12146.40679,271857970.0,Asia
19,NGA,Nigeria,2007,0.13223,3887.736752,148294028.0,Africa
20,VNM,Vietnam,2019,0.53172,10684.68628,95776716.0,Asia
