year,country,value,series
1968,France,0.36734388074409535,dwellings per capita
1975,France,0.40079270097664293,dwellings per capita
1982,France,0.43529953068924265,dwellings per capita
1983,France,0.43921330333783815,dwellings per capita
1984,France,0.44390317533224516,dwellings per capita
1985,France,0.44804583719403396,dwellings per capita
1986,France,0.4518577982321925,dwellings per capita
1987,France,0.45546316946045906,dwellings per capita
1988,France,0.45849149294586,dwellings per capita
1989,France,0.4608154888029656,dwellings per capita
1990,France,0.4630326811248387,dwellings per capita
1991,France,0.46619795642418727,dwellings per capita
1992,France,0.4687926831290473,dwellings per capita
1993,France,0.47140309407697284,dwellings per capita
1994,France,0.47442015468841764,dwellings per capita
1995,France,0.4777798931250377,dwellings per capita
1996,France,0.48103113301360906,dwellings per capita
1997,France,0.4841178210110679,dwellings per capita
1998,France,0.48714417934233545,dwellings per capita
1999,France,0.4898916113314116,dwellings per capita
2000,France,0.49250573386565455,dwellings per capita
2001,France,0.4948658073222119,dwellings per capita
2002,France,0.4969347952688122,dwellings per capita
2003,France,0.4990529325050126,dwellings per capita
2004,France,0.5014261449399716,dwellings per capita
2005,France,0.5033687172655322,dwellings per capita
2006,France,0.505865391955369,dwellings per capita
2007,France,0.5089227101933,dwellings per capita
2008,France,0.5120957370375595,dwellings per capita
2009,France,0.5150665943774048,dwellings per capita
2010,France,0.5181212179003233,dwellings per capita
2011,France,0.5210055616630218,dwellings per capita
2012,France,0.5240471976358358,dwellings per capita
2013,France,0.5270977292567027,dwellings per capita
2014,France,0.530127791987369,dwellings per capita
2015,France,0.5335390663207862,dwellings per capita
2016,France,0.5374073086401246,dwellings per capita
2017,France,0.5411737190224999,dwellings per capita
2018,France,0.5445373489007169,dwellings per capita
2019,France,0.5473543632765301,dwellings per capita
2020,France,0.5506063631843134,dwellings per capita
2021,France,0.5535891434371152,dwellings per capita
2022,France,0.5567334670639517,dwellings per capita
1961,Germany,0.3030223085718617,dwellings per capita
1970,Germany,0.3441041404629789,dwellings per capita
1986,Germany,0.42307399075586427,dwellings per capita
1987,Germany,0.4255139012313583,dwellings per capita
1988,Germany,0.42578389887400436,dwellings per capita
1989,Germany,0.42472008112059595,dwellings per capita
1990,Germany,0.42451349335369215,dwellings per capita
1991,Germany,0.42570870892553214,dwellings per capita
1992,Germany,0.42664408774343054,dwellings per capita
1993,Germany,0.43016441263259025,dwellings per capita
1994,Germany,0.4337919549590517,dwellings per capita
1995,Germany,0.4394453196375509,dwellings per capita
1996,Germany,0.44496233375727856,dwellings per capita
1997,Germany,0.4515178214502805,dwellings per capita
1998,Germany,0.4574660088481283,dwellings per capita
1999,Germany,0.462301503192264,dwellings per capita
2000,Germany,0.46661633410544234,dwellings per capita
2001,Germany,0.46920980123934275,dwellings per capita
2002,Germany,0.4716065148246816,dwellings per capita
2003,Germany,0.47426088101378683,dwellings per capita
2004,Germany,0.4771134658262729,dwellings per capita
2005,Germany,0.4797691040399515,dwellings per capita
2006,Germany,0.4829469525240058,dwellings per capita
2007,Germany,0.485517430968173,dwellings per capita
2008,Germany,0.4884894038898102,dwellings per capita
2009,Germany,0.4912280476564357,dwellings per capita
2010,Germany,0.49514956294067486,dwellings per capita
2011,Germany,0.5058056042794595,dwellings per capita
2012,Germany,0.5067549266771568,dwellings per capita
2013,Germany,0.5075699975867758,dwellings per capita
2014,Germany,0.5076657682362952,dwellings per capita
2015,Germany,0.5043617160521596,dwellings per capita
2016,Germany,0.505362477409414,dwellings per capita
2017,Germany,0.5069075282087351,dwellings per capita
2018,Germany,0.5087425003655479,dwellings per capita
2019,Germany,0.5111753307161564,dwellings per capita
2020,Germany,0.5147462094025316,dwellings per capita
2021,Germany,0.517606254632248,dwellings per capita
1965,USA,0.3304038652513288,dwellings per capita
1966,USA,0.3317005681615878,dwellings per capita
1967,USA,0.3321425696345194,dwellings per capita
1968,USA,0.3346085830282199,dwellings per capita
1969,USA,0.33777424828348196,dwellings per capita
1970,USA,0.3402327769895021,dwellings per capita
