Division,Feb 2024,Mar 2024,Mar 2023,Mar 2024
CPI All items,3.4,3.2,0.8,0.6
Food and non-alcoholic beverages                                                                    ,5.0,4.0,1.1,0.2
Alcohol and tobacco          ,11.9,12.1,0.7,0.9
Clothing and footwear                                                                               ,5.0,4.0,1.6,0.6
Housing and household services,-1.7,-1.6,0.1,0.2
Furniture and household goods,0.0,-0.9,1.3,0.3
Health                                                                                              ,6.5,6.6,0.4,0.4
Transport                                                                                           ,-0.1,0.1,0.3,0.6
Communication                                                                                       ,5.6,7.5,-0.1,1.7
Recreation and culture                                                                              ,5.4,5.3,1.0,0.9
Education                                                                                           ,4.5,4.5,0.0,0.0
Restaurants and hotels                                                                  ,6.0,5.8,1.2,1.1
Miscellaneous goods and services                                                                    ,3.6,3.4,0.5,0.2
All goods,1.1,0.8," 0.8 ",0.6
All services,6.1,6.0,0.7,0.6
"CPI exc food, energy, alcohol and tobacco (core CPI)",4.5,4.2,0.9,0.6
