,Year,var,val
0,1950,Population in Billions,2.478
1,1951,Population in Billions,2.521
2,1952,Population in Billions,2.565
3,1953,Population in Billions,2.615
4,1954,Population in Billions,2.665
5,1955,Population in Billions,2.719
6,1956,Population in Billions,2.773
7,1957,Population in Billions,2.829
8,1958,Population in Billions,2.887
9,1959,Population in Billions,2.945
10,1960,Population in Billions,2.996
11,1961,Population in Billions,3.043
12,1962,Population in Billions,3.094
13,1963,Population in Billions,3.16
14,1964,Population in Billions,3.232
15,1965,Population in Billions,3.302
16,1966,Population in Billions,3.372
17,1967,Population in Billions,3.441
18,1968,Population in Billions,3.51
19,1969,Population in Billions,3.584
20,1970,Population in Billions,3.658
21,1971,Population in Billions,3.733
22,1972,Population in Billions,3.807
23,1973,Population in Billions,3.882
24,1974,Population in Billions,3.958
25,1975,Population in Billions,4.033
26,1976,Population in Billions,4.106
27,1977,Population in Billions,4.179
28,1978,Population in Billions,4.252
29,1979,Population in Billions,4.327
30,1980,Population in Billions,4.404
31,1981,Population in Billions,4.484
32,1982,Population in Billions,4.566
33,1983,Population in Billions,4.65
34,1984,Population in Billions,4.733
35,1985,Population in Billions,4.818
36,1986,Population in Billions,4.905
37,1987,Population in Billions,4.995
38,1988,Population in Billions,5.087
39,1989,Population in Billions,5.178
40,1990,Population in Billions,5.27
41,1991,Population in Billions,5.363
42,1992,Population in Billions,5.45
43,1993,Population in Billions,5.535
44,1994,Population in Billions,5.619
45,1995,Population in Billions,5.702
46,1996,Population in Billions,5.784
47,1997,Population in Billions,5.866
48,1998,Population in Billions,5.947
49,1999,Population in Billions,6.028
50,2000,Population in Billions,6.108
51,2001,Population in Billions,6.19
52,2002,Population in Billions,6.272
53,2003,Population in Billions,6.353
54,2004,Population in Billions,6.435
55,2005,Population in Billions,6.517
56,2006,Population in Billions,6.599
57,2007,Population in Billions,6.683
58,2008,Population in Billions,6.769
59,2009,Population in Billions,6.855
60,2010,Population in Billions,6.942
61,2011,Population in Billions,7.029
62,2012,Population in Billions,7.117
63,2013,Population in Billions,7.206
64,2014,Population in Billions,7.295
65,2015,Population in Billions,7.383
66,2016,Population in Billions,7.47
67,2017,Population in Billions,7.557
68,2018,Population in Billions,7.643
69,2019,Population in Billions,7.725
70,2020,Population in Billions,7.805
71,2021,Population in Billions,7.877
72,2022,Population in Billions,7.942
73,2023,Population in Billions,8.009
74,2024,Population in Billions,8.082
75,2025,Population in Billions,8.156
76,2026,Population in Billions,8.228
77,2027,Population in Billions,8.3
78,2028,Population in Billions,8.372
79,2029,Population in Billions,8.442
80,2030,Population in Billions,8.512
81,2031,Population in Billions,8.581
82,2032,Population in Billions,8.649
83,2033,Population in Billions,8.716
84,2034,Population in Billions,8.782
85,2035,Population in Billions,8.847
86,2036,Population in Billions,8.912
87,2037,Population in Billions,8.975
88,2038,Population in Billions,9.037
89,2039,Population in Billions,9.099
90,2040,Population in Billions,9.159
91,2041,Population in Billions,9.218
92,2042,Population in Billions,9.276
93,2043,Population in Billions,9.332
94,2044,Population in Billions,9.387
95,2045,Population in Billions,9.441
96,2046,Population in Billions,9.494
97,2047,Population in Billions,9.545
98,2048,Population in Billions,9.594
99,2049,Population in Billions,9.642
100,2050,Population in Billions,9.687
101,2051,Population in Billions,9.732
102,2052,Population in Billions,9.774
103,2053,Population in Billions,9.814
104,2054,Population in Billions,9.853
105,2055,Population in Billions,9.891
106,2056,Population in Billions,9.926
107,2057,Population in Billions,9.96
108,2058,Population in Billions,9.993
109,2059,Population in Billions,10.024
110,2060,Population in Billions,10.054
111,2061,Population in Billions,10.082
112,2062,Population in Billions,10.109
113,2063,Population in Billions,10.135
114,2064,Population in Billions,10.16
115,2065,Population in Billions,10.185
116,2066,Population in Billions,10.207
117,2067,Population in Billions,10.229
118,2068,Population in Billions,10.25
119,2069,Population in Billions,10.27
120,2070,Population in Billions,10.288
121,2071,Population in Billions,10.306
122,2072,Population in Billions,10.322
123,2073,Population in Billions,10.338
124,2074,Population in Billions,10.352
125,2075,Population in Billions,10.365
126,2076,Population in Billions,10.377
127,2077,Population in Billions,10.387
128,2078,Population in Billions,10.397
129,2079,Population in Billions,10.405
130,2080,Population in Billions,10.412
131,2081,Population in Billions,10.418
132,2082,Population in Billions,10.422
133,2083,Population in Billions,10.426
134,2084,Population in Billions,10.429
135,2085,Population in Billions,10.43
136,2086,Population in Billions,10.431
137,2087,Population in Billions,10.431
138,2088,Population in Billions,10.43
139,2089,Population in Billions,10.428
140,2090,Population in Billions,10.425
141,2091,Population in Billions,10.422
142,2092,Population in Billions,10.417
143,2093,Population in Billions,10.412
144,2094,Population in Billions,10.407
145,2095,Population in Billions,10.4
146,2096,Population in Billions,10.393
147,2097,Population in Billions,10.384
148,2098,Population in Billions,10.375
149,2099,Population in Billions,10.366
150,2100,Population in Billions,10.355
151,1950,Median Age,22.224
152,1951,Median Age,22.172
153,1952,Median Age,22.108
154,1953,Median Age,22.036
155,1954,Median Age,21.952
156,1955,Median Age,21.845
157,1956,Median Age,21.742
158,1957,Median Age,21.634
159,1958,Median Age,21.532
160,1959,Median Age,21.478
161,1960,Median Age,21.461
162,1961,Median Age,21.448
163,1962,Median Age,21.371
164,1963,Median Age,21.204
165,1964,Median Age,21.008
166,1965,Median Age,20.815
167,1966,Median Age,20.633
168,1967,Median Age,20.491
169,1968,Median Age,20.401
170,1969,Median Age,20.343
171,1970,Median Age,20.32
172,1971,Median Age,20.332
173,1972,Median Age,20.379
174,1973,Median Age,20.457
175,1974,Median Age,20.562
176,1975,Median Age,20.692
177,1976,Median Age,20.84
178,1977,Median Age,21.007
179,1978,Median Age,21.177
180,1979,Median Age,21.345
181,1980,Median Age,21.505
182,1981,Median Age,21.642
183,1982,Median Age,21.741
184,1983,Median Age,21.826
185,1984,Median Age,21.916
186,1985,Median Age,22.04
187,1986,Median Age,22.224
188,1987,Median Age,22.417
189,1988,Median Age,22.604
190,1989,Median Age,22.783
191,1990,Median Age,22.96
192,1991,Median Age,23.144
193,1992,Median Age,23.353
194,1993,Median Age,23.575
195,1994,Median Age,23.81
196,1995,Median Age,24.051
197,1996,Median Age,24.293
198,1997,Median Age,24.534
199,1998,Median Age,24.777
200,1999,Median Age,25.018
201,2000,Median Age,25.25
202,2001,Median Age,25.47
203,2002,Median Age,25.679
204,2003,Median Age,25.882
205,2004,Median Age,26.08
206,2005,Median Age,26.273
207,2006,Median Age,26.47
208,2007,Median Age,26.675
209,2008,Median Age,26.886
210,2009,Median Age,27.102
211,2010,Median Age,27.327
212,2011,Median Age,27.554
213,2012,Median Age,27.775
214,2013,Median Age,27.993
215,2014,Median Age,28.22
216,2015,Median Age,28.456
217,2016,Median Age,28.699
218,2017,Median Age,28.947
219,2018,Median Age,29.204
220,2019,Median Age,29.469
221,2020,Median Age,29.736
222,2021,Median Age,29.996
223,2022,Median Age,30.242
224,2023,Median Age,30.489
225,2024,Median Age,30.736
226,2025,Median Age,30.977
227,2026,Median Age,31.211
228,2027,Median Age,31.44
229,2028,Median Age,31.662
230,2029,Median Age,31.877
231,2030,Median Age,32.086
232,2031,Median Age,32.289
233,2032,Median Age,32.487
234,2033,Median Age,32.682
235,2034,Median Age,32.878
236,2035,Median Age,33.073
237,2036,Median Age,33.263
238,2037,Median Age,33.447
239,2038,Median Age,33.629
240,2039,Median Age,33.81
241,2040,Median Age,33.991
242,2041,Median Age,34.173
243,2042,Median Age,34.357
244,2043,Median Age,34.545
245,2044,Median Age,34.737
246,2045,Median Age,34.932
247,2046,Median Age,35.126
248,2047,Median Age,35.32
249,2048,Median Age,35.517
250,2049,Median Age,35.718
251,2050,Median Age,35.919
252,2051,Median Age,36.117
253,2052,Median Age,36.312
254,2053,Median Age,36.504
255,2054,Median Age,36.694
256,2055,Median Age,36.882
257,2056,Median Age,37.057
258,2057,Median Age,37.218
259,2058,Median Age,37.364
260,2059,Median Age,37.496
261,2060,Median Age,37.618
262,2061,Median Age,37.735
263,2062,Median Age,37.851
264,2063,Median Age,37.967
265,2064,Median Age,38.081
266,2065,Median Age,38.194
267,2066,Median Age,38.308
268,2067,Median Age,38.42
269,2068,Median Age,38.533
270,2069,Median Age,38.646
271,2070,Median Age,38.758
272,2071,Median Age,38.871
273,2072,Median Age,38.985
274,2073,Median Age,39.099
275,2074,Median Age,39.214
276,2075,Median Age,39.33
277,2076,Median Age,39.447
278,2077,Median Age,39.565
279,2078,Median Age,39.685
280,2079,Median Age,39.806
281,2080,Median Age,39.928
282,2081,Median Age,40.051
283,2082,Median Age,40.174
284,2083,Median Age,40.299
285,2084,Median Age,40.425
286,2085,Median Age,40.551
287,2086,Median Age,40.678
288,2087,Median Age,40.805
289,2088,Median Age,40.931
290,2089,Median Age,41.057
291,2090,Median Age,41.182
292,2091,Median Age,41.306
293,2092,Median Age,41.427
294,2093,Median Age,41.545
295,2094,Median Age,41.661
296,2095,Median Age,41.774
297,2096,Median Age,41.884
298,2097,Median Age,41.992
299,2098,Median Age,42.097
300,2099,Median Age,42.2
301,2100,Median Age,42.3
302,1950,Life Expectancy at Birth,46.464
303,1951,Life Expectancy at Birth,47.144
304,1952,Life Expectancy at Birth,48.231
305,1953,Life Expectancy at Birth,48.802
306,1954,Life Expectancy at Birth,49.592
307,1955,Life Expectancy at Birth,50.123
308,1956,Life Expectancy at Birth,50.642
