,Year,var,val
0,1950,Population in Millions,83.656
1,1951,Population in Millions,85.05
2,1952,Population in Millions,86.317
3,1953,Population in Millions,87.526
4,1954,Population in Millions,88.588
5,1955,Population in Millions,89.598
6,1956,Population in Millions,90.582
7,1957,Population in Millions,91.461
8,1958,Population in Millions,92.215
9,1959,Population in Millions,93.128
10,1960,Population in Millions,94.024
11,1961,Population in Millions,94.906
12,1962,Population in Millions,95.805
13,1963,Population in Millions,96.731
14,1964,Population in Millions,97.763
15,1965,Population in Millions,98.876
16,1966,Population in Millions,100.062
17,1967,Population in Millions,100.872
18,1968,Population in Millions,102.184
19,1969,Population in Millions,103.455
20,1970,Population in Millions,104.749
21,1971,Population in Millions,106.085
22,1972,Population in Millions,107.494
23,1973,Population in Millions,108.947
24,1974,Population in Millions,110.412
25,1975,Population in Millions,111.788
26,1976,Population in Millions,113.036
27,1977,Population in Millions,114.214
28,1978,Population in Millions,115.309
29,1979,Population in Millions,116.31
30,1980,Population in Millions,117.221
31,1981,Population in Millions,118.028
32,1982,Population in Millions,118.744
33,1983,Population in Millions,119.452
34,1984,Population in Millions,120.135
35,1985,Population in Millions,120.806
36,1986,Population in Millions,121.432
37,1987,Population in Millions,121.989
38,1988,Population in Millions,122.549
39,1989,Population in Millions,123.048
40,1990,Population in Millions,123.494
41,1991,Population in Millions,123.879
42,1992,Population in Millions,124.269
43,1993,Population in Millions,124.62
44,1994,Population in Millions,124.939
45,1995,Population in Millions,125.3
46,1996,Population in Millions,125.568
47,1997,Population in Millions,125.884
48,1998,Population in Millions,126.172
49,1999,Population in Millions,126.445
50,2000,Population in Millions,126.665
51,2001,Population in Millions,126.943
52,2002,Population in Millions,127.189
53,2003,Population in Millions,127.415
54,2004,Population in Millions,127.59
55,2005,Population in Millions,127.753
56,2006,Population in Millions,127.844
57,2007,Population in Millions,127.96
58,2008,Population in Millions,128.053
59,2009,Population in Millions,128.103
60,2010,Population in Millions,128.131
61,2011,Population in Millions,128.079
62,2012,Population in Millions,127.935
63,2013,Population in Millions,127.772
64,2014,Population in Millions,127.586
65,2015,Population in Millions,127.368
66,2016,Population in Millions,127.134
67,2017,Population in Millions,126.854
68,2018,Population in Millions,126.471
69,2019,Population in Millions,126.041
70,2020,Population in Millions,125.543
71,2021,Population in Millions,124.947
72,2022,Population in Millions,124.278
73,2023,Population in Millions,123.625
74,2024,Population in Millions,122.964
75,2025,Population in Millions,122.299
76,2026,Population in Millions,121.622
77,2027,Population in Millions,120.943
78,2028,Population in Millions,120.258
79,2029,Population in Millions,119.566
80,2030,Population in Millions,118.868
81,2031,Population in Millions,118.162
82,2032,Population in Millions,117.45
83,2033,Population in Millions,116.731
84,2034,Population in Millions,116.006
85,2035,Population in Millions,115.276
86,2036,Population in Millions,114.538
87,2037,Population in Millions,113.792
88,2038,Population in Millions,113.041
89,2039,Population in Millions,112.288
90,2040,Population in Millions,111.534
91,2041,Population in Millions,110.781
92,2042,Population in Millions,110.03
93,2043,Population in Millions,109.28
94,2044,Population in Millions,108.528
95,2045,Population in Millions,107.783
96,2046,Population in Millions,107.042
97,2047,Population in Millions,106.307
98,2048,Population in Millions,105.578
99,2049,Population in Millions,104.855
100,2050,Population in Millions,104.14
101,2051,Population in Millions,103.429
102,2052,Population in Millions,102.724
103,2053,Population in Millions,102.023
104,2054,Population in Millions,101.323
105,2055,Population in Millions,100.617
106,2056,Population in Millions,99.905
107,2057,Population in Millions,99.19
108,2058,Population in Millions,98.468
109,2059,Population in Millions,97.74
110,2060,Population in Millions,97.003
