Year,World
2022,2.268
2021,2.282
2020,2.308
2019,2.368
2018,2.405
2017,2.467
2016,2.489
2015,2.486
2014,2.514
2013,2.522
2012,2.558
2011,2.542
2010,2.563
2009,2.587
2008,2.601
2007,2.601
2006,2.602
2005,2.609
2004,2.628
2003,2.636
2002,2.659
2001,2.686
2000,2.724
1999,2.715
1998,2.742
1997,2.777
1996,2.818
1995,2.866
1994,2.920
1993,2.973
1992,3.041
1991,3.127
1990,3.308
1989,3.348
1988,3.398
1987,3.489
1986,3.518
1985,3.532
1984,3.569
1983,3.594
1982,3.723
1981,3.707
1980,3.734
1979,3.760
1978,3.777
1977,3.844
1976,3.969
1975,4.076
1974,4.259
1973,4.420
1972,4.550
1971,4.692
1970,4.842
1969,4.882
1968,4.978
1967,4.866
1966,4.970
1965,5.086
1964,5.134
1963,5.317
1962,5.029
1961,4.569
1960,4.690
