period,Sector,Value
1997-01-01,Business Investment (excl. dwellings),37825
1997-04-01,Business Investment (excl. dwellings),38040
1997-07-01,Business Investment (excl. dwellings),40957
1997-10-01,Business Investment (excl. dwellings),41619
1998-01-01,Business Investment (excl. dwellings),42028
1998-04-01,Business Investment (excl. dwellings),42503
1998-07-01,Business Investment (excl. dwellings),41933
1998-10-01,Business Investment (excl. dwellings),42520
1999-01-01,Business Investment (excl. dwellings),43428
1999-04-01,Business Investment (excl. dwellings),43043
1999-07-01,Business Investment (excl. dwellings),42939
1999-10-01,Business Investment (excl. dwellings),42381
2000-01-01,Business Investment (excl. dwellings),44594
2000-04-01,Business Investment (excl. dwellings),47936
2000-07-01,Business Investment (excl. dwellings),43712
2000-10-01,Business Investment (excl. dwellings),45780
2001-01-01,Business Investment (excl. dwellings),43112
2001-04-01,Business Investment (excl. dwellings),47836
2001-07-01,Business Investment (excl. dwellings),46997
2001-10-01,Business Investment (excl. dwellings),45091
2002-01-01,Business Investment (excl. dwellings),43722
2002-04-01,Business Investment (excl. dwellings),42992
2002-07-01,Business Investment (excl. dwellings),45703
2002-10-01,Business Investment (excl. dwellings),47474
2003-01-01,Business Investment (excl. dwellings),47410
2003-04-01,Business Investment (excl. dwellings),43668
2003-07-01,Business Investment (excl. dwellings),44102
2003-10-01,Business Investment (excl. dwellings),43762
2004-01-01,Business Investment (excl. dwellings),44042
2004-04-01,Business Investment (excl. dwellings),41630
2004-07-01,Business Investment (excl. dwellings),41970
2004-10-01,Business Investment (excl. dwellings),43060
2005-01-01,Business Investment (excl. dwellings),45364
2005-04-01,Business Investment (excl. dwellings),66508
2005-07-01,Business Investment (excl. dwellings),48527
2005-10-01,Business Investment (excl. dwellings),49209
2006-01-01,Business Investment (excl. dwellings),51842
2006-04-01,Business Investment (excl. dwellings),49901
2006-07-01,Business Investment (excl. dwellings),51539
2006-10-01,Business Investment (excl. dwellings),49386
2007-01-01,Business Investment (excl. dwellings),51948
2007-04-01,Business Investment (excl. dwellings),55519
2007-07-01,Business Investment (excl. dwellings),54051
2007-10-01,Business Investment (excl. dwellings),57624
2008-01-01,Business Investment (excl. dwellings),52099
2008-04-01,Business Investment (excl. dwellings),57108
2008-07-01,Business Investment (excl. dwellings),54942
2008-10-01,Business Investment (excl. dwellings),52434
2009-01-01,Business Investment (excl. dwellings),48456
2009-04-01,Business Investment (excl. dwellings),46751
2009-07-01,Business Investment (excl. dwellings),45581
2009-10-01,Business Investment (excl. dwellings),45414
2010-01-01,Business Investment (excl. dwellings),47159
2010-04-01,Business Investment (excl. dwellings),46055
2010-07-01,Business Investment (excl. dwellings),47527
2010-10-01,Business Investment (excl. dwellings),50337
2011-01-01,Business Investment (excl. dwellings),47060
2011-04-01,Business Investment (excl. dwellings),49334
2011-07-01,Business Investment (excl. dwellings),50839
2011-10-01,Business Investment (excl. dwellings),52186
2012-01-01,Business Investment (excl. dwellings),53782
2012-04-01,Business Investment (excl. dwellings),51078
2012-07-01,Business Investment (excl. dwellings),51746
2012-10-01,Business Investment (excl. dwellings),55124
2013-01-01,Business Investment (excl. dwellings),53732
2013-04-01,Business Investment (excl. dwellings),54767
2013-07-01,Business Investment (excl. dwellings),56747
2013-10-01,Business Investment (excl. dwellings),56008
2014-01-01,Business Investment (excl. dwellings),56781
2014-04-01,Business Investment (excl. dwellings),58520
2014-07-01,Business Investment (excl. dwellings),59208
2014-10-01,Business Investment (excl. dwellings),61217
2015-01-01,Business Investment (excl. dwellings),64003
2015-04-01,Business Investment (excl. dwellings),63366
2015-07-01,Business Investment (excl. dwellings),62704
2015-10-01,Business Investment (excl. dwellings),66350
2016-01-01,Business Investment (excl. dwellings),69139
2016-04-01,Business Investment (excl. dwellings),68302
2016-07-01,Business Investment (excl. dwellings),70982
2016-10-01,Business Investment (excl. dwellings),67816
2017-01-01,Business Investment (excl. dwellings),69404
2017-04-01,Business Investment (excl. dwellings),68843
2017-07-01,Business Investment (excl. dwellings),69659
2017-10-01,Business Investment (excl. dwellings),70956
2018-01-01,Business Investment (excl. dwellings),71088
2018-04-01,Business Investment (excl. dwellings),69104
2018-07-01,Business Investment (excl. dwellings),67423
2018-10-01,Business Investment (excl. dwellings),68573
2019-01-01,Business Investment (excl. dwellings),69829
2019-04-01,Business Investment (excl. dwellings),70786
2019-07-01,Business Investment (excl. dwellings),70141
2019-10-01,Business Investment (excl. dwellings),69468
2020-01-01,Business Investment (excl. dwellings),68457
2020-04-01,Business Investment (excl. dwellings),55285
2020-07-01,Business Investment (excl. dwellings),63375
2020-10-01,Business Investment (excl. dwellings),67292
2021-01-01,Business Investment (excl. dwellings),65103
2021-04-01,Business Investment (excl. dwellings),67598
2021-07-01,Business Investment (excl. dwellings),67169
2021-10-01,Business Investment (excl. dwellings),69682
2022-01-01,Business Investment (excl. dwellings),71183
2022-04-01,Business Investment (excl. dwellings),72087
2022-07-01,Business Investment (excl. dwellings),70894
2022-10-01,Business Investment (excl. dwellings),70060
2023-01-01,Business Investment (excl. dwellings),72990
2023-04-01,Business Investment (excl. dwellings),73232
2023-07-01,Business Investment (excl. dwellings),71430
2023-10-01,Business Investment (excl. dwellings),72935
2024-01-01,Business Investment (excl. dwellings),72986
2024-04-01,Business Investment (excl. dwellings),74474
2024-07-01,Business Investment (excl. dwellings),75993
2024-10-01,Business Investment (excl. dwellings),74353
2025-01-01,Business Investment (excl. dwellings),78193
2025-04-01,Business Investment (excl. dwellings),76879
2025-07-01,Business Investment (excl. dwellings),78053
1997-01-01,General Government,6170
1997-04-01,General Government,6934
1997-07-01,General Government,7403
1997-10-01,General Government,7631
1998-01-01,General Government,8473
1998-04-01,General Government,7895
1998-07-01,General Government,7804
1998-10-01,General Government,8151
1999-01-01,General Government,7429
1999-04-01,General Government,7559
1999-07-01,General Government,7620
1999-10-01,General Government,7508
2000-01-01,General Government,7341
2000-04-01,General Government,7599
2000-07-01,General Government,7548
2000-10-01,General Government,7936
2001-01-01,General Government,10200
2001-04-01,General Government,8881
2001-07-01,General Government,9295
2001-10-01,General Government,9120
2002-01-01,General Government,9275
2002-04-01,General Government,9212
2002-07-01,General Government,10101
2002-10-01,General Government,10415
2003-01-01,General Government,11535
2003-04-01,General Government,10531
2003-07-01,General Government,10955
2003-10-01,General Government,10809
2004-01-01,General Government,12730
2004-04-01,General Government,12970
2004-07-01,General Government,14111
