date,country,indicator,value
1990-01-01,UK,NFC bonds as share of total NFC credit (%),13.34
1990-04-01,UK,NFC bonds as share of total NFC credit (%),12.96
1990-07-01,UK,NFC bonds as share of total NFC credit (%),13.43
1990-10-01,UK,NFC bonds as share of total NFC credit (%),13.63
1991-01-01,UK,NFC bonds as share of total NFC credit (%),15.24
1991-04-01,UK,NFC bonds as share of total NFC credit (%),15.58
1991-07-01,UK,NFC bonds as share of total NFC credit (%),15.87
1991-10-01,UK,NFC bonds as share of total NFC credit (%),15.73
1992-01-01,UK,NFC bonds as share of total NFC credit (%),14.55
1992-04-01,UK,NFC bonds as share of total NFC credit (%),15.22
1992-07-01,UK,NFC bonds as share of total NFC credit (%),14.85
1992-10-01,UK,NFC bonds as share of total NFC credit (%),15.28
1993-01-01,UK,NFC bonds as share of total NFC credit (%),15.42
1993-04-01,UK,NFC bonds as share of total NFC credit (%),16.96
1993-07-01,UK,NFC bonds as share of total NFC credit (%),17.49
1993-10-01,UK,NFC bonds as share of total NFC credit (%),17.78
1994-01-01,UK,NFC bonds as share of total NFC credit (%),17.93
1994-04-01,UK,NFC bonds as share of total NFC credit (%),18.31
1994-07-01,UK,NFC bonds as share of total NFC credit (%),18.6
1994-10-01,UK,NFC bonds as share of total NFC credit (%),18.65
1995-01-01,UK,NFC bonds as share of total NFC credit (%),18.77
1995-04-01,UK,NFC bonds as share of total NFC credit (%),20.08
1995-07-01,UK,NFC bonds as share of total NFC credit (%),20.57
1995-10-01,UK,NFC bonds as share of total NFC credit (%),21.29
1996-01-01,UK,NFC bonds as share of total NFC credit (%),22.18
1996-04-01,UK,NFC bonds as share of total NFC credit (%),22.07
1996-07-01,UK,NFC bonds as share of total NFC credit (%),21.76
1996-10-01,UK,NFC bonds as share of total NFC credit (%),21.53
1997-01-01,UK,NFC bonds as share of total NFC credit (%),21.38
1997-04-01,UK,NFC bonds as share of total NFC credit (%),21.77
1997-07-01,UK,NFC bonds as share of total NFC credit (%),22.44
1997-10-01,UK,NFC bonds as share of total NFC credit (%),22.57
1998-01-01,UK,NFC bonds as share of total NFC credit (%),23.35
1998-04-01,UK,NFC bonds as share of total NFC credit (%),23.06
1998-07-01,UK,NFC bonds as share of total NFC credit (%),23.19
1998-10-01,UK,NFC bonds as share of total NFC credit (%),23.73
