SDZ,Area,Series,Count,Population,Value
N21000001,Dunsilly_A,Economically active: Unemployed (including full-time students),52,3272,0.01589242053789731
N21000002,Dunsilly_B,Economically active: Unemployed (including full-time students),51,3132,0.016283524904214558
N21000003,Dunsilly_C,Economically active: Unemployed (including full-time students),41,2527,0.016224772457459437
N21000004,Dunsilly_D,Economically active: Unemployed (including full-time students),54,2991,0.01805416248746239
N21000005,Dunsilly_E,Economically active: Unemployed (including full-time students),37,2160,0.01712962962962963
N21000006,Dunsilly_F,Economically active: Unemployed (including full-time students),50,3916,0.012768130745658836
N21000007,Antrim_A,Economically active: Unemployed (including full-time students),36,1837,0.0195971692977681
N21000008,Antrim_B,Economically active: Unemployed (including full-time students),23,1791,0.012841987716359575
N21000009,Antrim_C,Economically active: Unemployed (including full-time students),37,2452,0.015089722675367047
N21000010,Antrim_D,Economically active: Unemployed (including full-time students),38,2423,0.015683037556747832
N21000011,Antrim_E,Economically active: Unemployed (including full-time students),49,1651,0.029678982434887948
N21000012,Antrim_F,Economically active: Unemployed (including full-time students),66,2203,0.029959146618247844
N21000013,Antrim_G,Economically active: Unemployed (including full-time students),59,2133,0.027660571964369433
N21000014,Antrim_H,Economically active: Unemployed (including full-time students),47,1394,0.03371592539454806
N21000015,Antrim_J,Economically active: Unemployed (including full-time students),38,2296,0.016550522648083623
N21000016,Antrim_K,Economically active: Unemployed (including full-time students),64,2150,0.029767441860465118
N21000017,Antrim_L,Economically active: Unemployed (including full-time students),38,2043,0.01860009789525208
N21000018,Antrim_N,Economically active: Unemployed (including full-time students),37,1571,0.023551877784850413
N21000019,Ballyclare_A,Economically active: Unemployed (including full-time students),36,2028,0.01775147928994083
N21000020,Ballyclare_B,Economically active: Unemployed (including full-time students),57,3014,0.01891174518911745
N21000021,Ballyclare_C,Economically active: Unemployed (including full-time students),63,2361,0.026683608640406607
N21000022,Ballyclare_D,Economically active: Unemployed (including full-time students),60,2538,0.02364066193853428
N21000023,Ballyclare_E,Economically active: Unemployed (including full-time students),39,2936,0.013283378746594006
N21000024,Ballyclare_F,Economically active: Unemployed (including full-time students),54,3187,0.016943834326953247
N21000025,Ballyclare_G,Economically active: Unemployed (including full-time students),29,1404,0.020655270655270654
N21000026,Ballyclare_H,Economically active: Unemployed (including full-time students),13,1600,0.008125
N21000027,Three_Mile_Water_A,Economically active: Unemployed (including full-time students),49,2217,0.02210193955796121
N21000028,Three_Mile_Water_B,Economically active: Unemployed (including full-time students),16,1359,0.01177336276674025
N21000029,Three_Mile_Water_C,Economically active: Unemployed (including full-time students),36,2052,0.017543859649122806
N21000030,Three_Mile_Water_D,Economically active: Unemployed (including full-time students),35,1959,0.017866258295048495
N21000031,Three_Mile_Water_E,Economically active: Unemployed (including full-time students),48,2520,0.01904761904761905
N21000032,Three_Mile_Water_F,Economically active: Unemployed (including full-time students),60,1898,0.03161222339304531
N21000033,Three_Mile_Water_G,Economically active: Unemployed (including full-time students),50,2796,0.0178826895565093
N21000034,Three_Mile_Water_H,Economically active: Unemployed (including full-time students),44,2269,0.019391802556192154
N21000035,Three_Mile_Water_J,Economically active: Unemployed (including full-time students),65,1461,0.044490075290896644
N21000036,Three_Mile_Water_K,Economically active: Unemployed (including full-time students),62,2122,0.029217719132893498
N21000037,Macedon_A,Economically active: Unemployed (including full-time students),28,1669,0.016776512881965248
N21000038,Macedon_B,Economically active: Unemployed (including full-time students),67,2078,0.03224254090471607
N21000039,Macedon_C,Economically active: Unemployed (including full-time students),51,2211,0.023066485753052916
N21000040,Macedon_D,Economically active: Unemployed (including full-time students),43,1785,0.024089635854341738
N21000041,Macedon_E,Economically active: Unemployed (including full-time students),55,1677,0.032796660703637445
N21000042,Macedon_F,Economically active: Unemployed (including full-time students),52,1672,0.03110047846889952
N21000043,Macedon_G,Economically active: Unemployed (including full-time students),60,1898,0.03161222339304531
N21000044,Macedon_H,Economically active: Unemployed (including full-time students),30,1306,0.022970903522205207
N21000045,Macedon_J,Economically active: Unemployed (including full-time students),49,2049,0.023914104441190825
N21000046,Macedon_K,Economically active: Unemployed (including full-time students),45,1888,0.023834745762711863
N21000047,Macedon_L,Economically active: Unemployed (including full-time students),60,2090,0.028708133971291867
