State,Hourly Minimum,Hourly Maximum,Non-state,Notes
Alabama,0,0,0,Regular (non-industry) jobs are unpaid.
Alaska,0.3,1.25,0,$0.30 to $1.25 per hour. Standard pay is $0.30 to $0.90 per hour for non Prisoner Employment Program (PEP) and non capital projects work. Long term construction projects approved for capital budget compensation for prisoner construction labor pay up to $0.75-$1.25 per hour. Community work projects inside or outside the institution pay up to $1.00 per hour with a maximum of $8.00 per day.
Arizona,0.15,0.5,0,$0.15 to $0.50 per hour
Arkansas,0,0,0,Regular (non-industry) jobs are unpaid.
California,0.08,0.37,0,$0.08 to $0.37 per hour for half time and partial full time employment; or $12.00 to $56.00 per month for full time employent. These are roughly equivalent rates assuming 7 hour work days and 22 days per month.
Colorado,0.13,0.38,0,"$0.84 to $2.45 per day for full time assignments, $0.42 starting wage for half time assignments."
Connecticut,0.13,1,0,$0.75 to $1.75 per day; $0.30 to $1.00 per hour for commissary assignments
Delaware,,,0,"The policy does not specify wages. An Inmate Employment and Compensation Committee reviews inmate wage scales annually. A typical work day is 6 hours, and a typical month has 20 working days."
Florida,0,0.32,0,"$0 to $50 per month. Regular (non-industry) jobs are unpaid, except for center work assignments (i.e. cleaning or laundry at a Community Release Center), which are paid up to $20 per month, and canteen assignments, which are paid up to $50 per month."
Georgia,0,0,0,Regular (non-industry) jobs are unpaid.
Hawaii,0.25,0.25,0,$0.25 per hour
Idaho,0.1,0.9,0,"$0.10 to $0.90 per hour. $0.10 to $0.30 per hour for ""prisons"" assignments. Work camps pay $0.50 to $0.90 per hour. Community work centers pay $100 to $120 per month. Nampa Community Work Center ISSH pays $3 per day. PWCC CCU pays $70 per month."
Illinois,0.09,0.89,0,"$15 to $75 per month. Most assignments are paid $0.71 to $2.15 per day ($15 to $45 monthly). Off grounds work camps pay work crews $45 to $75 monthly. A work day is at least 4 hours, and there are 21 work days per month."
Indiana,0.12,0.25,0,$0.12 to $0.25 per hour. Daily pay ranges from $0.50 to $1.625 and monthly pay ranges from $10 to $35.75; these pay scales are based on 6.5 work hours per day and 22 days of work per month.
Iowa,0.27,0.68,0,$0.27 to $0.68 per hour
Kansas,0.09,0.16,0,$0.60 to $1.05 per day
Kentucky,0.13,0.33,0,"$0.80 to $2.00 per day. 4 hour jobs are paid $0.80 per day, 8 hour jobs are paid $1.30 per day, and specialized assignments are paid $2.00 per day. Workers who qualify for time credit as well as pay are paid half the usual rate (i.e., $0.40 for 4 hour jobs, $0.65 for 8 hour jobs, and $1.00 for specialized assignments.)"
Louisiana,0.04,1,0,"$0.04 to $1.00 per hour. Regular (non-industry) work assignments pay up to $0.20 per hour except for Certified Academic Tutors and Certified Vocational Tutors, who can be compensated up to $1.00 per hour."
Maine,,,0,"There are no DOC policies related to financial compensation for work assignments. Each individual facility determines whether a work assignment is paid or not, and how much."
Maryland,0.15,0.46,0,$0.90 to $2.75 per day
