rw,yr,death_duty,Real Wealth
5000,1892,2,"£5,000.00"
5000,1893,2,"£5,000.00"
5000,1894,2,"£5,000.00"
5000,1895,2,"£5,000.00"
5000,1896,2,"£5,000.00"
5000,1897,2,"£5,000.00"
5000,1898,2,"£5,000.00"
5000,1899,2,"£5,000.00"
5000,1900,2,"£5,000.00"
5000,1901,2,"£5,000.00"
5000,1902,2,"£5,000.00"
5000,1903,2,"£5,000.00"
5000,1904,2,"£5,000.00"
5000,1905,2,"£5,000.00"
5000,1906,2,"£5,000.00"
5000,1907,2,"£5,000.00"
5000,1908,2,"£5,000.00"
5000,1909,2,"£5,000.00"
5000,1910,2,"£5,000.00"
5000,1911,2,"£5,000.00"
5000,1912,2,"£5,000.00"
5000,1913,2,"£5,000.00"
5000,1914,2,"£5,000.00"
5000,1915,2,"£5,000.00"
5000,1916,2,"£5,000.00"
5000,1917,3,"£5,000.00"
5000,1918,3,"£5,000.00"
5000,1919,3,"£5,000.00"
5000,1920,3,"£5,000.00"
5000,1920,3,"£5,000.00"
5000,1921,3,"£5,000.00"
5000,1922,3,"£5,000.00"
5000,1923,3,"£5,000.00"
5000,1924,3,"£5,000.00"
5000,1925,3,"£5,000.00"
5000,1926,3,"£5,000.00"
5000,1927,3,"£5,000.00"
5000,1928,3,"£5,000.00"
5000,1929,3,"£5,000.00"
5000,1930,3,"£5,000.00"
5000,1931,3,"£5,000.00"
5000,1932,3,"£5,000.00"
5000,1933,2,"£5,000.00"
5000,1934,2,"£5,000.00"
5000,1935,3,"£5,000.00"
5000,1936,3,"£5,000.00"
5000,1937,3,"£5,000.00"
5000,1938,3,"£5,000.00"
5000,1939,3,"£5,000.00"
5000,1939,3,"£5,000.00"
5000,1940,3,"£5,000.00"
5000,1941,3,"£5,000.00"
5000,1942,3,"£5,000.00"
5000,1943,3,"£5,000.00"
5000,1944,3,"£5,000.00"
5000,1945,3,"£5,000.00"
5000,1946,3,"£5,000.00"
5000,1947,2,"£5,000.00"
5000,1948,2,"£5,000.00"
5000,1949,0,"£5,000.00"
5000,1949,2,"£5,000.00"
5000,1950,0,"£5,000.00"
5000,1951,0,"£5,000.00"
5000,1952,0,"£5,000.00"
5000,1953,0,"£5,000.00"
5000,1954,0,"£5,000.00"
5000,1955,0,"£5,000.00"
5000,1956,0,"£5,000.00"
5000,1957,0,"£5,000.00"
5000,1958,0,"£5,000.00"
5000,1959,0,"£5,000.00"
5000,1960,0,"£5,000.00"
5000,1961,0,"£5,000.00"
5000,1962,0,"£5,000.00"
5000,1963,0,"£5,000.00"
5000,1964,0,"£5,000.00"
5000,1965,0,"£5,000.00"
5000,1966,0,"£5,000.00"
5000,1967,0,"£5,000.00"
5000,1968,0,"£5,000.00"
5000,1969,0,"£5,000.00"
5000,1970,0,"£5,000.00"
5000,1971,0,"£5,000.00"
5000,1972,0,"£5,000.00"
5000,1973,0,"£5,000.00"
5000,1974,0,"£5,000.00"
5000,1975,0,"£5,000.00"
5000,1976,0,"£5,000.00"
5000,1977,0,"£5,000.00"
5000,1978,0,"£5,000.00"
5000,1979,0,"£5,000.00"
5000,1980,0,"£5,000.00"
5000,1981,0,"£5,000.00"
5000,1982,0,"£5,000.00"
5000,1983,0,"£5,000.00"
5000,1984,0,"£5,000.00"
5000,1985,0,"£5,000.00"
5000,1986,0,"£5,000.00"
5000,1987,0,"£5,000.00"
5000,1988,0,"£5,000.00"
5000,1989,0,"£5,000.00"
5000,1990,0,"£5,000.00"
5000,1991,0,"£5,000.00"
5000,1992,0,"£5,000.00"
5000,1993,0,"£5,000.00"
5000,1994,0,"£5,000.00"
5000,1995,0,"£5,000.00"
5000,1996,0,"£5,000.00"
5000,1997,0,"£5,000.00"
5000,1998,0,"£5,000.00"
5000,1999,0,"£5,000.00"
5000,2000,0,"£5,000.00"
5000,2001,0,"£5,000.00"
5000,2002,0,"£5,000.00"
5000,2003,0,"£5,000.00"
5000,2004,0,"£5,000.00"
5000,2005,0,"£5,000.00"
5000,2006,0,"£5,000.00"
5000,2007,0,"£5,000.00"
5000,2008,0,"£5,000.00"
5000,2009,0,"£5,000.00"
5000,2010,0,"£5,000.00"
5000,2011,0,"£5,000.00"
5000,2012,0,"£5,000.00"
5000,2013,0,"£5,000.00"
5000,2014,0,"£5,000.00"
1E+05,1892,5,"£100,000.00"
1E+05,1893,5,"£100,000.00"
1E+05,1894,5,"£100,000.00"
1E+05,1895,5,"£100,000.00"
1E+05,1896,5,"£100,000.00"
1E+05,1897,5,"£100,000.00"
1E+05,1898,5,"£100,000.00"
1E+05,1899,5,"£100,000.00"
1E+05,1900,5,"£100,000.00"
1E+05,1901,5,"£100,000.00"
1E+05,1902,5,"£100,000.00"
1E+05,1903,5,"£100,000.00"
1E+05,1904,5,"£100,000.00"
1E+05,1905,5,"£100,000.00"
1E+05,1906,5,"£100,000.00"
1E+05,1907,5,"£100,000.00"
1E+05,1908,5,"£100,000.00"
1E+05,1909,5,"£100,000.00"
1E+05,1910,5,"£100,000.00"
1E+05,1911,5,"£100,000.00"
1E+05,1912,5,"£100,000.00"
1E+05,1913,5,"£100,000.00"
1E+05,1914,5,"£100,000.00"
1E+05,1915,5,"£100,000.00"
1E+05,1916,5,"£100,000.00"
1E+05,1917,5,"£100,000.00"
1E+05,1918,5,"£100,000.00"
1E+05,1919,5,"£100,000.00"
1E+05,1920,5,"£100,000.00"
1E+05,1920,5,"£100,000.00"
1E+05,1921,5,"£100,000.00"
1E+05,1922,5,"£100,000.00"
1E+05,1923,5,"£100,000.00"
1E+05,1924,5,"£100,000.00"
1E+05,1925,5,"£100,000.00"
1E+05,1926,5,"£100,000.00"
1E+05,1927,5,"£100,000.00"
1E+05,1928,5,"£100,000.00"
1E+05,1929,5,"£100,000.00"
1E+05,1930,5,"£100,000.00"
1E+05,1931,5,"£100,000.00"
1E+05,1932,5,"£100,000.00"
1E+05,1933,5,"£100,000.00"
1E+05,1934,5,"£100,000.00"
1E+05,1935,5,"£100,000.00"
1E+05,1936,5,"£100,000.00"
1E+05,1937,5,"£100,000.00"
1E+05,1938,5,"£100,000.00"
1E+05,1939,5,"£100,000.00"
1E+05,1939,5,"£100,000.00"
1E+05,1940,5,"£100,000.00"
1E+05,1941,5,"£100,000.00"
1E+05,1942,5,"£100,000.00"
1E+05,1943,5,"£100,000.00"
1E+05,1944,5,"£100,000.00"
1E+05,1945,5,"£100,000.00"
1E+05,1946,5,"£100,000.00"
1E+05,1947,4,"£100,000.00"
1E+05,1948,4,"£100,000.00"
1E+05,1949,2,"£100,000.00"
1E+05,1949,4,"£100,000.00"
1E+05,1950,2,"£100,000.00"
1E+05,1951,2,"£100,000.00"
1E+05,1952,3,"£100,000.00"
1E+05,1953,3,"£100,000.00"
1E+05,1954,3,"£100,000.00"
1E+05,1955,3,"£100,000.00"
1E+05,1956,3,"£100,000.00"
1E+05,1957,3,"£100,000.00"
1E+05,1958,3,"£100,000.00"
1E+05,1959,3,"£100,000.00"
1E+05,1960,3,"£100,000.00"
1E+05,1961,3,"£100,000.00"
1E+05,1962,3,"£100,000.00"
1E+05,1963,3,"£100,000.00"
1E+05,1964,3,"£100,000.00"
1E+05,1965,3,"£100,000.00"
1E+05,1966,3,"£100,000.00"
1E+05,1967,4,"£100,000.00"
1E+05,1968,4,"£100,000.00"
1E+05,1969,4,"£100,000.00"
1E+05,1970,0,"£100,000.00"
1E+05,1971,0,"£100,000.00"
1E+05,1972,0,"£100,000.00"
1E+05,1973,0,"£100,000.00"
1E+05,1974,0,"£100,000.00"
1E+05,1975,10,"£100,000.00"
1E+05,1976,10,"£100,000.00"
1E+05,1977,0,"£100,000.00"
1E+05,1978,0,"£100,000.00"
1E+05,1979,10,"£100,000.00"
1E+05,1980,0,"£100,000.00"
1E+05,1981,0,"£100,000.00"
1E+05,1982,0,"£100,000.00"
1E+05,1983,0,"£100,000.00"
1E+05,1984,0,"£100,000.00"
1E+05,1985,0,"£100,000.00"
1E+05,1986,0,"£100,000.00"
1E+05,1987,0,"£100,000.00"
1E+05,1988,0,"£100,000.00"
1E+05,1989,0,"£100,000.00"
1E+05,1990,0,"£100,000.00"
1E+05,1991,0,"£100,000.00"
1E+05,1992,0,"£100,000.00"
1E+05,1993,0,"£100,000.00"
1E+05,1994,0,"£100,000.00"
1E+05,1995,0,"£100,000.00"
1E+05,1996,0,"£100,000.00"
1E+05,1997,0,"£100,000.00"
1E+05,1998,0,"£100,000.00"
1E+05,1999,0,"£100,000.00"
1E+05,2000,0,"£100,000.00"
1E+05,2001,0,"£100,000.00"
1E+05,2002,0,"£100,000.00"
1E+05,2003,0,"£100,000.00"
1E+05,2004,0,"£100,000.00"
1E+05,2005,0,"£100,000.00"
1E+05,2006,0,"£100,000.00"
1E+05,2007,0,"£100,000.00"
1E+05,2008,0,"£100,000.00"
1E+05,2009,0,"£100,000.00"
1E+05,2010,0,"£100,000.00"
1E+05,2011,0,"£100,000.00"
1E+05,2012,0,"£100,000.00"
1E+05,2013,0,"£100,000.00"
1E+05,2014,0,"£100,000.00"
5E+05,1892,5,"£500,000.00"
5E+05,1893,5,"£500,000.00"
5E+05,1894,5,"£500,000.00"
5E+05,1895,5,"£500,000.00"
5E+05,1896,5,"£500,000.00"
5E+05,1897,5,"£500,000.00"
5E+05,1898,5,"£500,000.00"
5E+05,1899,5,"£500,000.00"
5E+05,1900,5,"£500,000.00"
5E+05,1901,5,"£500,000.00"
5E+05,1902,5,"£500,000.00"
5E+05,1903,5,"£500,000.00"
5E+05,1904,5,"£500,000.00"
5E+05,1905,5,"£500,000.00"
5E+05,1906,5,"£500,000.00"
5E+05,1907,5,"£500,000.00"
5E+05,1908,5,"£500,000.00"
5E+05,1909,5,"£500,000.00"
5E+05,1910,6,"£500,000.00"
5E+05,1911,6,"£500,000.00"
5E+05,1912,6,"£500,000.00"
5E+05,1913,6,"£500,000.00"
5E+05,1914,6,"£500,000.00"
5E+05,1915,6,"£500,000.00"
5E+05,1916,6,"£500,000.00"
5E+05,1917,7,"£500,000.00"
5E+05,1918,7,"£500,000.00"
5E+05,1919,7,"£500,000.00"
5E+05,1920,7,"£500,000.00"
5E+05,1920,8,"£500,000.00"
5E+05,1921,7,"£500,000.00"
5E+05,1922,7,"£500,000.00"
5E+05,1923,7,"£500,000.00"
5E+05,1924,7,"£500,000.00"
5E+05,1925,7,"£500,000.00"
5E+05,1926,7,"£500,000.00"
5E+05,1927,7,"£500,000.00"
5E+05,1928,7,"£500,000.00"
5E+05,1929,7,"£500,000.00"
5E+05,1930,7,"£500,000.00"
5E+05,1931,7,"£500,000.00"
5E+05,1932,7,"£500,000.00"
5E+05,1933,6,"£500,000.00"
