Year,UK,US,France,Germany
1960,17.8%,22.0%,23.4%,25.1%
1961,17.9%,22.1%,23.7%,25.2%
1962,18.2%,22.2%,24.0%,25.5%
1963,18.6%,22.3%,24.7%,25.9%
1964,18.9%,22.4%,25.1%,25.9%
1965,19.3%,22.4%,25.7%,25.4%
1966,19.9%,22.4%,26.1%,24.8%
1967,20.0%,22.3%,26.2%,24.1%
1968,20.5%,22.0%,26.1%,24.0%
1969,21.0%,21.7%,26.1%,24.1%
1970,21.4%,21.7%,26.0%,24.6%
1971,21.8%,21.7%,26.0%,24.9%
1972,22.3%,21.7%,26.1%,24.6%
1973,22.0%,21.5%,26.1%,23.6%
1974,21.5%,21.5%,25.9%,22.5%
1975,21.0%,21.6%,25.5%,21.5%
1976,20.5%,22.0%,25.0%,20.9%
1977,20.1%,22.5%,24.4%,21.0%
1978,20.0%,23.1%,24.2%,21.4%
1979,19.8%,23.5%,23.9%,21.6%
1980,19.6%,23.5%,23.8%,21.5%
1981,19.3%,23.2%,23.4%,21.4%
1982,19.1%,23.1%,23.0%,21.0%
1983,19.1%,23.1%,22.3%,20.5%
1984,19.3%,23.1%,21.8%,20.1%
1985,19.8%,23.2%,21.5%,19.9%
1986,20.6%,23.3%,21.6%,19.8%
1987,21.5%,23.0%,22.0%,19.9%
1988,22.2%,22.5%,22.4%,20.2%
1989,22.5%,21.8%,22.8%,21.3%
1990,22.1%,21.1%,22.9%,22.4%
1991,21.3%,20.7%,22.5%,23.2%
1992,20.1%,20.3%,22.0%,23.9%
1993,19.0%,20.3%,21.3%,24.4%
1994,18.6%,20.5%,20.6%,24.0%
1995,18.1%,20.9%,20.1%,23.5%
1996,17.9%,21.3%,20.0%,23.2%
1997,17.7%,21.8%,20.0%,23.0%
1998,17.6%,22.2%,20.3%,22.9%
1999,17.4%,22.5%,20.7%,22.7%
2000,17.5%,22.5%,20.9%,22.2%
2001,17.5%,22.3%,21.2%,21.5%
2002,17.5%,22.2%,21.3%,20.7%
2003,17.4%,22.2%,21.3%,19.9%
2004,17.4%,22.3%,21.5%,19.5%
2005,17.5%,22.4%,22.0%,19.5%
2006,17.5%,22.3%,22.5%,19.7%
2007,17.3%,21.7%,22.6%,19.7%
2008,16.9%,20.7%,22.7%,19.8%
2009,16.6%,19.9%,22.7%,19.9%
2010,16.1%,19.3%,22.5%,20.0%
2011,15.8%,19.0%,22.2%,19.9%
2012,15.9%,19.3%,22.2%,20.0%
2013,16.2%,19.7%,22.0%,20.1%
2014,16.6%,20.1%,21.9%,20.1%
2015,17.0%,20.3%,21.9%,20.1%
2016,17.4%,20.5%,22.1%,20.4%
2017,17.7%,20.7%,22.4%,20.6%
2018,17.6%,20.9%,22.7%,21.0%
2019,17.5%,21.1%,23.2%,21.3%
2020,17.3%,21.3%,23.6%,21.6%
2021,17.2%,21.5%,24.0%,21.8%
2022,17.0%,21.6%,24.1%,21.9%
2023,17.0%,21.6%,24.5%,22.0%
