,Date,month,yield,maturity
42565,2009,5 Yr,0.0203,60
47459,2009,7 Yr,0.0274,84
52353,2009,10 Yr,0.032799999999999996,120
57247,2009,20 Yr,0.0414,240
62141,2009,30 Yr,0.0426,360
3161,2010,1 Mo,0.0017000000000000001,1
8055,2010,2 Mo,0.0016,2
12949,2010,3 Mo,0.0016,3
17843,2010,4 Mo,0.002,4
22737,2010,6 Mo,0.002,6
27631,2010,1 Yr,0.0028000000000000004,12
32525,2010,2 Yr,0.0053,24
37419,2010,3 Yr,0.0084,36
42313,2010,5 Yr,0.016399999999999998,60
47207,2010,7 Yr,0.0233,84
52101,2010,10 Yr,0.0297,120
56995,2010,20 Yr,0.0395,240
61889,2010,30 Yr,0.0424,360
2910,2011,1 Mo,0.0002,1
7804,2011,2 Mo,0.0001,2
12698,2011,3 Mo,0.0001,3
17592,2011,4 Mo,0.0005,4
22486,2011,6 Mo,0.0005,6
27380,2011,1 Yr,0.0012,12
32274,2011,2 Yr,0.0027,24
37168,2011,3 Yr,0.0040999999999999995,36
42062,2011,5 Yr,0.0097,60
46956,2011,7 Yr,0.0155,84
51850,2011,10 Yr,0.021099999999999997,120
56744,2011,20 Yr,0.0282,240
61638,2011,30 Yr,0.031200000000000002,360
2679,2012,1 Mo,0.0006,1
7573,2012,2 Mo,0.0009,2
12467,2012,3 Mo,0.0009,3
17361,2012,4 Mo,0.0015,4
22255,2012,6 Mo,0.0015,6
27149,2012,1 Yr,0.0018,12
32043,2012,2 Yr,0.003,24
36937,2012,3 Yr,0.0038,36
41831,2012,5 Yr,0.0073,60
46725,2012,7 Yr,0.0116,84
51619,2012,10 Yr,0.0175,120
56513,2012,20 Yr,0.025,240
61407,2012,30 Yr,0.028900000000000002,360
2429,2013,1 Mo,0.0003,1
7323,2013,2 Mo,0.0004,2
12217,2013,3 Mo,0.0004,3
17111,2013,4 Mo,0.0008,4
22005,2013,6 Mo,0.0008,6
26899,2013,1 Yr,0.001,12
31793,2013,2 Yr,0.0033,24
36687,2013,3 Yr,0.0060999999999999995,36
41581,2013,5 Yr,0.0137,60
46475,2013,7 Yr,0.0203,84
51369,2013,10 Yr,0.0265,120
56263,2013,20 Yr,0.034,240
61157,2013,30 Yr,0.0369,360
2161,2014,1 Mo,0.0001,1
7055,2014,2 Mo,0.0003,2
11949,2014,3 Mo,0.0003,3
16843,2014,4 Mo,0.0008,4
21737,2014,6 Mo,0.0008,6
26631,2014,1 Yr,0.0013,12
31525,2014,2 Yr,0.0049,24
36419,2014,3 Yr,0.009000000000000001,36
41313,2014,5 Yr,0.0152,60
46207,2014,7 Yr,0.019299999999999998,84
51101,2014,10 Yr,0.0222,120
55995,2014,20 Yr,0.026600000000000002,240
60889,2014,30 Yr,0.029500000000000002,360
1910,2015,1 Mo,0.0019,1
6804,2015,2 Mo,0.0021,2
11698,2015,3 Mo,0.0021,3
16592,2015,4 Mo,0.0042,4
21486,2015,6 Mo,0.0042,6
26380,2015,1 Yr,0.0051,12
31274,2015,2 Yr,0.0091,24
36168,2015,3 Yr,0.011899999999999999,36
41062,2015,5 Yr,0.0159,60
45956,2015,7 Yr,0.019299999999999998,84
50850,2015,10 Yr,0.0215,120
55744,2015,20 Yr,0.0255,240
60638,2015,30 Yr,0.0291,360
1659,2016,1 Mo,0.0032,1
6553,2016,2 Mo,0.0048,2
11447,2016,3 Mo,0.0048,3
16341,2016,4 Mo,0.006,4
21235,2016,6 Mo,0.006,6
26129,2016,1 Yr,0.008199999999999999,12
31023,2016,2 Yr,0.011399999999999999,24
35917,2016,3 Yr,0.014499999999999999,36
40811,2016,5 Yr,0.019,60
45705,2016,7 Yr,0.0225,84
50599,2016,10 Yr,0.0245,120
55493,2016,20 Yr,0.0282,240
60387,2016,30 Yr,0.031,360
1408,2017,1 Mo,0.011399999999999999,1
6302,2017,2 Mo,0.0127,2
11196,2017,3 Mo,0.0127,3
16090,2017,4 Mo,0.014499999999999999,4
20984,2017,6 Mo,0.014499999999999999,6
25878,2017,1 Yr,0.016200000000000003,12
30772,2017,2 Yr,0.0178,24
35666,2017,3 Yr,0.019,36
40560,2017,5 Yr,0.0213,60
45454,2017,7 Yr,0.022799999999999997,84
50348,2017,10 Yr,0.023700000000000002,120
55242,2017,20 Yr,0.0258,240
60136,2017,30 Yr,0.0276,360
1178,2018,1 Mo,0.022099999999999998,1
6072,2018,2 Mo,0.022799999999999997,2
10966,2018,3 Mo,0.0232,3
15860,2018,4 Mo,0.024900000000000002,4
20754,2018,6 Mo,0.024900000000000002,6
25648,2018,1 Yr,0.026699999999999998,12
30542,2018,2 Yr,0.028399999999999998,24
35436,2018,3 Yr,0.0291,36
40330,2018,5 Yr,0.0296,60
45224,2018,7 Yr,0.030600000000000002,84
50118,2018,10 Yr,0.031400000000000004,120
55012,2018,20 Yr,0.0329,240
59906,2018,30 Yr,0.0338,360
929,2019,1 Mo,0.0158,1
5823,2019,2 Mo,0.0158,2
10717,2019,3 Mo,0.0152,3
15611,2019,4 Mo,0.0155,4
20505,2019,6 Mo,0.0155,6
25399,2019,1 Yr,0.015300000000000001,12
30293,2019,2 Yr,0.015600000000000001,24
35187,2019,3 Yr,0.0155,36
40081,2019,5 Yr,0.0155,60
44975,2019,7 Yr,0.0163,84
49869,2019,10 Yr,0.0173,120
54763,2019,20 Yr,0.0203,240
59657,2019,30 Yr,0.022099999999999998,360
660,2020,1 Mo,0.0007000000000000001,1
5554,2020,2 Mo,0.0007000000000000001,2
10448,2020,3 Mo,0.0009,3
15342,2020,4 Mo,0.001,4
20236,2020,6 Mo,0.001,6
25130,2020,1 Yr,0.0012,12
30024,2020,2 Yr,0.0017000000000000001,24
34918,2020,3 Yr,0.0022,36
39812,2020,5 Yr,0.0042,60
44706,2020,7 Yr,0.0068000000000000005,84
49600,2020,10 Yr,0.0092,120
54494,2020,20 Yr,0.0146,240
59388,2020,30 Yr,0.0166,360
409,2021,1 Mo,0.0009,1
5303,2021,2 Mo,0.0004,2
10197,2021,3 Mo,0.0006,3
15091,2021,4 Mo,0.001,4
19985,2021,6 Mo,0.001,6
24879,2021,1 Yr,0.0025,12
29773,2021,2 Yr,0.005600000000000001,24
34667,2021,3 Yr,0.0085,36
39561,2021,5 Yr,0.0115,60
44455,2021,7 Yr,0.013500000000000002,84
49349,2021,10 Yr,0.0143,120
54243,2021,20 Yr,0.0184,240
59137,2021,30 Yr,0.0177,360
159,2022,1 Mo,0.0404,1
5053,2022,2 Mo,0.0424,2
9947,2022,3 Mo,0.0433,3
14841,2022,4 Mo,0.0452,4
19735,2022,6 Mo,0.04650000000000001,6
24629,2022,1 Yr,0.0466,12
29523,2022,2 Yr,0.0425,24
34417,2022,3 Yr,0.0398,36
39311,2022,5 Yr,0.0368,60
44205,2022,7 Yr,0.0362,84
49099,2022,10 Yr,0.0353,120
53993,2022,20 Yr,0.0385,240
58887,2022,30 Yr,0.0364,360
34,2023,1 Mo,0.053,1
4928,2023,2 Mo,0.053899999999999997,2
9822,2023,3 Mo,0.055,3
14716,2023,4 Mo,0.055,4
19610,2023,6 Mo,0.054400000000000004,6
24504,2023,1 Yr,0.051100000000000007,12
29398,2023,2 Yr,0.0433,24
34292,2023,3 Yr,0.0398,36
39186,2023,5 Yr,0.037000000000000005,60
44080,2023,7 Yr,0.0366,84
48974,2023,10 Yr,0.0361,120
53868,2023,20 Yr,0.0398,240
58762,2023,30 Yr,0.0384,360
