id,name,value
QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,29890
QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,18020
QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,8745
QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,12070
QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",13440
QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,14280
QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,58200
QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,14115
QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,12690
QJK,NHS DEVON INTEGRATED CARE BOARD,10550
QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,8740
QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",18880
QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,20240
QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,36445
QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,18575
QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,25395
QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,18570
QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,12615
QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,14360
QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,9240
QNX,NHS SUSSEX INTEGRATED CARE BOARD,21810
QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",5840
QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,55000
QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,21595
QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",9175
QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,10050
QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,8145
QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,23700
QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,19400
QSL,NHS SOMERSET INTEGRATED CARE BOARD,6350
QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,19760
QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,8895
QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",20920
QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,16910
QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,16035
QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",9115
QVV,NHS DORSET INTEGRATED CARE BOARD,7155
QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,21815
QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,36820
QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,11900
QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,13510
QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,33915
UNKNOWN,UNKNOWN,21925
