id,name,value
QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,150
QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,90
QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,25
QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,225
QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",35
QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,115
QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,340
QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,125
QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,85
QJK,NHS DEVON INTEGRATED CARE BOARD,425
QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,70
QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",195
QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,140
QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,85
QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,170
QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,40
QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,705
QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,30
QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,60
QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,70
QNX,NHS SUSSEX INTEGRATED CARE BOARD,180
QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",35
QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,245
QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,80
QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",185
QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,125
QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,90
QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,110
QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,190
QSL,NHS SOMERSET INTEGRATED CARE BOARD,20
QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,90
QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,240
QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",260
QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,70
QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,45
QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",130
QVV,NHS DORSET INTEGRATED CARE BOARD,75
QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,130
QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,260
QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,55
QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,150
QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,265
UNKNOWN,UNKNOWN,*
