Year,Country,Party
2022,Mexico,Left
2022,Guatemala,Right
2022,Honduras,Left
2022,El Salvador,Right
2022,Nicaragua,Left
2022,Costa Rica,Right
2022,Panama,Left
2022,Cuba,Left
2022,Dominican Republic,Right
2022,Colombia,Left
2022,Venezuela,Left
2022,Ecuador,Right
2022,Peru,Left
2022,Brazil,Right
2022,Bolivia,Left
2022,Paraguay,Right
2022,Uruguay,Right
2022,Argentina,Left
2022,Chile,Left
2026,Mexico,Left
2026,Guatemala,Left
2026,Honduras,Right
2026,El Salvador,Right
2026,Nicaragua,Left
2026,Costa Rica,Right
2026,Panama,Right
2026,Cuba,Left
2026,Dominican Republic,Right
2026,Colombia,Right
2026,Venezuela,Left
2026,Ecuador,Right
2026,Peru,Right
2026,Brazil,Left
2026,Bolivia,Right
2026,Paraguay,Right
2026,Uruguay,Left
2026,Argentina,Right
2026,Chile,Right
