iso,year,gdp_pc_ppp
ARG,2000,22281.3814299958
ARG,2001,21066.4581290433
ARG,2002,18571.7020471274
ARG,2003,20005.1385113465
ARG,2004,21591.449396517
ARG,2005,23262.4075792816
ARG,2006,24877.2493922296
ARG,2007,26850.6645932771
ARG,2008,27658.4853446831
ARG,2009,25747.1976809995
ARG,2010,28056.2570212342
ARG,2011,29425.7593876084
ARG,2012,28825.9666865361
ARG,2013,29227.6601818437
ARG,2014,28200.8152571318
ARG,2015,28669.2061336796
ARG,2016,27802.1057201498
ARG,2017,28334.904184742
ARG,2018,27367.115094108
ARG,2019,26629.5529419501
ARG,2020,23877.0931404855
ARG,2021,26300.274261175
ARG,2022,27627.9634764636
ARG,2023,27104.9799978169
ARG,2024,26547.0503429365
ARG,2025,
ARG,2026,
ARG,2027,
ARG,2028,
BRA,2000,14005.3471874231
BRA,2001,14016.1313772236
BRA,2002,14265.9048770292
BRA,2003,14259.3664089322
BRA,2004,14911.2609608592
BRA,2005,15221.0138281541
BRA,2006,15657.4795716983
BRA,2007,16440.583740032
BRA,2008,17113.3679822643
BRA,2009,16939.4407810328
BRA,2010,18062.1581103659
BRA,2011,18627.8104529397
BRA,2012,18832.2195527075
BRA,2013,19241.5059815726
BRA,2014,19183.172744636
BRA,2015,18357.0690617991
BRA,2016,17620.9272434136
BRA,2017,17724.4799577784
BRA,2018,17917.7492123359
BRA,2019,18018.6209151518
BRA,2020,17327.5157249466
BRA,2021,18075.7060049068
BRA,2022,18554.0461828566
BRA,2023,19079.8122134028
BRA,2024,19647.9096329925
BRA,2025,
BRA,2026,
BRA,2027,
BRA,2028,
CHL,2000,17525.2717273479
CHL,2001,17870.3008332711
CHL,2002,18240.2015602857
CHL,2003,18902.8708740806
CHL,2004,19961.9835794233
CHL,2005,20918.5275760681
CHL,2006,21968.5375355854
CHL,2007,22878.8834428789
CHL,2008,23509.7816931441
CHL,2009,23013.5817893814
CHL,2010,24116.7694715614
CHL,2011,25366.2690249825
CHL,2012,26670.4971338402
CHL,2013,27291.3576525957
CHL,2014,27505.0495524158
CHL,2015,27811.3745158617
CHL,2016,27958.7284996682
CHL,2017,27892.9946862827
CHL,2018,28492.6611456515
CHL,2019,28218.5343879081
CHL,2020,26248.5616432825
CHL,2021,29089.850459728
CHL,2022,29569.4775527937
CHL,2023,29563.6780243659
CHL,2024,30182.7871224714
CHL,2025,
CHL,2026,
CHL,2027,
CHL,2028,
COL,2000,10813.4942250011
COL,2001,10823.4504878807
COL,2002,10925.1485602082
COL,2003,11183.2911819793
COL,2004,11607.9384935105
COL,2005,11999.2549591305
COL,2006,12636.6246577724
COL,2007,13318.3033138168
COL,2008,13591.0609028567
COL,2009,13586.7518430982
COL,2010,14037.0642668639
COL,2011,14852.3699513061
COL,2012,15279.4790008058
COL,2013,15912.2471293239
COL,2014,16480.3631474161
COL,2015,16821.3801400631
COL,2016,17003.244366485
COL,2017,16986.0334182842
COL,2018,17104.1313545678
COL,2019,17336.7716030551
COL,2020,15861.4999291295
COL,2021,17383.0901728295
COL,2022,18458.7209460704
COL,2023,18382.9976800475
COL,2024,18503.6706011465
COL,2025,
COL,2026,
COL,2027,
COL,2028,
CRI,2000,14018.7425010471
CRI,2001,14250.4627491826
CRI,2002,14495.9925105545
CRI,2003,14891.3398216979
CRI,2004,15323.2892201563
CRI,2005,15703.9624720602
CRI,2006,16620.1356432166
CRI,2007,17743.6227382465
CRI,2008,18334.0135988728
CRI,2009,17932.6147807384
CRI,2010,18660.9198222896
CRI,2011,19254.9142153216
CRI,2012,19960.7933253156
CRI,2013,20232.2670799569
CRI,2014,20724.9217693549
CRI,2015,21254.7840932179
CRI,2016,21925.6000804133
CRI,2017,22622.5534502656
CRI,2018,23005.3121471934
CRI,2019,23364.7831275883
CRI,2020,22211.8613921833
CRI,2021,23852.9253020147
CRI,2022,24831.7193480493
CRI,2023,25979.6286150987
CRI,2024,26973.4361581028
CRI,2025,
CRI,2026,
CRI,2027,
CRI,2028,
GBR,2000,43247.6363841289
GBR,2001,44189.8549094421
GBR,2002,44793.3260796919
GBR,2003,45990.7158894902
GBR,2004,46853.7925502931
GBR,2005,47804.7852704727
GBR,2006,48584.4359655863
GBR,2007,49472.9859832834
GBR,2008,48963.0231634107
GBR,2009,46348.7534285525
GBR,2010,47013.8824059552
GBR,2011,47178.9199174847
GBR,2012,47550.942852854
GBR,2013,48083.8034269041
GBR,2014,49250.5599904054
GBR,2015,49983.3485901235
GBR,2016,50540.8797670822
GBR,2017,51601.140444708
GBR,2018,52071.2696607082
GBR,2019,52645.5441982903
GBR,2020,47144.7221502814
GBR,2021,51004.4271714238
GBR,2022,52982.1749240341
GBR,2023,52502.915327751
GBR,2024,52517.9848574945
GBR,2025,
GBR,2026,
GBR,2027,
GBR,2028,
IDN,2000,6056.38197842165
IDN,2001,6190.51954040991
IDN,2002,6381.94955179996
IDN,2003,6599.09193597034
IDN,2004,6843.54654972364
IDN,2005,7140.8545640704
IDN,2006,7434.48785352221
IDN,2007,7802.46406905954
IDN,2008,8165.06155116624
IDN,2009,8435.4557468629
IDN,2010,8848.22473702066
IDN,2011,9274.96955181702
IDN,2012,9708.611825310812
IDN,2013,10121.8141535043
IDN,2014,10504.3869411088
IDN,2015,10893.6621142169
IDN,2016,11319.6634287738
IDN,2017,11772.5743296107
IDN,2018,12262.2310300771
IDN,2019,12757.7850854842
IDN,2020,12388.5449268131
IDN,2021,12757.0746440204
IDN,2022,13334.2653947637
IDN,2023,13889.9749067297
IDN,2024,14470.4372020578
IDN,2025,
IDN,2026,
IDN,2027,
IDN,2028,
IND,2000,3099.5028215766
IND,2001,3188.81024020636
IND,2002,3250.69565544917
IND,2003,3445.92592352395
IND,2004,3656.12620652098
IND,2005,3881.9661798273
IND,2006,4129.77837009239
IND,2007,4379.69604361151
IND,2008,4450.39022919238
IND,2009,4731.36160463896
IND,2010,5059.2827108398
IND,2011,5249.54925694026
IND,2012,5460.43768570052
IND,2013,5732.24189090876
IND,2014,6079.84393523695
IND,2015,6488.14602910787
IND,2016,6940.62588857522
IND,2017,7326.60693679859
IND,2018,7714.33974724531
IND,2019,7930.0911303899
IND,2020,7399.53068079041
IND,2021,8050.01857452664
IND,2022,8594.39190499879
IND,2023,9301.75603225735
IND,2024,9817.07082097048
IND,2025,
IND,2026,
IND,2027,
IND,2028,
MEX,2000,20470.4937645071
MEX,2001,20078.2183907682
MEX,2002,19744.7933652376
MEX,2003,19701.4633875532
MEX,2004,20127.2242879286
MEX,2005,20277.2552828148
MEX,2006,20965.8256062375
MEX,2007,21102.2688313519
MEX,2008,20992.5602637663
MEX,2009,19385.5437229068
MEX,2010,20058.3854848724
MEX,2011,20457.6001663547
MEX,2012,20898.9357184489
MEX,2013,20805.3480382084
MEX,2014,21069.7661610169
MEX,2015,21408.9283209728
MEX,2016,21578.2633552956
MEX,2017,21777.5225129207
MEX,2018,21997.7730148117
MEX,2019,21704.1859474903
MEX,2020,19728.4817839998
MEX,2021,20782.5877425331
MEX,2022,21392.1114573777
MEX,2023,21905.1773271473
MEX,2024,22033.2744496619
MEX,2025,
MEX,2026,
MEX,2027,
MEX,2028,
MYS,2000,18532.9096706227
MYS,2001,18186.4411330146
MYS,2002,18708.8694877279
MYS,2003,19329.0062757538
MYS,2004,20168.5062099425
MYS,2005,20767.5857243346
MYS,2006,21444.4857715028
MYS,2007,22305.118263117
MYS,2008,22898.0027575442
MYS,2009,22106.6417311801
MYS,2010,23307.9698543785
MYS,2011,24115.8181203958
MYS,2012,25006.3587781537
MYS,2013,25736.3525554142
MYS,2014,26818.4317281659
MYS,2015,27699.6278860387
MYS,2016,28425.3707609412
MYS,2017,29551.5457597197
MYS,2018,30459.9655338061
MYS,2019,31300.5086554849
MYS,2020,29200.452632127
MYS,2021,29822.8491831618
MYS,2022,32079.1515157489
MYS,2023,32812.2997525336
MYS,2024,34071.9449554711
MYS,2025,
MYS,2026,
MYS,2027,
MYS,2028,
PER,2000,7669.0953178046
PER,2001,7611.6662817532
PER,2002,7931.57975039907
