area,value
Nationwide,854961
Hokkaido,29844
Aomori prefecture,5556
Iwate prefecture,7902
Miyagi prefecture,16663
Akita prefecture,4248
Yamagata prefecture,5880
Fukushima prefecture,9296
Ibaraki prefecture,17482
Tochigi prefecture,10579
Gunma prefecture,10722
Saitama prefecture,54551
Chiba Prefecture,45579
Tokyo,129552
Kanagawa Prefecture,68835
Niigata prefecture,11645
Toyama Prefecture,8334
Ishikawa prefecture,5788
Fukui prefecture,4560
Yamanashi prefecture,4194
Nagano prefecture,12429
Gifu prefecture,10109
Shizuoka prefecture,20337
Aichi prefecture,56352
Mie prefecture,9647
Shiga prefecture,9556
Kyoto prefecture,15122
Osaka prefecture,70650
Hyogo prefecture,31003
Nara prefecture,5684
Wakayama prefecture,4141
Tottori prefecture,2859
Shimane prefecture,3481
Okayama prefecture,10908
Hiroshima Prefecture,17989
Yamaguchi prefecture,6767
Tokushima prefecture,3286
Kagawa prefecture,5580
Ehime prefecture,6578
Kochi prefecture,2594
Fukuoka prefecture,38541
Saga prefecture,5617
Nagasaki prefecture,8011
Kumamoto prefecture,14037
Oita prefecture,6429
Miyazaki prefecture,6232
Kagoshima prefecture,9520
Okinawa prefecture,10292
Nationwide city department,803664
City of Hokkaido,26046
City of Aomori Prefecture,4402
City of Iwate prefecture,7046
City of Miyagi Prefecture,14572
Akita Prefecture City,3999
City of Yamagata Prefecture,5117
Fukushima prefecture city,7841
City of Ibaraki prefecture,16223
Tochigi Prefecture City,9441
Gunma city area,9561
Saitama prefecture city,52095
Chiba Prefecture City,44746
Tokyo city area,129057
City of Kanagawa Prefecture,67286
City of Niigata Prefecture,11430
City of Toyama Prefecture,7948
Ishikawa prefecture city area,5259
City of Fukui Prefecture,4148
City of Yamanashi Prefecture,3558
Nagano Prefecture City,9790
City of Gifu Prefecture,8806
City of Shizuoka prefecture,19356
Aichi prefecture,54121
City of Mie prefecture,8667
City of Shiga Prefecture,9153
Kyoto Prefecture City Department,14701
Osaka Prefecture city,69207
City of Hyogo prefecture,30141
Nara prefecture city area,4822
Wakayama prefecture city area,3515
Tottori prefecture city area,2383
Shimane prefecture city area,3342
Okayama prefecture city area,10460
City of Hiroshima Prefecture,17120
City of Yamaguchi Prefecture,6635
Tokushima Prefecture City,2565
Kagawa prefecture city,4794
City of Ehime Prefecture,6253
Kochi prefecture city area,2301
Fukuoka prefecture city,34959
City of Saga Prefecture,4696
Nagasaki Prefecture City,7423
Kumamoto Prefecture City,10540
Oita Prefecture City Department,6195
Miyazaki Prefecture City Department,5464
City of Kagoshima prefecture,8753
Okinawa prefecture city,7727
Nationwide county,51297
Hokkaido County,3798
Aomori Prefecture,1154
Iwate prefecture,856
