,Country,Year,Gini,rank,Gini_2021
0,Bangladesh,1980,0.47,2.0,0.53
1,Bangladesh,1981,0.47,2.0,0.53
2,Bangladesh,1982,0.47,2.0,0.53
3,Bangladesh,1983,0.47,2.0,0.53
4,Bangladesh,1984,0.48,2.0,0.53
5,Bangladesh,1985,0.49,2.0,0.53
6,Bangladesh,1986,0.5,2.0,0.53
7,Bangladesh,1987,0.5,2.0,0.53
8,Bangladesh,1988,0.51,2.0,0.53
9,Bangladesh,1989,0.5,2.0,0.53
10,Bangladesh,1990,0.5,2.0,0.53
11,Bangladesh,1991,0.49,2.0,0.53
12,Bangladesh,1992,0.51,2.0,0.53
13,Bangladesh,1993,0.52,2.0,0.53
14,Bangladesh,1994,0.54,2.0,0.53
15,Bangladesh,1995,0.55,2.0,0.53
16,Bangladesh,1996,0.55,2.0,0.53
17,Bangladesh,1997,0.55,2.0,0.53
18,Bangladesh,1998,0.55,2.0,0.53
19,Bangladesh,1999,0.55,2.0,0.53
20,Bangladesh,2000,0.55,2.0,0.53
21,Bangladesh,2001,0.55,2.0,0.53
22,Bangladesh,2002,0.56,2.0,0.53
23,Bangladesh,2003,0.56,2.0,0.53
24,Bangladesh,2004,0.56,2.0,0.53
25,Bangladesh,2005,0.56,2.0,0.53
26,Bangladesh,2006,0.56,2.0,0.53
27,Bangladesh,2007,0.56,2.0,0.53
28,Bangladesh,2008,0.55,2.0,0.53
29,Bangladesh,2009,0.53,2.0,0.53
30,Bangladesh,2010,0.55,2.0,0.53
31,Bangladesh,2011,0.54,2.0,0.53
32,Bangladesh,2012,0.54,2.0,0.53
33,Bangladesh,2013,0.54,2.0,0.53
34,Bangladesh,2014,0.54,2.0,0.53
35,Bangladesh,2015,0.53,2.0,0.53
36,Bangladesh,2016,0.53,2.0,0.53
37,Bangladesh,2017,0.53,2.0,0.53
38,Bangladesh,2018,0.53,2.0,0.53
39,Bangladesh,2019,0.53,2.0,0.53
40,Bangladesh,2020,0.53,2.0,0.53
41,Bangladesh,2021,0.53,2.0,0.53
42,Brazil,1980,0.7,19.0,0.69
43,Brazil,1981,0.7,19.0,0.69
44,Brazil,1982,0.7,19.0,0.69
45,Brazil,1983,0.7,19.0,0.69
46,Brazil,1984,0.7,19.0,0.69
47,Brazil,1985,0.7,19.0,0.69
48,Brazil,1986,0.7,19.0,0.69
49,Brazil,1987,0.7,19.0,0.69
50,Brazil,1988,0.7,19.0,0.69
51,Brazil,1989,0.7,19.0,0.69
52,Brazil,1990,0.7,19.0,0.69
53,Brazil,1991,0.7,19.0,0.69
54,Brazil,1992,0.7,19.0,0.69
55,Brazil,1993,0.7,19.0,0.69
56,Brazil,1994,0.7,19.0,0.69
57,Brazil,1995,0.7,19.0,0.69
58,Brazil,1996,0.7,19.0,0.69
59,Brazil,1997,0.7,19.0,0.69
60,Brazil,1998,0.7,19.0,0.69
61,Brazil,1999,0.7,19.0,0.69
62,Brazil,2000,0.7,19.0,0.69
63,Brazil,2001,0.7,19.0,0.69
64,Brazil,2002,0.7,19.0,0.69
65,Brazil,2003,0.7,19.0,0.69
66,Brazil,2004,0.7,19.0,0.69
67,Brazil,2005,0.69,19.0,0.69
68,Brazil,2006,0.69,19.0,0.69
69,Brazil,2007,0.68,19.0,0.69
70,Brazil,2008,0.68,19.0,0.69
71,Brazil,2009,0.68,19.0,0.69
72,Brazil,2010,0.68,19.0,0.69
73,Brazil,2011,0.69,19.0,0.69
74,Brazil,2012,0.68,19.0,0.69
75,Brazil,2013,0.67,19.0,0.69
76,Brazil,2014,0.67,19.0,0.69
77,Brazil,2015,0.68,19.0,0.69
78,Brazil,2016,0.68,19.0,0.69
79,Brazil,2017,0.68,19.0,0.69
80,Brazil,2018,0.68,19.0,0.69
81,Brazil,2019,0.67,19.0,0.69
82,Brazil,2020,0.69,19.0,0.69
83,Brazil,2021,0.69,19.0,0.69
84,China,1980,0.38,8.0,0.57
85,China,1981,0.39,8.0,0.57
86,China,1982,0.39,8.0,0.57
87,China,1983,0.39,8.0,0.57
88,China,1984,0.4,8.0,0.57
89,China,1985,0.4,8.0,0.57
90,China,1986,0.42,8.0,0.57
91,China,1987,0.42,8.0,0.57
92,China,1988,0.43,8.0,0.57
93,China,1989,0.44,8.0,0.57
94,China,1990,0.43,8.0,0.57
95,China,1991,0.45,8.0,0.57
96,China,1992,0.46,8.0,0.57
97,China,1993,0.48,8.0,0.57
98,China,1994,0.48,8.0,0.57
99,China,1995,0.48,8.0,0.57
100,China,1996,0.47,8.0,0.57
101,China,1997,0.47,8.0,0.57
102,China,1998,0.47,8.0,0.57
103,China,1999,0.48,8.0,0.57
104,China,2000,0.5,8.0,0.57
105,China,2001,0.51,8.0,0.57
106,China,2002,0.53,8.0,0.57
107,China,2003,0.54,8.0,0.57
108,China,2004,0.55,8.0,0.57
109,China,2005,0.56,8.0,0.57
110,China,2006,0.56,8.0,0.57
111,China,2007,0.56,8.0,0.57
112,China,2008,0.56,8.0,0.57
113,China,2009,0.56,8.0,0.57
114,China,2010,0.57,8.0,0.57
115,China,2011,0.56,8.0,0.57
116,China,2012,0.55,8.0,0.57
117,China,2013,0.56,8.0,0.57
118,China,2014,0.55,8.0,0.57
119,China,2015,0.56,8.0,0.57
120,China,2016,0.55,8.0,0.57
121,China,2017,0.56,8.0,0.57
122,China,2018,0.56,8.0,0.57
123,China,2019,0.56,8.0,0.57
124,China,2020,0.56,8.0,0.57
125,China,2021,0.57,8.0,0.57
126,Democratic Republic of Congo,1980,0.61,14.0,0.6
127,Democratic Republic of Congo,1981,0.61,14.0,0.6
128,Democratic Republic of Congo,1982,0.61,14.0,0.6
129,Democratic Republic of Congo,1983,0.61,14.0,0.6
130,Democratic Republic of Congo,1984,0.61,14.0,0.6
131,Democratic Republic of Congo,1985,0.61,14.0,0.6
132,Democratic Republic of Congo,1986,0.61,14.0,0.6
133,Democratic Republic of Congo,1987,0.61,14.0,0.6
134,Democratic Republic of Congo,1988,0.61,14.0,0.6
135,Democratic Republic of Congo,1989,0.61,14.0,0.6
136,Democratic Republic of Congo,1990,0.61,14.0,0.6
137,Democratic Republic of Congo,1991,0.61,14.0,0.6
138,Democratic Republic of Congo,1992,0.61,14.0,0.6
139,Democratic Republic of Congo,1993,0.61,14.0,0.6
140,Democratic Republic of Congo,1994,0.61,14.0,0.6
141,Democratic Republic of Congo,1995,0.61,14.0,0.6
142,Democratic Republic of Congo,1996,0.61,14.0,0.6
143,Democratic Republic of Congo,1997,0.61,14.0,0.6
144,Democratic Republic of Congo,1998,0.61,14.0,0.6
145,Democratic Republic of Congo,1999,0.61,14.0,0.6
146,Democratic Republic of Congo,2000,0.61,14.0,0.6
147,Democratic Republic of Congo,2001,0.61,14.0,0.6
148,Democratic Republic of Congo,2002,0.61,14.0,0.6
149,Democratic Republic of Congo,2003,0.61,14.0,0.6
150,Democratic Republic of Congo,2004,0.61,14.0,0.6
151,Democratic Republic of Congo,2005,0.61,14.0,0.6
152,Democratic Republic of Congo,2006,0.61,14.0,0.6
153,Democratic Republic of Congo,2007,0.61,14.0,0.6
154,Democratic Republic of Congo,2008,0.6,14.0,0.6
155,Democratic Republic of Congo,2009,0.6,14.0,0.6
156,Democratic Republic of Congo,2010,0.6,14.0,0.6
157,Democratic Republic of Congo,2011,0.6,14.0,0.6
158,Democratic Republic of Congo,2012,0.6,14.0,0.6
159,Democratic Republic of Congo,2013,0.6,14.0,0.6
160,Democratic Republic of Congo,2014,0.6,14.0,0.6
161,Democratic Republic of Congo,2015,0.6,14.0,0.6
162,Democratic Republic of Congo,2016,0.6,14.0,0.6
163,Democratic Republic of Congo,2017,0.6,14.0,0.6
164,Democratic Republic of Congo,2018,0.6,14.0,0.6
165,Democratic Republic of Congo,2019,0.6,14.0,0.6
166,Democratic Republic of Congo,2020,0.6,14.0,0.6
167,Democratic Republic of Congo,2021,0.6,14.0,0.6
168,Egypt,1980,0.55,8.0,0.57
169,Egypt,1981,0.55,8.0,0.57
170,Egypt,1982,0.55,8.0,0.57
171,Egypt,1983,0.55,8.0,0.57
172,Egypt,1984,0.55,8.0,0.57
173,Egypt,1985,0.55,8.0,0.57
174,Egypt,1986,0.55,8.0,0.57
175,Egypt,1987,0.55,8.0,0.57
176,Egypt,1988,0.55,8.0,0.57
177,Egypt,1989,0.55,8.0,0.57
178,Egypt,1990,0.55,8.0,0.57
179,Egypt,1991,0.55,8.0,0.57
180,Egypt,1992,0.55,8.0,0.57
181,Egypt,1993,0.54,8.0,0.57
182,Egypt,1994,0.54,8.0,0.57
183,Egypt,1995,0.54,8.0,0.57
184,Egypt,1996,0.56,8.0,0.57
185,Egypt,1997,0.57,8.0,0.57
186,Egypt,1998,0.58,8.0,0.57
187,Egypt,1999,0.59,8.0,0.57
188,Egypt,2000,0.59,8.0,0.57
189,Egypt,2001,0.59,8.0,0.57
190,Egypt,2002,0.59,8.0,0.57
191,Egypt,2003,0.59,8.0,0.57
192,Egypt,2004,0.59,8.0,0.57
193,Egypt,2005,0.59,8.0,0.57
194,Egypt,2006,0.59,8.0,0.57
195,Egypt,2007,0.59,8.0,0.57
196,Egypt,2008,0.59,8.0,0.57
197,Egypt,2009,0.58,8.0,0.57
198,Egypt,2010,0.57,8.0,0.57
199,Egypt,2011,0.57,8.0,0.57
200,Egypt,2012,0.58,8.0,0.57
201,Egypt,2013,0.58,8.0,0.57
202,Egypt,2014,0.59,8.0,0.57
203,Egypt,2015,0.59,8.0,0.57
204,Egypt,2016,0.59,8.0,0.57
205,Egypt,2017,0.58,8.0,0.57
206,Egypt,2018,0.58,8.0,0.57
207,Egypt,2019,0.57,8.0,0.57
208,Egypt,2020,0.57,8.0,0.57
209,Egypt,2021,0.57,8.0,0.57
210,Ethiopia,1980,0.55,5.0,0.55
211,Ethiopia,1981,0.55,5.0,0.55
212,Ethiopia,1982,0.56,5.0,0.55
213,Ethiopia,1983,0.56,5.0,0.55
214,Ethiopia,1984,0.57,5.0,0.55
215,Ethiopia,1985,0.58,5.0,0.55
216,Ethiopia,1986,0.59,5.0,0.55
217,Ethiopia,1987,0.6,5.0,0.55
218,Ethiopia,1988,0.61,5.0,0.55
219,Ethiopia,1989,0.61,5.0,0.55
220,Ethiopia,1990,0.62,5.0,0.55
221,Ethiopia,1991,0.63,5.0,0.55
222,Ethiopia,1992,0.64,5.0,0.55
223,Ethiopia,1993,0.65,5.0,0.55
224,Ethiopia,1994,0.66,5.0,0.55
225,Ethiopia,1995,0.67,5.0,0.55
226,Ethiopia,1996,0.63,5.0,0.55
227,Ethiopia,1997,0.59,5.0,0.55
228,Ethiopia,1998,0.56,5.0,0.55
229,Ethiopia,1999,0.52,5.0,0.55
230,Ethiopia,2000,0.52,5.0,0.55
231,Ethiopia,2001,0.52,5.0,0.55
232,Ethiopia,2002,0.52,5.0,0.55
233,Ethiopia,2003,0.53,5.0,0.55
234,Ethiopia,2004,0.53,5.0,0.55
235,Ethiopia,2005,0.53,5.0,0.55
236,Ethiopia,2006,0.53,5.0,0.55
237,Ethiopia,2007,0.54,5.0,0.55
238,Ethiopia,2008,0.54,5.0,0.55
239,Ethiopia,2009,0.55,5.0,0.55
240,Ethiopia,2010,0.55,5.0,0.55
241,Ethiopia,2011,0.55,5.0,0.55
242,Ethiopia,2012,0.55,5.0,0.55
243,Ethiopia,2013,0.55,5.0,0.55
244,Ethiopia,2014,0.55,5.0,0.55
245,Ethiopia,2015,0.55,5.0,0.55
246,Ethiopia,2016,0.55,5.0,0.55
247,Ethiopia,2017,0.55,5.0,0.55
248,Ethiopia,2018,0.55,5.0,0.55
249,Ethiopia,2019,0.55,5.0,0.55
250,Ethiopia,2020,0.55,5.0,0.55
251,Ethiopia,2021,0.55,5.0,0.55
