date,value,series
1991-01-31,0.080206,US 10-year| bond yield
1991-02-28,0.080449,US 10-year| bond yield
1991-03-31,0.080641,US 10-year| bond yield
1991-04-30,0.08017899999999999,US 10-year| bond yield
1991-05-31,0.080614,US 10-year| bond yield
1991-06-30,0.08231999999999999,US 10-year| bond yield
1991-07-31,0.081567,US 10-year| bond yield
1991-08-31,0.07814499999999999,US 10-year| bond yield
1991-09-30,0.07452,US 10-year| bond yield
1991-10-31,0.074222,US 10-year| bond yield
1991-11-30,0.073736,US 10-year| bond yield
1991-12-31,0.066992,US 10-year| bond yield
1992-01-31,0.07276099999999999,US 10-year| bond yield
1992-02-29,0.07252399999999999,US 10-year| bond yield
1992-03-31,0.075305,US 10-year| bond yield
1992-04-30,0.075832,US 10-year| bond yield
1992-05-31,0.073224,US 10-year| bond yield
1992-06-30,0.071234,US 10-year| bond yield
1992-07-31,0.066961,US 10-year| bond yield
1992-08-31,0.066041,US 10-year| bond yield
1992-09-30,0.063543,US 10-year| bond yield
1992-10-31,0.067889,US 10-year| bond yield
1992-11-30,0.069281,US 10-year| bond yield
1992-12-31,0.06690299999999999,US 10-year| bond yield
1993-01-31,0.063612,US 10-year| bond yield
1993-02-28,0.060134999999999994,US 10-year| bond yield
1993-03-31,0.060239,US 10-year| bond yield
1993-04-30,0.060092999999999994,US 10-year| bond yield
1993-05-31,0.061103,US 10-year| bond yield
1993-06-30,0.057782,US 10-year| bond yield
1993-07-31,0.058095,US 10-year| bond yield
1993-08-31,0.054456,US 10-year| bond yield
1993-09-30,0.053741000000000004,US 10-year| bond yield
1993-10-31,0.054204,US 10-year| bond yield
1993-11-30,0.058168,US 10-year| bond yield
1993-12-31,0.057874999999999996,US 10-year| bond yield
1994-01-31,0.056447000000000004,US 10-year| bond yield
1994-02-28,0.061331,US 10-year| bond yield
1994-03-31,0.06738000000000001,US 10-year| bond yield
1994-04-30,0.07041,US 10-year| bond yield
1994-05-31,0.07152,US 10-year| bond yield
1994-06-30,0.07325,US 10-year| bond yield
1994-07-31,0.07113,US 10-year| bond yield
1994-08-31,0.07178,US 10-year| bond yield
1994-09-30,0.07608,US 10-year| bond yield
1994-10-31,0.07812000000000001,US 10-year| bond yield
1994-11-30,0.07905999999999999,US 10-year| bond yield
1994-12-31,0.07831,US 10-year| bond yield
1995-01-31,0.07579,US 10-year| bond yield
1995-02-28,0.07205,US 10-year| bond yield
1995-03-31,0.07198,US 10-year| bond yield
1995-04-30,0.07055,US 10-year| bond yield
1995-05-31,0.06286,US 10-year| bond yield
1995-06-30,0.06207,US 10-year| bond yield
1995-07-31,0.06424,US 10-year| bond yield
1995-08-31,0.06286,US 10-year| bond yield
1995-09-30,0.06182000000000001,US 10-year| bond yield
1995-10-31,0.06024,US 10-year| bond yield
