Year,Partner,£ billion
2013,GB Sales,12.1
2013,IE Exports,3.7
2013,REU Exports,2.2
2014,GB Sales,13.1
2014,IE Exports,3.5
2014,REU Exports,2.1
2015,GB Sales,13.7
2015,IE Exports,3.3
2015,REU Exports,2.1
2016,GB Sales,14.2
2016,IE Exports,3.3
2016,REU Exports,2.2
2017,GB Sales,11.6
2017,IE Exports,3.8
2017,REU Exports,2.0
2018,GB Sales,10.6
2018,IE Exports,4.1
2018,REU Exports,2.7
2019,GB Sales,10.8
2019,IE Exports,4.5
2019,REU Exports,2.4
2020,GB Sales,11.3
2020,IE Exports,4.2
2020,REU Exports,2.2
2021,GB Sales,13.7
2021,IE Exports,5.4
2021,REU Exports,2.7
2022,GB Sales,15.7
2022,IE Exports,6.4
2022,REU Exports,2.7
