Year,Total expenditure,Public investment,Social security,Defence,Long term care
1956,35.7,4.1,4.7,7.6,
1957,35.8,4.2,4.9,7.3,
1958,35.1,4.0,5.0,6.8,
1959,36.1,4.3,5.8,6.4,
1960,35.7,4.0,5.8,6.1,
1961,36.1,4.1,5.4,6.0,
1962,37.7,4.3,5.9,6.0,
1963,37.3,4.4,5.6,6.0,
1964,37.3,5.6,6.1,5.8,
1965,37.0,6.0,5.9,5.5,
1966,38.4,6.1,6.3,5.4,
1967,40.0,6.8,6.4,5.4,
1968,43.1,8.0,6.8,5.5,
1969,41.5,6.8,7.1,4.9,
1970,40.1,6.1,6.9,4.4,
1971,39.5,6.2,6.4,4.2,
1972,39.3,5.4,6.7,4.2,
1973,38.4,4.9,6.8,4.1,
1974,40.3,5.2,6.8,4.2,
1975,44.7,5.5,7.2,4.2,
1976,46.4,5.5,7.9,4.3,
1977,45.1,4.5,8.1,4.3,
1978,42.3,3.1,8.3,4.1,
1979,41.4,2.7,8.5,4.0,
1980,40.9,2.5,8.3,4.1,
1981,42.8,2.2,8.7,4.3,
1982,42.9,1.5,9.6,4.3,
1983,43.2,1.9,10.0,4.5,
1984,42.8,2.2,10.2,4.4,
1985,42.5,1.9,10.2,4.6,
1986,40.4,1.5,10.2,4.3,
1987,39.3,0.9,10.2,4.1,
1988,37.2,0.3,9.4,3.7,
1989,34.6,0.0,8.6,3.4,
1990,34.7,0.8,8.2,3.3,
1991,35.0,1.0,8.6,3.2,
1992,36.8,1.2,9.5,3.2,
1993,38.4,1.0,10.5,3.2,
1994,37.8,0.8,10.9,3.0,
1995,37.6,0.8,10.7,2.8,
1996,37.3,0.7,10.6,2.6,
1997,35.5,0.3,10.3,2.4,0.8
1998,35.7,0.5,10.0,2.2,0.8
1999,35.2,0.5,9.8,2.4,0.8
2000,34.8,0.5,9.8,2.4,0.9
2001,35.1,0.4,9.8,2.3,0.9
2002,36.3,1.1,10.1,2.2,0.9
2003,37.6,1.5,10.0,2.2,1.0
2004,38.9,1.7,10.4,2.3,1.1
2005,40.0,2.1,10.5,2.2,1.2
2006,39.9,1.9,10.4,2.2,1.2
2007,39.9,1.9,10.2,2.2,1.2
2008,40.2,1.8,11.3,2.2,1.2
2009,43.5,3.0,11.1,2.3,1.2
2010,46.3,3.0,12.3,2.4,1.3
2011,45.7,2.4,12.3,2.4,1.2
2012,44.6,1.8,12.3,2.3,1.2
2013,44.0,1.9,12.4,2.1,1.2
2014,42.5,1.4,11.7,2.0,1.1
2015,42.0,1.9,11.5,2.0,1.1
2016,41.1,1.7,11.2,1.9,1.1
2017,40.2,1.8,10.8,1.8,1.0
2018,40.0,2.2,10.5,1.8,1.0
2019,39.4,2.1,10.3,1.8,1.0
2020,39.5,1.9,10.2,1.9,1.1
2021,53.1,3.5,12.0,2.1,1.3
2022,44.5,2.1,10.7,2.1,1.1
2023,45.7,2.1,10.2,2.2,1.1
